13a7bf96099a74687a72ffcb3c35699694c9796f44a0a5822aa85f87a10b5d81,619afc2b3a388ec4cfba05bad6a53b61cd6cd1cd7ffb6c6c79b76dca5f8903ff,92f5d2d812cd24dffd834b5fb2782037973644be7f44ad14ddd778557139e7dd,ba5dc381e1686f9acf7960f74347c5dd9f3c226aea9c1951f93b7afd5d6db5c8,1dacc82360f904d2674aac118d128ec87a11e2e54a091141abaa6dadc42d8dd8,3f1c183d3763f5b133de707e57eb7dbabec6d6448e21b188177fa8be07d5a5ea,c944b0f2a716bb144bde0cd7bbc58b0dc175cac87a0d2c40dbd6b67aeda6c915,f796f7b332b4e34e6ab1d089cc1baa53a53be137d9f792c2054eceb92771b8d8
"1","0","1","【料理】ダイスが2個に増える","0","52001","1","1"
"1","0","1","【料理】ダイスの目が必ず「1」になる","0","52002","1","2"
"2","0","3","【料理】次のターン数のカウントをスキップする","0","52002","1","3"
"1","0","1","【料理】ダイスの目が必ず「4」になる","0","52004","1","4"
"1","0","1","【料理】ダイスの目が\n「4・5・6」のみになる","0","52006","1","5"
"1","0","1","【料理】ダイスの目が1回目は必ず「3」に、2回目は必ず「6」になる","0","52007","1","6"
"1","0","1","【料理】ダイスの目が必ず「5」になる","0","52003","1","7"
"7","0","2","【料理】マイルマスの獲得マイルが200%アップする","0","52008","1","8"
"2","0","3","【イベント】次のターン数のカウントをスキップする","0","4","2","9"
"3","0","2","【イベント】マイルマスの獲得マイルが100%アップする","0","5","2","10"
"5","0","2","【イベント】ミニゲームの獲得マイルが100%アップする","0","6","2","11"
"4","0","3","【イベント】マイルショップの全商品が20%以上割引される","0","7","2","12"
"1","0","1","【料理】ダイスの目が1回目は必ず「8」に、2回目は必ず「1」になる","0","52009","1","13"
"6","0","2","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","0","52010","1","14"
"1","0","1","【料理】ダイスの目が1回目は必ず「2」に、2回目は必ず「7」になる","0","52011","1","15"
"1","0","1","【料理】ダイスの目が\n「1・2・3」のみになる","0","52012","1","16"
"2","0","3","【料理】次のターン数のカウントをスキップする","0","52012","1","17"
"8","0","1","【料理】移動時にマイルマスをスキップできる","0","52014","1","18"
"1","0","1","【料理】次回移動時に1マス分多く進める","0","52005","1","19"
"1","2","1","【料理】次回移動時に1マス分多く進める","2","52014","1","20"
