f0434b1b17e6446f4b5ca96d6555f33ab0bccd9cdda787b25ee94d30a68260b7,2f2f2c9e5ab0d48df50180ddae068df939daca811538bee65ff3727231582a4b,6896641cef07269e9cf8976fec0d2309c1e743e8b814e14e0c6c13694b39c588,cb07b73915249d44d66efbf0932d3ee6d7adb8cae18b1b5d42669a61fc9570e9,13b93627cba98525bfb6b5a214fb2972235cfeb43997848917c3fa80439801e5,cbeb33ff9fb2d8ae0416e502a30f64e845f5724733450e818b222deccfaa7956,8689ec3f071822bf8f2f7a942b8328ddf427f6332e8fadd59599d4cd18da0230,e487c2186888bfe002306fcc851df640d5ea5375dd29b42655dd694ccbf01c1a,2528aba933ba5ac943c38d75d37f0d44b0cc843dd9df4cc354f8550fcd4a018e,4d89faa1260325b301e8f357b5588311267864f8438364c7478ad963a30b1eeb,6d8c94af9b9dfea90a586bb967d36d76590b6dc5070299ee248156c615225237,02fc451819480b7e823452813f784b3f3567c84361fa2728c3c3bb5669982b98,de00edf0160bba29045f9ea0fa8d949967e442e38b9bafbdaea91c4a883c3deb,9acd6c345cfde436448309a0ed9b0b2ed91f48e8592fbd2714b97d05d1cf04c0
"1","1001","4","30","1","1","1","1","1","7","1","6","-1","30"
"1","1002","31","60","1","1","1","1","1","11","1","6","-1","60"
"1","1003","61","90","1","1","1","1","1","15","1","6","-1","90"
"1","1004","91","120","1","1","1","1","1","19","1","6","-1","120"
"1","1005","121","150","1","1","1","1","1","23","1","6","-1","150"
"1","1006","151","180","1","1","1","1","1","27","1","6","-1","180"
"1","1007","181","210","1","1","1","1","1","29","1","6","-1","210"
"1","1008","211","240","1","1","1","1","1","31","1","6","-1","240"
"1","1009","241","270","1","1","1","1","1","31","1","6","-1","270"
"1","1010","271","300","1","1","1","1","1","31","1","6","-1","300"
"1","1011","301","310","1","1","1","1","1","31","1","6","-1","-1"
"2","1101","4","30","1","1","1","1","1","7","1","5","-1","30"
"2","1102","31","60","1","1","1","1","1","11","1","5","-1","60"
"2","1103","61","90","1","1","1","1","1","15","1","5","-1","90"
"2","1104","91","120","1","1","1","1","1","19","1","5","-1","120"
"2","1105","121","150","1","1","1","1","1","23","1","5","-1","150"
"2","1106","151","180","1","1","1","1","1","27","1","5","-1","180"
"2","1107","181","210","1","1","1","1","1","29","1","5","-1","210"
