269a920e03c5e841532a2f0ce64f5f4671d224c411ee5601073a4d9f65174285,06de53a044683d97ab0d0a5a4f211f16d1041db1587f9d087fbc6603e1d95677,c3ce1ff898998e7bef51baa69d20e12c72db690cfdc200d0b1586d5ba9c7fd9c,12496e581987be5b7ad418be298707297956afa3d7cfdb269fca3517bdaa9165,ca662abfaed26c1efaca1126f88d9ac0379118d62400596848268421f7265cc9,05841440a786aee3b9508c53c80ba0ae59962a3b7f3ce8c870047c94a427580a
"1","50000","50000","1","26202","2"
"2","10","10","1","90013","2"
"3","1","0","1","26203","2"
"4","55000","55000","2","26202","2"
"5","10","10","2","90013","2"
"6","1","0","2","26203","2"
"7","60000","60000","3","26202","2"
"8","10","10","3","90013","2"
"9","1","0","3","26203","2"
"10","65000","65000","4","26202","2"
"11","10","10","4","90013","2"
"12","1","0","4","26203","2"
"13","70000","70000","5","26202","2"
"14","10","10","5","90013","2"
"15","1","0","5","26203","2"
"16","75000","75000","6","26202","2"
"17","10","10","6","90013","2"
"18","1","0","6","26203","2"
"19","80000","80000","7","26202","2"
"20","10","10","7","90013","2"
"21","1","0","7","26203","2"
"22","85000","85000","8","26202","2"
"23","10","10","8","90013","2"
"24","1","0","8","26203","2"
"25","90000","90000","9","26202","2"
"26","20","20","9","90013","2"
"27","1","0","9","26203","2"
"28","95000","95000","10","26202","2"
"29","20","20","10","90013","2"
"30","1","0","10","26203","2"
"31","100000","100000","11","26202","2"
"32","20","20","11","90013","2"
"33","1","0","11","26203","2"
"34","105000","105000","12","26202","2"
"35","20","20","12","90013","2"
"36","1","0","12","26203","2"
