596844c4318e93a2fe8caef123ac4f338b48bc76054337dc11891120dbf7c2e8,391bbad7faf9c2b0a3570266f73f0301e92ba5da23ec64369f0853e895e310dd,4b7d280e225313845f0e6cd7c444787e61ea5bb3dddf5d4b99ff82d83b75fe5f,6e72a07a5b2f11a189b6e2d174a0608819b0ec1036a1c791eb925134c5da5e87,1a080a34c528563fa2f2f5561993c39c03d45e3cfd0ad8005552cd5b81c157d7,556b20adaca57113b09a405fe8c0c7d7c88f62d7389eb7ddbfd403410942e058
"301","1","5201087","102013011","1","10201"
"402","1","5201081","102014021","1","10201"
"402","101","5201082","102014022","0","10201"
"501","1","5201066","102015011","1","10201"
"501","1","5201067","102015012","2","10201"
"501","1","5201068","102015013","3","10201"
"501","1","5201069","102015014","4","10201"
"501","1","5201070","102015015","5","10201"
"501","1","5201071","102015016","6","10201"
"501","1","5201072","102015017","7","10201"
"501","1","5201073","102015018","8","10201"
