134011147eb2025a7ae90b97e3cd4eede13222f3c176d5ae92d2f34ce0515669,51596e9ec4efb5cc8c24c28beaa83e9468555f43481bcc7474b527060022f8c2,cb28855dc99406a90705b3968d77b977e7b0e87416d2556fce2912bc9950393c,57c34bd7c34b132bb53372902df13b887751f9900b5c68476e6a1eeeed085258,ccc63ed9cc106182f60ab1942b45a50b8c3ce7e78634b95fa14a68b15e66004d,0fa6ef5196bde6e502719748149f256eb55d83967f38a069401d55df9880adbe,4cd6f469e32b03d9ed8901e1a734b00974d14e9f1fef2901b5bb74c036e5187e
"31001","-10","0","0.8","0.8","300900","100721"
"31002","-40","0","0.7","0.7","302300","100722"
"31003","-40","0","0.8","0.8","302400","100261"
"31004","-20","0","0.9","0.9","302500","100283"
"31005","-10","0","0.9","0.9","301700","101611"
"31006","-40","0","0.7","0.7","310100","102174"
"31007","-60","-80","0.3","0.3","399800","102751"
"31008","20","-20","0.9","0.9","314901","103001"
"31009","-110","30","0.7","0.7","318405","103232"
"31010","-10","0","1","1","320100","103371"
