7550b221b3cb4081e312063702d30558508d216b4e12f19f19b982e5484642ec,8c96d38a70e246bc24da85ae0af168df9eebdc2d5f47c5234871b1f87aef3901,4340b2c46fa6458d5007102b30b5aba94466db23df9dc47f4ea7321b9e372fe4,6523e5f7c3f72b637dda540d14bc0f42b90e32fbdd5f39c29d5849b9eafd94d6,b36fe2f81c0f02d93e4166db2785f346ecf5b9bdcdc1f61385a9a7cb57b1ab0e
"31058","9105801","2","10","1"
"31020","9102001","2","10","2"
"31002","9100201","2","10","3"
"31055","9105501","2","10","4"
"31016","9101601","2","10","5"
"31124","9112401","2","10","6"
"31044","9104401","2","10","7"
"31023","9102301","2","10","8"
"31059","9105901","2","10","9"
"31042","9104201","2","10","10"
"31040","9104001","2","10","11"
"31021","9102101","2","10","12"
"31063","9106301","2","10","13"
"31065","9106501","2","10","14"
"31009","9100901","2","10","15"
"31017","9101701","2","10","16"
"31056","9105601","2","10","17"
"31053","9105301","2","10","18"
"31027","9102701","2","10","19"
"31108","9110801","2","10","20"
"31043","9104301","2","10","21"
"31125","9112501","2","10","22"
"31004","9100401","2","10","23"
"31037","9103701","2","10","24"
"31061","9106101","2","10","25"
"31018","9101801","2","10","26"
"31013","9101301","2","10","27"
"31011","9101101","2","10","28"
"31001","9100101","2","10","29"
"31030","9103001","2","10","30"
"31060","9106001","2","10","31"
"31015","9101501","2","10","32"
"31054","9105401","2","10","33"
"31109","9110901","2","10","34"
"31010","9101001","2","10","35"
"31066","9106601","2","10","36"
"31028","9102801","2","10","37"
"31008","9100801","2","10","38"
"31049","9104901","2","10","39"
"31047","9104701","2","10","40"
"31014","9101401","2","10","41"
"31094","9109401","2","10","42"
"31038","9103801","2","10","43"
"31048","9104801","2","10","44"
"31045","9104501","2","10","45"
"31022","9100601","2","10","46"
"31006","9100601","2","10","47"
"31005","9100501","2","10","48"
"31126","9112601","2","10","49"
"31092","9109201","2","10","50"
"31025","9102501","2","10","51"
"31031","9103101","2","10","52"
"31012","9101201","2","10","53"
"31026","9102601","2","10","54"
"31050","9105001","2","10","55"
"31003","9100301","2","10","56"
"31007","9100701","2","10","57"
"31029","9102901","2","10","58"
"31036","9103601","2","10","59"
