86e78effa36f053b1f02adb5bb8602e55a8483b2c63d5443db2e451a3f6f4b7f,001b21a0daf7eb1dabb95e69ec51c3e49641bf4daeecd7baa67dc01eb4e1b709,59217b0b86bfe7d7a3b613f34a895284954ab8108dd3a8a1cd27e03cad61e5d3,856ef1b48311b265c13940870f456d07312db91d1516f79f79b2373c563ae6f2,cf66abe8ce179d9b3300ca9d6717dd552afa4d46bf2da7fce0955cbf62faf185,e396250ef78f522c8d4fdbe513400408ae3aa0bfb63348d556fc08882a708969,4c853c77eb5c03567163a7c1bd339e412926fb8ed5f58db6d66f8268f2b9c002,03305c30730d43020e445e0a9a0b97c22c0314c187af265f3b7784a464207c82,ec6eaba22ff5a828f20493b711083db60725ef5637f5d023fd26ae2af76a519a,96b4768ee82e15542048e4a3b972a6102c4f7a98b233126f04de867b33eab9f3
"0","1","10000","12000","90001","1","90043","10","0","30000"
"0","2","10000","24000","90002","2","90047","20","0","30000"
"0","3","10000","24000","90002","3","90047","20","0","30000"
"0","4","10000","24000","90002","4","90047","20","0","30000"
"0","5","10000","24000","90002","5","90047","20","0","30000"
"0","6","10000","24000","90002","6","90047","20","0","30000"
"0","7","10000","24000","90002","7","90047","20","0","30000"
"0","8","10000","24000","90002","8","90047","20","0","30000"
"0","9","10000","24000","90002","9","90047","20","0","30000"
"1","10","10000","24000","90002","10","90047","20","0","30000"
"2","11","10000","48000","90003","11","90051","40","90011","30000"
"3","12","10000","48000","90003","12","90051","40","90011","30000"
"4","13","10000","48000","90003","13","90051","40","90011","30000"
"5","14","10000","48000","90003","14","90051","40","90011","30000"
"6","15","10000","48000","90003","15","90051","40","90011","30000"
"7","16","10000","48000","90003","16","90051","40","90011","30000"
"8","17","10000","48000","90003","17","90051","40","90011","30000"
"9","18","10000","48000","90003","18","90051","40","90011","30000"
"10","19","10000","48000","90003","19","90051","40","90011","30000"
"11","20","10000","48000","90003","20","90051","40","90011","30000"
"12","21","10000","72000","90004","21","90055","60","90015","30000"
"13","22","10000","72000","90004","22","90055","60","90015","30000"
"14","23","10000","72000","90004","23","90055","60","90015","30000"
"15","24","10000","72000","90004","24","90055","60","90015","30000"
"16","25","10000","72000","90004","25","90055","60","90015","30000"
"17","26","10000","72000","90004","26","90055","60","90015","30000"
"18","27","10000","72000","90004","27","90055","60","90015","30000"
"19","28","10000","72000","90004","28","90055","60","90015","30000"
"20","29","10000","72000","90004","29","90055","60","90015","30000"
"21","30","10000","72000","90004","30","90055","60","90015","30000"
"22","31","10000","96000","90005","31","90059","80","90015","30000"
"23","32","10000","96000","90005","32","90059","80","90015","30000"
"24","33","10000","96000","90005","33","90059","80","90015","30000"
"25","34","10000","96000","90005","34","90059","80","90015","30000"
"26","35","10000","96000","90005","35","90059","80","90015","30000"
"27","36","10000","96000","90005","36","90059","80","90015","30000"
"28","37","10000","96000","90005","37","90059","80","90015","30000"
"29","38","10000","96000","90005","38","90059","80","90015","30000"
"30","39","10000","96000","90005","39","90059","80","90015","30000"
"31","40","10000","96000","90005","40","90059","80","90015","30000"
"33","41","10000","144000","90005","41","90063","120","90017","30000"
"35","42","10000","144000","90005","42","90063","120","90017","30000"
"37","43","10000","144000","90005","43","90063","120","90017","30000"
"39","44","10000","144000","90005","44","90063","120","90017","30000"
"41","45","10000","144000","90005","45","90063","120","90017","30000"
"43","46","10000","144000","90005","46","90063","120","90017","30000"
"45","47","10000","144000","90005","47","90063","120","90017","30000"
"47","48","10000","144000","90005","48","90063","120","90017","30000"
"49","49","10000","144000","90005","49","90063","120","90017","30000"
"51","50","10000","144000","90005","50","90063","120","90017","30000"
"53","51","10000","180000","90006","51","90067","150","90019","30000"
"55","52","10000","180000","90006","52","90067","150","90019","30000"
"57","53","10000","180000","90006","53","90067","150","90019","30000"
"59","54","10000","180000","90006","54","90067","150","90019","30000"
"61","55","10000","180000","90006","55","90067","150","90019","30000"
"63","56","10000","180000","90006","56","90067","150","90019","30000"
"65","57","10000","180000","90006","57","90067","150","90019","30000"
"67","58","10000","180000","90006","58","90067","150","90019","30000"
"69","59","10000","180000","90006","59","90067","150","90019","30000"
"71","60","10000","180000","90006","60","90067","150","90019","30000"
"74","61","10000","216000","90007","61","90071","180","90021","30000"
"77","62","10000","216000","90007","62","90071","180","90021","30000"
"80","63","10000","216000","90007","63","90071","180","90021","30000"
"83","64","10000","216000","90007","64","90071","180","90021","30000"
"86","65","10000","216000","90007","65","90071","180","90021","30000"
"89","66","10000","216000","90007","66","90071","180","90021","30000"
"92","67","10000","216000","90007","67","90071","180","90021","30000"
"95","68","10000","216000","90007","68","90071","180","90021","30000"
"98","69","10000","216000","90007","69","90071","180","90021","30000"
"101","70","10000","216000","90007","70","90071","180","90021","30000"
