3f175808c09aad6ca48e926ecad3b21385e10d8e7f74ce9c74f2e617574354c5,0aec1e23d2833ed7a68deb314a86224d6baabeb0349853a2dc290aa0e7bddd6a,26c58f008bfeaa9e0237bc230843e52626e1f57db2d80afa9582885fcf26d755,1047f1d39f17dea85386c158ec11bda42a06cb9bad6bb8c4b446034634bee34f,4684b51c84a48142adc0cc5207bfcea5b53aee920d95530a594cfc92580c2c83
"美食殿","1","1","105801","50001"
"トゥインクル\nウィッシュ","2","2","100101","50002"
"サレンディア救護院","7","3","102801","50003"
"王宮騎士団\n（NIGHTMARE）","11","4","104701","50004"
"ラビリンス","15","5","106801","50005"
"カルミナ","3","6","102901","50006"
"悪魔偽王国軍\n（ディアボロス）","5","7","104401","50007"
"牧場\n（エリザベスパーク）","4","8","103301","50008"
"メルクリウス財団","13","9","103201","50009"
"トワイライト\nキャラバン","9","10","105601","50010"
"リトルリリカル","6","11","102001","50011"
"自警団\n（カォン）","8","12","101001","50012"
"フォレスティエ","10","13","101501","50013"
"ルーセント学院","14","14","101801","50014"
