70eb65f39759f21ece3220f3b2b3630ad0aa863950f55535e5aaedd7f35b694e,e7c53c6f2cfb835297470031c5f7699c0666c5f2618d00822e5f5e36f8f17424,d42f21390ffdcaff46d49875a90cc2bcbb61edd72ea949636ab714a46fe5ad1d,7700fc17da38509b4f2f76ff91743948706ef1a5049426f6491090dfd2693804,0b4de59746f11d1ea717639ece08231d51012f052edca7d3bd941debb426b35f,9bee796f83883ceb4f6f0979f3b60ae67b89a110780502f7a80b2b05369a0539
"1","10","150","1","150","0"
"1","10","400","2","250","0"
"1","10","800","3","400","0"
"2","20","150","1","150","0"
"2","20","400","2","250","0"
"2","20","800","3","400","0"
"2","20","1300","4","500","1"
"3","30","800","1","800","0"
"3","30","1800","2","1000","0"
"3","30","3000","3","1200","0"
"3","30","4400","4","1400","1"
"3","30","6000","5","1600","2"
"4","40","800","1","800","0"
"4","40","1800","2","1000","0"
"4","40","3000","3","1200","0"
"4","40","4400","4","1400","1"
"4","40","6000","5","1600","2"
