7d7b06e1d4b8914f3178364d2390ed96c53eb0042feb3f08852f8fb48b717cf9,4a002ee603fb602207ca87609100e4bb050ce4c30769fadd5f8fd25aa5c0c14a,9566e690587ab93e214fa0d8620a7fcca524f802728ceba8b361bd6311c58005,8760bf90b7f357067e68ac676b7ee03618e43926dc8de06d5bfc154ad25a50e8,b2a88bbcb437b3544701bee42de1c991db789538f66a25e4801bc826d03e6b70,21613d9c309bdf39d1428cbe2badd791a4899c1acbe4e14d4b81aa5d3848b81d
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","123001","2025/01/31 12:00:00","10201501","3002","10201001"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","123001","2025/01/31 12:00:00","10201501","3004","10201002"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","106901","2025/01/31 12:00:00","10201501","3011","10201003"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","106901","2025/01/31 12:00:00","10201501","3011","10201004"
"バトル開始後90秒間物理攻撃力極大\nアップ","107101","2025/01/31 12:00:00","10201501","3001","10201005"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","107101","2025/01/31 12:00:00","10201501","3010","10201006"
"バトル開始後90秒間魔法攻撃力極大\nアップ","107001","2025/01/31 12:00:00","10201501","3003","10201007"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","107001","2025/01/31 12:00:00","10201501","3010","10201008"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","106801","2025/01/31 12:00:00","10201501","3001","10201009"
"バトル開始後味方全体のＴＰ大回復","106801","2025/01/31 12:00:00","10201501","3014","10201010"
"バトル開始後90秒間物理攻撃力極大\nアップ","111501","2025/01/31 12:00:00","10201501","3001","10201011"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","111501","2025/01/31 12:00:00","10201501","3010","10201012"
"バトル開始後90秒間物理攻撃力極大\nアップ","123801","2025/01/31 12:00:00","10201501","3001","10201013"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","123801","2025/01/31 12:00:00","10201501","3010","10201014"
"バトル開始後90秒間物理攻撃力極大\nアップ","133901","2025/02/10 12:00:00","10201501","3001","10201015"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","133901","2025/02/10 12:00:00","10201501","3010","10201016"
"バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与","115001","2025/01/31 12:00:00","10201501","3005","10201017"
"バトル開始後味方全体の行動不能\n2回無効","115001","2025/01/31 12:00:00","10201501","3013","10201018"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","126601","2025/01/31 12:00:00","10201501","3003","10201019"
"バトル開始後味方全体のＴＰ大回復","126601","2025/01/31 12:00:00","10201501","3014","10201020"
"バトル開始後90秒間味方全体のＴＰ\n上昇中アップ","133801","2025/02/20 12:00:00","10201501","3010","10201021"
"バトル開始後90秒間味方全体の行動\n速度大アップ（重複可能）","133801","2025/02/20 12:00:00","10201501","3010","10201022"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","121201","2025/01/31 12:00:00","10201501","3001","10201023"
"バトル開始後味方全体のＴＰ大回復","121201","2025/01/31 12:00:00","10201501","3014","10201024"
"バトル開始後90秒間魔法攻撃力極大\nアップ","133701","2025/01/31 12:00:00","10201501","3003","10201025"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","133701","2025/01/31 12:00:00","10201501","3010","10201026"
