b64f2e16ba231b6e8dd1def6400ec41636cef69dbb26f9d7fa32c36640fb5313,b9328513f254286a2d8e10d4b4d66d823956ce469132ca925716a3bb5cebea72,b435227ec2c9e3621e48096ceac791ff7802fcd66d88b5806b408d8d1ddb7573,83424a912eff7be79c7d4cd1be4ef57dfc78463405c7510d3fdfd5c59878be3a
"-354","938","1.6","100101"
"-499","952","1.6","100201"
"-523","1014","1.6","100301"
"-488","894","1.6","100401"
"-628","980","1.6","100601"
"-573","983","1.6","100701"
"-544","1019","1.6","100801"
"-510","985","1.6","100901"
"-660","1115","1.6","101001"
"-415","1128","1.6","101101"
"-589","1042","1.6","101201"
"-501","1050","1.6","101601"
"-598","1038","1.6","101701"
"-356","985","1.6","101801"
"-494","1114","1.6","102001"
"-392","1003","1.6","102101"
"-407","1057","1.6","102201"
"-388","997","1.6","102501"
"-490","1090","1.6","102701"
"-554","987","1.6","102801"
"-526","976","1.6","102901"
"-879","994","1.6","103001"
"-560","1056","1.6","103101"
"-453","1018","1.6","103301"
"-345","1017","1.6","103401"
"-674","961","1.6","103801"
"-499","1095","1.6","104001"
"-521","955","1.6","104201"
"-581","1079","1.6","104301"
"-538","980","1.6","104501"
"-364","954","1.6","104601"
"-777","1107","1.6","104801"
"-795","973","1.6","104901"
"-492","1122","1.6","105001"
"-607","1035","1.6","105201"
"-490","885","1.6","105301"
