31891998a98cf0045f7a3de88576604e06a2a8872117512f0b4ef24dcf2e35e9,1d90dd021189cb052f8edf42f958d59778100ac2610502cce73bd1886740f274,e8bc72a5088699fd006b16daba750de81a28b34306dbed12b8c4d408c7fd8a11,d0609a20f3a2e7902792f0626de59807b9f07727dfb20d4366eda6851f8e5801,f03b0490b1faec01042a9216fea70228783ee81c0eef406a560ed918acb08c06,ba7780cc7b239d151a75c3ec16a9b780fbf716162defe713d9456a7398ce0500,e3f2b0dbe1b8db684435732efddbebee93cab16c541d09024fdb9708e076b627,29592f1524bc9bdf7d38666a4bb7d9d07454fc7893789acc9c07efc72084e2d4,b57fc802ee95abd68a4df37fa0f9ccbe78b18d7eb74643b99bb456b1fa3c7b2c,e15fb5effbf73562efce2793a981adade3acd421d09a4cca2b2638296c402956,2578caa5b1a43afe7ffc953ceb5f9c04ee26fd9057881f885bfeb5e97f8362f5,0f057eeb03dbbf4dea404acbecde0fb14ec17243f4a672165b335ecd4c862063,16bab83c80264d61a82c425047759d6af429ff47a40ddb246b6fd959990fc7f6
"100","2024/10/31 12:00:00","2030/01/01 14:59:59","2","1","130011","ミッションねえ……\nちょうどいいや\nどこまで片付けられるか\n賭けをしようじゃないか","-416.5","3001100","0","3001","ヤマト","2.1"
"101","2024/10/31 12:00:00","2030/01/01 14:59:59","2","4","130011","他人から言われた任務を\n言われるままにやるなんざ\n性に合わないんだがね……\nま、報酬は貰っとこうか","-416.5","3001101","0","3001","ヤマト","5.68"
"102","2024/10/31 12:00:00","2030/01/01 14:59:59","1","1","130011","なんだい？　やれンなら\nとっとと済ませちまいな。\nフブキが早くやることやれ\nってボヤいてたよ。","-416.5","3001102","0","3001","ヤマト","0"
"100","2024/10/31 12:00:00","2030/01/01 14:59:59","1","1","130211","え～？　ぼくに頼みごと～？\nどうしちゃおっかな～\nちゃんとお願いできたら\n考えてあげよっかな～？","-416.5","3002100","0","3002","フブキ","0"
"101","2024/10/31 12:00:00","2030/01/01 14:59:59","1","1","130211","ほらほらぁ、これが\n欲しいんでしょ～？\nほんと、しょうがないよね～\nザコおに～いさん♡","-416.5","3002101","0","3002","フブキ","0"
"102","2024/10/31 12:00:00","2030/01/01 14:59:59","2","5","130211","へえ～、欲しいんだ～？\nぼくのた・い・せ・つ・な・モ・ノ\nあははっ！　なに考えてんの？\nもうへんふしじゃ～んｗ","-416.5","3002102","0","3002","フブキ","8.53"
"103","2024/10/31 12:00:00","2030/01/01 14:59:59","1","7","130211","なになに～？　もしかしてまた\nおねだりするつもりなんだ？\nとか言って、ほんとはぼくに\n会いたいだけだったりして～？","-416.5","3002103","0","3002","フブキ","5.67"
"104","2024/10/31 12:00:00","2030/01/01 14:59:59","1","1","130211","ザコお兄さんってぇ\n頼み方もワンパなのぉ～？\nもっと必死にならないと\nぼくの心は動かせないよ～？","-416.5","3002104","0","3002","フブキ","0"
"300","2024/10/31 12:00:00","2030/01/01 14:59:59","3","3","130211","あのさーザコお兄さん、\nな～んか調子乗ってない？\nぼくのこと、なんでもくれる\nチョロいやつとか思ってたりー？","-416.5","3002300","0","3004","フブキ","0"
"301","2024/10/31 12:00:00","2030/01/01 14:59:59","7","7","130211","ざんね～ん♪\nうざいお兄さんには、もうな～んにもあげませ～ん♡\nほんとなっさけなーい♪\nばいば～い♡","-416.5","3002400","0","3005","フブキ","0"
"200","2024/10/31 12:00:00","2030/01/01 14:59:59","1","2","130211","きゃはは、ほんと必死～♡\nは～、面白かった。\n笑えたからいいよ～\nそれ、恵んだげる～♪","-416.5","3003200","0","3003","フブキ","4.4"
"201","2024/10/31 12:00:00","2030/01/01 14:59:59","7","7","130211","は～、しょうがないな～♡\nザコお兄さんってば\nほんとよわよわで\n情けないよね～ｗ","-416.5","3003201","0","3003","フブキ","0"
"202","2024/10/31 12:00:00","2030/01/01 14:59:59","2","1","130211","お兄さんってば、ぼくがいないと\nほんとザッコザコだよね～\nもっと感謝しろし～♪","-416.5","3003202","0","3003","フブキ","5.6"
