8f2a28a54d18237e54de33e65d39bb4f5328a1b2a505c770aebc27fb157dd474,107f08617e47805df3cda63773e8e7ced743a3b08ce13c78e64a99c9cd28f979,c3dbeac7103af638b586ab7ea04f857cc94de5a68435b6d1220421f3b4700670,56ff3075923d8dbb1cba2093995542cdf2595140a33751abcbe6b6ed927c25ae,138636b94d547978503dac97d885fb912ead0b88385a45cb3d32eceddcb291e0,c7b81a6de35976d0586d541b42f0a6249219165076d2d550b908f3a0b2a5f689,ccb6e8fbab8f451e2eaabf3e6186aa5d60720da6edf7e3c6b053e0418a8517ca
"Menu01scene1","1","0","0","0","9000000","10001"
"Menu01scene2","1","0","0","0","9000001","10001"
"Menu01scene3","1","0","0","0","9000002","10001"
"Menu01scene4","1","0","0","0","9000003","10001"
"Menu02scene1","1","0","0","0","9000004","10001"
"Menu02scene2","1","0","0","0","9000005","10001"
"Menu02scene3","1","0","0","0","9000006","10001"
"Menu02scene4","1","0","0","0","9000007","10001"
"Menu02scene5","1","0","0","0","9000008","10001"
"Menu02scene6","1","0","0","0","9000009","10001"
"Menu03scene1","1","0","0","0","9000010","10001"
"Menu03scene2","1","0","0","0","9000011","10001"
"Menu03scene3","1","0","0","0","9000012","10001"
"Menu03scene4","1","0","0","0","9000013","10001"
"Menu03scene5","1","0","0","0","9000014","10001"
"Menu03scene6","1","0","0","0","9000015","10001"
"OPscene1","1","0","0","0","9000016","10001"
"OPscene2","1","0","0","0","9000017","10001"
"OPscene3","1","0","0","0","9000018","10001"
"OPscene4","1","0","0","0","9000019","10001"
"OPscene5","1","0","0","0","9000020","10001"
"OPscene6","1","0","0","0","9000021","10001"
"アニメオリジナル　コッコロカスタムマイページ","1","0","0","0","9000022","10001"
"Menu04scene1","1","0","0","0","9000023","10002"
"Menu04scene2","1","0","0","0","9000024","10002"
"Menu04scene3","1","0","0","0","9000025","10002"
"Menu04scene4","1","0","0","0","9000026","10002"
"Menu04scene5","1","0","0","0","9000027","10002"
"Menu04scene6","1","0","0","0","9000028","10002"
"Menu05scene1","1","0","0","0","9000029","10002"
"Menu05scene2","1","0","0","0","9000030","10002"
"Menu05scene3","1","0","0","0","9000031","10002"
"Menu05scene4","1","0","0","0","9000032","10002"
"Menu05scene5","1","0","0","0","9000033","10002"
"Menu05scene6","1","0","0","0","9000034","10002"
"Menu06scene1","1","0","0","0","9000035","10002"
"Menu06scene2","1","0","0","0","9000036","10002"
"Menu06scene3","1","0","0","0","9000037","10002"
"Menu06scene4","1","0","0","0","9000038","10002"
"Menu06scene5","1","0","0","0","9000039","10002"
"Menu06scene6","1","0","0","0","9000040","10002"
"アニメオリジナル　キャルカスタムマイページ","1","0","0","0","9000041","10002"
"Menu07scene1","1","0","0","0","9000042","10003"
"Menu07scene2","1","0","0","0","9000043","10003"
"Menu07scene3","1","0","0","0","9000044","10003"
"Menu07scene4","1","0","0","0","9000045","10003"
"Menu07scene5","1","0","0","0","9000046","10003"
"Menu07scene6","1","0","0","0","9000047","10003"
"Menu08scene1","1","0","0","0","9000048","10003"
"Menu08scene2","1","0","0","0","9000049","10003"
"Menu08scene3","1","0","0","0","9000050","10003"
