7fd98d9af63d01f42fe5befd8f094d2a3d5e0a8bc8d85ab7e2dfd1f73a0698cd,8e5062ed6d9b40f43141e8138ad07f98b729ea012520ed05720213e9ec819ba7,26c967af4a96ed311a4c9e35170e1b5692e02e6f9449a87e04d8f627e1434309,79df6fd578b11e48a88cacfe4b45969f265e6e21af060acb84cb99d72ac2c661,0289f286c2708962022c244e0bf07c9eb51641e1c12292b4d69c11b5c65abbfc,f4bdfd2dbb808513d491ec8652be891b45bc15b2d58ad62b34727055930d51c6,6d8f2b79e7d43ce3c9231f67dcdde7e026b8b8093f6b9d654f37de4fc5b21d5f
"10004","107601","BOSS討伐で解放！\n残り{0}体","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","71004025","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","1"
"10005","108001","BOSS討伐で解放！\n残り{0}体","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","71005025","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","2"
"10007","108201","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","71007031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","3"
"10009","108501","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","71009031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","4"
"10010","108901","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","71010031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","5"
"10011","109001","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","71011031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","6"
"10013","109301","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","71013031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","7"
"10017","109801","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","71017031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","8"
"10019","110101","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","71019031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","9"
"20004","107601","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","72004021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10"
