690436b07993a67fc0c5b159c9d2a639c38faca508369a5a39d8857eececb56f,aee233191bdedeff047030e921720b70a05142002d9076074fc94075b4ee747f,3887efa59fd6bf884e84965b95b41a9871fec51118b4537a8bb59f72146217d3,63a722897007df6bbc989537a7e570144496dd18936d060eb80ff0be8fa5b8c6,cf8e31c9a300cbac0dba05119b895abeb89880a4eb0b946b60f64943bbb1dca3,26911870ab630813d5aff5a56e8dcaa79c46ea0137f2b5be0d5ec90ff69de0c0,1e9613b1b33c66fc9c1f143bae7c299bacb758755974ec49b2ea523327904e06,eb9627aecb76f00409d905d80886261d940c6bcf2b3481f15a6d5354dddeca28,81ea617f96b343e3d51e04e6e95e3bca94639ff75a5ccdf463c2261c8fe3ef42,dca8d877c8f208118e7a7350da4a2512cbc90b591751eb843ccd4dc2616e156d,d33f5715be2b0af7810a5097c355550a61300b250339c8788c233b1df7882b47,8e948cb442114f38876eef32381a5b67ceba90e2f00bab3cd03485d4b1d91859,a87b792453224006731d4dfcb53eb79138ee92671c77104b2a5ac386eca6dc75,663edf562fdde1ed533f37b6ccab6a2e11a6b848fc3949be985135d3e93b09c4
"1","2000","30","0","0","1","1","-1","0","2018/03/13 04:59:59","2018/03/06 05:00:00","103","0","34"
"2","2000","40","0","0","1","1","-1","0","2018/03/13 04:59:59","2018/03/06 05:00:00","103","0","44"
"3","2000","40","0","0","1","1","-1","0","2018/03/20 04:59:59","2018/03/13 05:00:00","104","0","45"
"4","2000","30","0","0","1","1","-1","0","2018/03/26 04:59:59","2018/03/20 05:00:00","101","0","31"
"5","2000","40","0","0","1","1","-1","0","2018/03/26 04:59:59","2018/03/20 05:00:00","101","0","41"
"6","2000","30","0","0","1","1","-1","0","2018/03/31 04:59:59","2018/03/26 05:00:00","102","0","32"
"7","2000","40","0","0","1","1","-1","0","2018/03/31 04:59:59","2018/03/26 05:00:00","102","0","42"
"8","2000","30","0","0","1","1","-1","0","2018/04/10 04:59:59","2018/03/31 05:00:00","103","0","34"
"9","2000","40","0","0","1","1","-1","0","2018/04/10 04:59:59","2018/03/31 05:00:00","103","0","44"
"10","2000","40","0","0","1","1","-1","0","2018/04/20 04:59:59","2018/04/10 05:00:00","104","0","45"
"11","2000","30","0","0","1","1","-1","0","2018/04/25 04:59:59","2018/04/20 05:00:00","101","0","31"
"12","2000","40","0","0","1","1","-1","0","2018/04/25 04:59:59","2018/04/20 05:00:00","101","0","41"
"13","2000","30","0","0","1","1","-1","0","2018/04/30 04:59:59","2018/04/25 05:00:00","102","0","32"
"14","2000","40","0","0","1","1","-1","0","2018/04/30 04:59:59","2018/04/25 05:00:00","102","0","42"
"15","2000","30","0","0","1","1","-1","0","2018/05/11 04:59:59","2018/04/30 05:00:00","103","0","34"
"16","2000","40","0","0","1","1","-1","0","2018/05/11 04:59:59","2018/04/30 05:00:00","103","0","44"
"17","2000","40","0","0","1","1","-1","0","2018/05/22 04:59:59","2018/05/11 05:00:00","104","0","45"
"18","2000","30","0","0","1","1","-1","0","2018/05/28 04:59:59","2018/05/22 05:00:00","101","0","31"
"19","2000","40","0","0","1","1","-1","0","2018/05/28 04:59:59","2018/05/22 05:00:00","101","0","41"
"20","2000","30","0","0","1","1","-1","0","2018/05/31 04:59:59","2018/05/28 05:00:00","102","0","32"
"21","2000","40","0","0","1","1","-1","0","2018/05/31 04:59:59","2018/05/28 05:00:00","102","0","42"
"22","2000","30","0","0","1","1","-1","0","2018/06/10 04:59:59","2018/05/31 05:00:00","103","0","34"
"23","2000","40","0","0","1","1","-1","0","2018/06/10 04:59:59","2018/05/31 05:00:00","103","0","44"
"24","2000","40","0","0","1","1","-1","0","2018/06/20 04:59:59","2018/06/10 05:00:00","104","0","45"
"25","2000","30","0","0","1","1","-1","0","2018/06/25 04:59:59","2018/06/20 05:00:00","101","0","31"
"26","2000","40","0","0","1","1","-1","0","2018/06/25 04:59:59","2018/06/20 05:00:00","101","0","41"
"27","2000","30","0","0","1","1","-1","0","2018/06/30 04:59:59","2018/06/25 05:00:00","102","0","32"
"28","2000","40","0","0","1","1","-1","0","2018/06/30 04:59:59","2018/06/25 05:00:00","102","0","42"
"29","2000","30","0","0","1","1","-1","0","2018/07/10 04:59:59","2018/06/30 05:00:00","103","0","34"
"30","2000","40","0","0","1","1","-1","0","2018/07/10 04:59:59","2018/06/30 05:00:00","103","0","44"
"31","2000","40","0","0","1","1","-1","0","2018/07/20 04:59:59","2018/07/10 05:00:00","104","0","45"
"32","2000","30","0","0","1","1","-1","0","2018/07/25 04:59:59","2018/07/20 05:00:00","101","0","31"
"33","2000","40","0","0","1","1","-1","0","2018/07/25 04:59:59","2018/07/20 05:00:00","101","0","41"
"34","2000","30","0","0","1","1","-1","0","2018/07/31 04:59:59","2018/07/25 05:00:00","102","0","32"
"35","2000","40","0","0","1","1","-1","0","2018/07/31 04:59:59","2018/07/25 05:00:00","102","0","42"
"36","2000","30","0","0","1","1","-1","0","2018/08/10 04:59:59","2018/07/31 05:00:00","103","0","34"
"37","2000","40","0","0","1","1","-1","0","2018/08/10 04:59:59","2018/07/31 05:00:00","103","0","44"
"38","2000","40","0","0","1","1","-1","0","2018/08/21 04:59:59","2018/08/10 05:00:00","104","0","45"
"39","3000","30","0","0","1","1","-1","0","2018/08/21 04:59:59","2018/08/15 05:00:00","103","0","34"
"40","3000","40","0","0","1","1","-1","0","2018/08/21 04:59:59","2018/08/15 05:00:00","103","0","44"
"41","3000","30","0","0","1","1","-1","0","2018/08/25 04:59:59","2018/08/21 05:00:00","101","0","31"
"42","3000","40","0","0","1","1","-1","0","2018/08/25 04:59:59","2018/08/21 05:00:00","101","0","41"
"43","3000","30","0","0","1","1","-1","0","2018/08/31 04:59:59","2018/08/25 05:00:00","102","0","32"
"44","3000","40","0","0","1","1","-1","0","2018/08/31 04:59:59","2018/08/25 05:00:00","102","0","42"
"45","2000","30","0","0","1","1","-1","0","2018/09/10 04:59:59","2018/08/31 05:00:00","103","0","34"
