86f205d88ab814bd7e78265baa8963a698e45c2aee9d98bcef871a50d784529c,525b17a03f463a9e69c6a504396343a217c472190cfc668cf9b1c2b3c4749e8c,80e7c8d0795b47c6a34f2f41c8c427012129d248be1a88e6a17481dbf26682c0,cb46212c79eb7dc46523b88cf416fdc7e08060cd37e52cf17fa48bbd8eaaf618,d166f7c22f66c5a0a4cbbea5eef846b30c6067560029301c0d69a72ac51c3a94,4db08592e6f64aed73ab6021d9965ca857b1755d83ea7ed94ba6068c6cb3f116,4d15580e0a0539c800f09b782ed278513971cfebd1d2efc33458b9b68b623f0d,47ff5649a9619242c5669d8a3d9ffe326cb4f2850897af621c97952402704d1a,f2b82fc20cf046a1ce9d48b8fb8f0e0b02dba051afe0c331ca3cf3ebc9e8a875,6d2840cc4fdd8658b915b230af30be2858c379cc7b14695ebb2e9bc3d9355fe8,2d7e73e887f6c1d23b353a63921d1eebb92f9b720034f6607ae68ade983c0559
"0","0","0","10002","10001","0","0","10005","10003","0","50067"
"0","0","10006","10002","10001","0","0","10005","10003","0","50079"
"0","10007","10006","10002","10001","0","0","10005","10003","0","50084"
"10008","10007","10006","10002","10001","0","0","10005","10003","0","50094"
"10008","10007","10006","10002","10001","0","0","10005","10003","10009","50108"
"10008","10007","10006","10002","10001","0","0","10005","10003","10009","50116"
"10008","10007","10006","10002","10001","10010","0","10005","10003","10009","50119"
"10008","10007","10006","10002","10001","10010","0","10005","10003","10009","50129"
"10008","10007","10006","10002","10001","10010","10011","10005","10003","10009","50140"
"10009","10008","10007","10003","10002","10011","10012","10006","10005","10010","50151"
"0","0","10013","10010","10009","0","0","10012","10011","0","50162"
"0","0","10014","10011","10010","0","0","10013","10012","0","50172"
"0","0","10015","10012","10011","0","0","10014","10013","0","50183"
"0","0","10005","10014","10013","0","0","10007","10015","0","50190"
"0","0","10016","10013","10012","0","0","10015","10014","0","50195"
"0","0","10002","10015","10014","0","0","10003","10016","0","50200"
"0","0","10017","10014","10013","0","0","10016","10015","0","50217"
"0","0","10009","10016","10015","0","0","10010","10017","0","50231"
"0","0","10018","10015","10014","0","0","10017","10016","0","50237"
"0","0","0","0","10019","0","0","0","0","0","50248"
"0","0","0","0","10011","0","0","0","0","0","50261"
"0","0","0","0","10020","0","0","0","0","0","50267"
"0","0","0","0","10021","0","0","0","0","0","50278"
"0","0","0","0","10006","0","0","0","0","0","50291"
"0","0","0","0","10022","0","0","0","0","0","50298"
"0","0","0","0","10023","0","0","0","0","0","50309"
"0","0","0","0","10024","0","0","0","0","0","50321"
"0","0","0","0","10025","0","0","0","0","0","50331"
"0","0","0","0","10026","0","0","0","0","0","50341"
"0","0","0","0","10027","0","0","0","0","0","50354"
"0","0","0","0","10028","0","0","0","0","0","50365"
"0","0","0","0","10029","0","0","0","0","0","50375"
"0","0","0","0","10030","0","0","0","0","0","50383"
"0","0","0","0","10019","0","0","0","0","0","50393"
"0","0","0","0","10031","0","0","0","0","0","50405"
"0","0","0","0","10032","0","0","0","0","0","50406"
"0","0","0","0","10033","0","0","0","0","0","50414"
"0","0","0","0","10034","0","0","0","0","0","50424"
"0","0","0","0","10035","0","0","0","0","0","50435"
"0","0","0","0","10036","0","0","0","0","0","50444"
