5ce2bf254fcdec6e1a17cb25aeac7a60ce2ffb11fb7228c3dc4b6d4f2c2ca62e,06875661e9684132fb09c6783356cf898c256882052a64499ad516db100ab88d,4c75b540320a897377a247edb233b80f2f7f73c4c53d285ffe652e07b9813df1,b648fbf24b4c022347baa7cd1b681c07c9e0dc4fd0aa9365c8b24570bd45198b,aaf30796bcd08459e75fb6e680b14aea1f8ff3fcdf4b977887512082544320fe,27a57144644d45f67ad66f1b54fa607967465215012f01387a48a61585bc89e2,ef29baf6f1db05fd8773fc0221da67fc23259ffce48006b4290073ed0ddbdd6d,07f0b0f313b29ac10b869116f29d89ec0d58ef03da29391927bb0426dc0cd408,9fe3057c64efd267d75fbe7d6db61a7025bcdede606cc3e300a6df53f8676683,6f40079c91009544aa6e332de22c5a1387d8f129d0dcff1f7c201a1ca5440df3,8f6308800362d41809a86848edbeeda01715a9f48577fb46bd8abd1fc566e9d7,2bd96645c6f9cfa4f2d7e235e805df68f5a6ab719c0c5ba9ee165f735b07b034,d1ab13b617c064895b2096f31709fac0d60c6c294cade479e6e54772a585c734,f100f6e118efc7290ecf10080029ebb6cf7551246c3ed0382cfd2bd83a92ca95
"100","訓練成功、おめでとうございます\n褒めるべき時にはしっかり褒めるのも\n教官の務めですものね。それとも、\n罵られる方が好みですか？　クスクス","129901","7","10.85","1","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","100"
"101","厳しい訓練も、終わってみれば\n短く感じるものですわね。\n正直、私は暴れ足りないくらい…\nいえ、何でもありませんわ。クスクス","129901","2","11.15","1","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","101"
"102","行く手を阻む忌々しい邪魔者を\n蹴散らして、見事ゴールイン…！\nまるで私とあのおかたの人生を\n象徴するような道のりでした…","129901","5","6.4","7","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","102"
"103","まったくもって不甲斐ない結果です\nしかし、挽回の機会はまだありますわ\n次はゴミ虫の地位から脱却できるよう\n死力を尽くしなさい。いいですね？","129901","3","0","3","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","103"
"104","クスクス…ああご心配なさらず\nなんとも情けない成績を残す輩には\nどんな罰が相応しいか、考えている\nだけですので…クスクスクス","129901","8","2.43","2","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","104"
"105","私が教官として認められなければ、\nあのおかたを失望させてしまう…\nそれだけはあってはなりません\nあなた方も、わかっていますわね？","129901","3","9.08","4","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","105"
"106","まずまずの結果ではありますが、\nこの程度で満足してもらっては\n困りますわ。エリコ班の一員として、\nより高みを目指していただきますので","129901","6","0","6","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","106"
"107","私の指導を受けながら、この結果は…\nもっと真剣に考えねばなりませんね\nあなた方が怠けずにいるには、\nどんなしつけが必要かを…クスクス","129901","8","10.6","3","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","107"
"108","ひとまず訓練をこなしたご褒美か、\n実力を出しきれたとは言えない罰か…\nみなさんにどちらを与えるべきか\n少し悩む結果ですわね","129901","4","7.54","6","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","108"
"109","なかなかいい戦いぶりでしたわ\nこれもあなた方の頑張りと、何より\n優秀な教官である私の教育の賜物\nそうですわね？　クスクスクス…","129901","7","11.5","2","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","109"
"110","これだけ進めたのならば合格点ですわ\nでも、もっと高みを目指したいと\n思っているのなら…さらなる訓練にも\n付き合って差し上げましょう","129901","1","8.83","2","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","110"
"111","未熟で頼りなかったあなた方が、\n見違えるように成長しました\nなるほど…これこそが、教官冥利に\n尽きるという気持ちなのですね","129901","2","6.68","1","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","111"
"112","まさかあなた方が、私の予想すら\n超える力を発揮するとは…驚きました\nもはやゴミ虫などではありません\n一人前の騎士として胸を張りなさい","129901","2","8.8","6","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","112"
"113","クスクス、見事な働きです\nみなさんならできると信じていました\n他でもない私の指導を受けた、\nエリコ班の優秀な新兵なのですから","129901","1","8.9","2","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","113"
"114","なんてすばらしい成績…！\n今日という日は『あのおかたを想い\nエリコが限界を超えた記念日』として\n歴史に刻まれることでしょう…！","129901","5","3.7","2","0","10142","エリコ","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","114"
"200","よし、いい訓練になったな\nおまえたちもよく動けてたし、\nちゃんと成長できてると思うぜ\nその調子で頑張れよっ","129801","2","7.6","1","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","200"
"201","ひとまずゴールおめでとう！\nでも、努力は継続してこそだからな\nおまえたちにやる気があるなら、\n何度だって付き合ってやるよ","129801","1","2.25","2","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","201"
"202","行軍訓練はこれにて完了！\n…なーんて思ってないよな？\n学んだことが体に染みつくまで\n地道に繰り返すのが練習ってもんさ","129801","1","3.28","2","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","202"
"203","みんなに無理をさせちまったか…\nでもこれで諦めることはないぜ\n次はきっとうまくいく。そう信じて\n鍛え続ければ、道は開けるはずだ！","129801","1","2.98","4","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","203"
"204","こいつは悔しい結果だな…\nま、反省点はいろいろあったし\nひとつずつ乗り越えていこう\nあたしたちで力を合わせて、なっ！","129801","1","3","4","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","204"
"205","おまえたちはまだ未熟な訓練兵、\n失敗を必要以上に悔やむことはねえよ\nでも実戦じゃこうはいかないからな\n次は気合を入れ直していけよっ！","129801","2","10.3","1","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","205"
"206","これがおまえたちの全力？\nいやいや、そんなはずはないよなっ\nおまえらならもっと強くなれる！\nあたしが言うんだ、間違いないぜ！","129801","1","2.93","6","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","206"
"207","おまえたちの実力を考えりゃ、\nベストを尽くせたとは言えない成績だ\nなら、次やるべきことも決まってる\n気持ちを切り替えて、鍛え直すんだ！","129801","1","9.3","3","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","207"
"208","まだまだ課題がある内容だったな～\n無駄な動き、判断の遅れ…\nそういうのをしっかり直していけば、\n記録ももっと伸びるはずだっ","129801","1","6.9","4","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","208"
"209","ここまでいけりゃ、合格点！\nむしろ、最初の頼りなさを思えば\nすげえ成長してるんじゃねえか？\n胸を張れる結果だと思うぜっ！","129801","2","0","2","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","209"
"210","なかなかハードな訓練だったけど、\nみんなしっかりついてこられたな\n地道に続けた基礎トレの成果が\n形になってる、その証だぜっ","129801","2","5.95","1","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","210"
"211","今回の訓練もよく頑張ったな！\nしっかり休んで次に備えろよ！\nなんつーか、教え子が成長してくのを\n見るのは楽しいもんだな…","129801","1","6.73","2","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","211"
"212","おまえら、すげえじゃねえか！\nこれならもう、ひよっこ新兵なんて\n言えねえな。きっと騎士団でも\n大活躍間違いなしだぜ！","129801","2","0","2","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","212"
"213","敵との戦い方、状況判断の正確さ\n何より根性…どれも最高だったぞ！\nうかうかしてたら、教官のあたしまで\n追い抜かれちまうかもな…へへっ","129801","2","6.65","1","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","213"
"214","あたしの指導が良かった？\nいやいや、ここまで強くなれたのは、\n他でもないおまえたち自身が努力した\nおかげだよ。改めて…おめでとうっ！","129801","1","3.05","6","0","10142","マコト","2030/12/17 14:59:59","2024/03/31 12:00:00","24","0","214"
