4e31e4f0ebb8bfcf75f65f73272b621cd46eec35a1a6d5720c3efd093c605056,83481e81bb58179f4297fa921c18745a6012f5e5c3afdb07f256eb9d0a1ece63,5f20b574504a4f13ae04e74182bb7ddc2b5afbb2a176e50a1150034537720994,ca12dbbca49f3aa14d0fecca583115fe3f6c0c636bd2c70bbfd3ac34222a0398,267c52d8ac785c9a7c3b62beb3fa82ce998f87e56d3f2d763811ea2176bf2f02,0eafacadd247e379442cdcca612a76b3833b424e5c93175f69aed76087052c73,16de73c3c5b8aac33ee2e6e87c07b077f00cbd570e3f436ebb3e1f325c46eca3,cfa9da8599f0d464b2d0c5b8b274c23f12e94f435c66614a2cc528b1bd4767d5,3ae8e90293923a702a21182f7b6b5a3b11d507cdc3c91c66ad4c37dd3b89d994,d1d8185cd18cdf2afcb7d92ef1de4277c09164c7f1f26a0aecef9851aa2ff736,0ba61077b6fc972f4d3dd85cd708c3007bfcaa51dea0ca3f737fe0603893d48d,0b8bc699f7cec6b620253c46e2864a4f80c4a82fe7fa3ab801df6577c82b826e,f51b83475e88eb33c3de134eb84d4c0eb84522ca9c186c1be6824a67f8ac9bfc,be0e33adaf48368b6db0c6dc2583184d09cf23e0f9c8e773b476d8856dd6fb72,c04ec73cf53ab0f5fec339a86412b5eea6cf15d43cc54e288f9d1e63dce9c853,f1419fb1ae14a56d38d8043e56b393f9f128847936763a040eda5916689d00f4,9189dfb64ba261a6b2e0f0c816b2cc08e5e38e4f4df2d869ad7165e7d38b96b0,898f9bc643dde4065218e1e2c6320a438261bb7261d4bc4dcce2fde1c0e065d6,91b5a2731d1e86588ed088ab1b86104c7d769a403c5d5d0a7b2958052d6cd7c6,8fe1e028a4d8d9f39456f91b43c68b016ccda16dcd08fb5729b602bab3e63c90,c04f704b3c81b1cd218469ee5478ca47975b44da350f837381942cb02fb959dd,71beafdae7d57938ed167a55fcd04c42604e4fdd5e680e4d734ff1591fd499a7,53502b6419c6b11fef6aef5371ff430ca6ce0091a771eab9d6a433042090a869,721933e53ec72ef5c9ec1018061a8904f926952fc90e7dd96310bf2af0fffe62,cfef503b87c28708c4112548b6d8053de70844d896e511bd1e055ee3410de364
"0","0","1","0","0","0","0","32001","0","0","0","0","100000","160","5","18","0","0","1","0","50","1","0","0","100101"
"0","0","1","0","0","0","0","31001","0","0","0","0","100000","80","3","11","0","0","1","0","50","2","0","0","100101"
"0","0","0","0","0","0","0","25001","0","0","0","0","100000","100","0","15","0","0","1","0","10","3","0","0","100101"
"0","0","0","0","0","0","0","25001","10","0","0","0","200000","200","0","15","0","0","2","0","15","3","0","0","100101"
"0","0","0","0","0","0","0","25001","20","0","0","0","400000","300","0","15","0","0","3","0","20","3","0","0","100101"
"0","0","0","0","0","0","0","25001","30","0","0","0","500000","400","0","15","0","0","4","0","25","3","0","0","100101"
"0","0","1","0","0","0","0","25001","40","0","0","0","600000","500","2","15","0","0","5","0","30","3","2","0","100101"
"100","0","1","0","0","0","0","32002","0","0","0","0","100000","0","0","18","10","0","1","0","50","1","0","0","100201"
"60","0","1","0","0","0","0","31002","0","0","0","0","100000","0","0","11","10","0","1","0","50","2","0","0","100201"
"20","0","0","2","0","0","0","25001","0","0","0","0","100000","0","0","15","0","0","1","0","10","3","0","0","100201"
"40","0","0","4","0","0","0","25001","0","0","0","0","200000","0","0","15","0","0","2","0","15","3","0","0","100201"
"60","0","0","6","0","0","0","25001","0","0","0","0","400000","0","0","15","0","0","3","0","20","3","0","0","100201"
"80","0","0","8","0","0","0","25001","0","0","0","0","500000","0","0","15","0","0","4","0","25","3","0","0","100201"
"100","0","1","10","0","0","0","25001","0","0","0","0","600000","0","0","15","10","0","5","0","30","3","0","0","100201"
"0","0","1","0","0","0","0","32003","0","0","0","0","100000","160","5","18","0","0","1","0","50","1","0","0","100301"
"0","0","1","0","0","0","0","31003","0","0","0","0","100000","80","3","11","0","0","1","0","50","2","0","0","100301"
"0","0","0","0","0","0","0","25001","0","0","0","0","100000","100","0","15","0","0","1","0","10","3","0","0","100301"
"0","0","0","0","0","0","0","25001","10","0","0","0","200000","200","0","15","0","0","2","0","15","3","0","0","100301"
"0","0","0","0","0","0","0","25001","20","0","0","0","400000","300","0","15","0","0","3","0","20","3","0","0","100301"
"0","0","0","0","0","0","0","25001","30","0","0","0","500000","400","0","15","0","0","4","0","25","3","0","0","100301"
"0","0","1","0","0","0","0","25001","40","0","0","0","600000","500","2","15","0","0","5","0","30","3","2","0","100301"
"0","0","1","0","14","0","0","32004","0","0","0","0","100000","60","3","18","0","0","1","0","50","1","0","0","100401"
"0","0","1","0","7","0","0","31004","0","0","0","0","100000","30","2","11","0","0","1","0","50","2","0","0","100401"
"0","0","0","0","3","0","0","25001","0","0","0","0","100000","50","0","15","0","0","1","0","10","3","0","0","100401"
"0","0","0","0","6","0","0","25001","0","0","0","0","200000","150","0","15","0","0","2","0","15","3","0","0","100401"
"0","0","0","0","9","0","0","25001","0","0","0","0","400000","225","0","15","0","0","3","0","20","3","0","0","100401"
"0","0","0","0","12","0","0","25001","0","0","0","0","500000","270","0","15","0","0","4","0","25","3","0","0","100401"
"0","0","1","0","15","0","0","25001","0","0","0","0","600000","320","5","15","0","10","5","0","30","3","0","0","100401"
"0","1500","1","0","0","0","0","32005","0","0","0","0","100000","0","3","18","0","0","1","0","50","1","0","0","100501"
"0","1000","1","0","0","0","0","31005","0","0","0","0","100000","0","2","11","0","0","1","0","50","2","0","0","100501"
"0","0","0","2","2","0","0","25001","0","0","0","0","100000","40","0","15","0","0","1","0","10","3","0","0","100501"
"0","0","0","4","4","0","0","25001","0","0","0","0","200000","80","0","15","0","0","2","0","15","3","0","0","100501"
"0","0","0","6","6","0","0","25001","0","0","0","0","400000","120","0","15","0","0","3","0","20","3","0","0","100501"
"0","0","0","8","8","0","0","25001","0","0","0","0","500000","160","0","15","0","0","4","0","25","3","0","0","100501"
"0","0","1","10","10","0","0","25001","0","0","0","0","600000","200","5","15","0","0","5","0","30","3","0","0","100501"
"160","0","1","0","0","0","0","32006","0","0","10","0","100000","0","3","18","0","0","1","0","50","1","0","0","100601"
"80","0","1","0","0","0","0","31006","0","0","5","0","100000","0","2","11","0","0","1","0","50","2","0","0","100601"
"90","0","0","0","0","0","0","25001","0","0","0","0","100000","0","0","15","0","0","1","0","10","3","0","0","100601"
"180","0","0","0","0","0","0","25001","0","0","5","0","200000","0","0","15","0","0","2","0","15","3","0","0","100601"
"270","0","0","0","0","0","0","25001","0","0","10","0","400000","0","0","15","0","0","3","0","20","3","0","0","100601"
"360","0","0","0","0","0","0","25001","0","0","15","0","500000","0","0","15","0","0","4","0","25","3","0","0","100601"
"450","0","1","0","0","0","0","25001","0","0","20","0","600000","0","5","15","0","0","5","0","30","3","0","0","100601"
"0","1500","1","0","10","0","0","32007","0","0","0","0","100000","0","0","18","0","4","1","0","50","1","0","0","100701"
"0","1000","1","0","15","0","0","31007","0","0","0","0","100000","0","0","11","0","5","1","0","50","2","0","0","100701"
"0","0","0","0","6","0","0","25001","0","0","0","0","100000","0","0","15","0","2","1","0","10","3","0","0","100701"
"0","0","0","0","12","0","0","25001","0","0","0","0","200000","0","0","15","0","4","2","0","15","3","0","0","100701"
"0","0","0","0","18","0","0","25001","0","0","0","0","400000","0","0","15","0","6","3","0","20","3","0","0","100701"
"0","0","0","0","24","0","0","25001","0","0","0","0","500000","0","0","15","0","8","4","0","25","3","0","0","100701"
"0","0","1","0","30","0","0","25001","0","0","0","0","600000","0","0","15","0","10","5","0","30","3","0","0","100701"
"240","0","1","0","0","0","0","32008","0","0","0","0","100000","0","5","18","0","0","1","0","50","1","0","0","100801"
"120","0","1","0","0","0","0","31008","0","0","0","0","100000","0","3","11","0","0","1","0","50","2","0","0","100801"
"130","0","0","0","0","0","0","25001","0","0","5","0","100000","0","0","15","0","0","1","0","10","3","0","0","100801"
"260","0","0","0","0","0","0","25001","0","0","10","0","200000","0","0","15","0","0","2","0","15","3","0","0","100801"
"390","0","0","0","0","0","0","25001","0","0","15","0","400000","0","0","15","0","0","3","0","20","3","0","0","100801"
"520","0","0","0","0","0","0","25001","0","0","20","0","500000","0","0","15","0","0","4","0","25","3","0","0","100801"
"650","0","1","0","0","0","0","25001","0","0","25","0","600000","0","2","15","0","0","5","1","30","3","0","0","100801"
"360","0","1","0","0","0","0","32009","0","0","10","0","100000","0","5","18","0","0","1","0","50","1","0","0","100901"
"180","0","1","0","0","0","0","31009","0","0","10","0","100000","0","3","11","0","0","1","0","50","2","0","0","100901"
"180","0","0","0","0","0","0","25001","0","0","10","0","100000","0","0","15","0","0","1","0","10","3","0","0","100901"
"360","0","0","0","0","0","0","25001","0","0","20","0","200000","0","0","15","0","0","2","0","15","3","0","0","100901"
"540","0","0","0","0","0","0","25001","0","0","20","0","400000","0","0","15","0","0","3","0","20","3","0","0","100901"
"720","0","0","0","0","0","0","25001","0","0","30","0","500000","0","0","15","0","0","4","0","25","3","0","0","100901"
"900","0","1","0","0","0","0","25001","0","0","50","0","600000","0","2","15","0","0","5","0","30","3","0","0","100901"
"100","0","1","0","0","0","0","32010","0","0","0","0","100000","0","0","18","10","0","1","0","50","1","0","0","101001"
"60","0","1","0","0","0","0","31010","0","0","0","0","100000","0","0","11","10","0","1","0","50","2","0","0","101001"
"20","0","0","0","2","0","0","25001","0","0","0","0","100000","0","0","15","0","0","1","0","10","3","0","0","101001"
"40","0","0","0","4","0","0","25001","0","0","0","0","200000","0","0","15","0","0","2","0","15","3","0","0","101001"
"60","0","0","0","6","0","0","25001","0","0","0","0","400000","0","0","15","0","0","3","0","20","3","0","0","101001"
"80","0","0","0","8","0","0","25001","0","0","0","0","500000","0","0","15","0","0","4","0","25","3","0","0","101001"
"100","0","1","0","10","0","0","25001","0","0","0","0","600000","0","0","15","10","0","5","0","30","3","0","0","101001"
"0","0","1","0","0","0","0","32011","0","0","0","0","100000","160","5","18","0","0","1","0","50","1","0","0","101101"
"0","0","1","0","0","0","0","31011","0","0","0","0","100000","80","3","11","0","0","1","0","50","2","0","0","101101"
"0","0","0","0","0","0","0","25001","0","0","0","0","100000","100","0","15","0","0","1","0","10","3","0","0","101101"
"0","0","0","0","0","0","0","25001","10","0","0","0","200000","200","0","15","0","0","2","0","15","3","0","0","101101"
"0","0","0","0","0","0","0","25001","20","0","0","0","400000","300","0","15","0","0","3","0","20","3","0","0","101101"
"0","0","0","0","0","0","0","25001","30","0","0","0","500000","400","0","15","0","0","4","0","25","3","0","0","101101"
"0","0","1","0","0","0","0","25001","40","0","0","0","600000","500","2","15","0","0","5","0","30","3","2","0","101101"
"160","0","1","0","0","0","0","32012","0","0","10","0","100000","0","3","18","0","0","1","0","50","1","0","0","101201"
"80","0","1","0","0","0","0","31012","0","0","5","0","100000","0","2","11","0","0","1","0","50","2","0","0","101201"
"100","0","0","0","0","0","0","25001","0","0","5","0","100000","0","0","15","0","0","1","0","10","3","0","0","101201"
"200","0","0","0","0","0","0","25001","0","0","10","0","200000","0","0","15","0","0","2","0","15","3","0","0","101201"
"300","0","0","0","0","0","0","25001","0","0","15","0","400000","0","0","15","0","0","3","0","20","3","0","0","101201"
"400","0","0","0","0","0","0","25001","0","0","20","0","500000","0","0","15","0","0","4","0","25","3","0","0","101201"
"500","0","1","0","0","0","0","25001","0","0","25","0","600000","0","0","15","0","0","5","0","30","3","2","0","101201"
"160","0","1","0","0","0","0","32013","0","0","10","0","100000","0","3","18","0","0","1","0","50","1","0","0","101301"
"80","0","1","0","0","0","0","31013","0","0","5","0","100000","0","2","11","0","0","1","0","50","2","0","0","101301"
"85","0","0","0","0","0","0","25001","0","0","5","0","100000","0","0","15","0","0","1","0","10","3","0","0","101301"
"170","0","0","0","0","0","0","25001","0","0","10","0","200000","0","0","15","0","0","2","0","15","3","0","0","101301"
"255","0","0","0","0","0","0","25001","0","0","15","0","400000","0","0","15","0","0","3","0","20","3","0","0","101301"
"340","0","0","0","0","0","0","25001","0","0","20","0","500000","0","0","15","0","0","4","0","25","3","0","0","101301"
"425","0","1","0","0","0","0","25001","0","0","25","0","600000","0","5","15","0","0","5","0","30","3","2","0","101301"
"240","0","1","0","25","0","0","32014","0","0","0","0","100000","0","0","18","0","0","1","0","50","1","0","0","101401"
"120","0","1","25","0","0","0","31014","0","0","0","0","100000","0","0","11","0","0","1","0","50","2","0","0","101401"
"130","0","0","4","4","0","0","25001","0","0","0","0","100000","0","0","15","0","0","1","0","10","3","0","0","101401"
"260","0","0","8","8","0","0","25001","0","0","0","0","200000","0","0","15","0","0","2","0","15","3","0","0","101401"
"390","0","0","12","12","0","0","25001","0","0","0","0","400000","0","0","15","0","0","3","0","20","3","0","0","101401"
"520","0","0","16","16","0","0","25001","0","0","0","0","500000","0","0","15","0","0","4","0","25","3","0","0","101401"
"650","0","1","18","18","0","0","25001","0","0","0","0","600000","0","0","15","0","0","5","0","30","3","0","0","101401"
"160","0","1","0","0","0","0","32015","0","0","0","0","100000","0","5","18","0","0","1","0","50","1","0","0","101501"
