9051ee825354d491c64fdbdbad02f89331d568980a145ef0ab22a2ba41dda43c,fd22df228c609145b59baeadc8c560a5baed8702fe6e2886d55c889a9113a88d,ff6ef4dcf2fea6feffc638fd10304294fd1d7345506bac5c13c3999834e15433,7534f2d6647aa86b8c9e6b66a834a36b49bd44ce3bca2b74ff23da4178070876,ccfcec337c1306cb820aedeadc3610f7ce9e4901d00f0546c7d9d2aba9a8b17e,3cbe7daac6e3875451d71dc39010293da6c773f855d9398a89e10fe60331df72
"0","10008","1","10008103","1","10008001"
"0","10008","2","10008104","1","10008002"
"0","10008","3","10008105","1","10008003"
"0","10008","4","10008107","1","10008004"
"0","10008","5","10008111","1","10008005"
"0","10008","201","0","2","10008006"
"0","10008","101","10008105","201","10008201"
"0","10008","102","10008107","201","10008202"
"0","10008","103","10008111","201","10008203"
"0","10008","111","10008115","202","10008204"
"0","10008","105601","0","101","10008301"
"0","10008","100901","10008103","101","10008302"
"0","10008","101301","10008104","101","10008303"
"0","10008","105601","10008105","101","10008304"
"0","10008","101301","10008107","101","10008305"
"0","10008","100901","10008111","101","10008306"
"0","10008","105601","0","102","10008307"
"0","10010","201","0","2","10010001"
"0","10010","2","10010112","1","10010002"
"0","10010","3","10010115","1","10010003"
"0","10010","4","10010103","1","10010004"
"0","10010","5","10010105","1","10010005"
"0","10010","6","10010107","1","10010006"
"0","10010","7","10010109","1","10010007"
"0","10010","101","10010112","211","10010201"
"0","10010","0","10010115","211","10010202"
"101471","10010","101461","10010110","501","10010501"
"101472","10010","101462","10010110","501","10010502"
"101473","10010","101463","10010110","501","10010503"
"0","10010","211","1001004","3","10010531"
"0","10012","1","1001201","4","10012001"
"0","10012","2","1001202","4","10012002"
"0","10012","3","1001203","4","10012003"
"0","10012","4","1001204","4","10012004"
"0","10012","101","1001201","5","10012301"
"0","10012","101","1001202","5","10012302"
"0","10012","101","1001203","5","10012303"
"0","10012","501","0","6","10012401"
"0","10012","211","1001204","3","10012531"
"0","10013","211","1001304","3","10013531"
"0","10015","211","1001504","3","10015531"
"0","10017","1","10017102","1","10017001"
"0","10017","2","10017108","1","10017002"
"0","10017","3","10017115","1","10017003"
"0","10017","105801","0","101","10017301"
"0","10017","109901","10017102","101","10017302"
"0","10017","109901","0","102","10017303"
"0","10017","211","1001704","3","10017531"
"101931","10021","101921","10021112","501","10021001"
"101932","10021","101922","10021112","501","10021002"
"101933","10021","101923","10021112","501","10021003"
"100351","10021","100011","10021112","501","10021004"
"100352","10021","100012","10021112","501","10021005"
"100353","10021","100013","10021112","501","10021006"
"100354","10021","100014","10021112","501","10021007"
"100355","10021","100015","10021112","501","10021008"
"100356","10021","100016","10021112","501","10021009"
"100357","10021","100017","10021112","501","10021010"
"100358","10021","100018","10021112","501","10021011"
"100359","10021","100019","10021112","501","10021012"
"0","10039","211","1003904","3","10039531"
"0","10053","1","10053102","1","10053001"
"0","10053","2","10053108","1","10053002"
"0","10053","3","10053115","1","10053003"
"0","10053","105801","0","101","10053301"
"0","10053","109901","10053102","101","10053302"
"0","10053","109901","0","102","10053303"
"0","10053","211","1005304","3","10053531"
"0","10084","1","10084102","1","10084001"
"0","10084","2","10084112","1","10084002"
"0","10084","3","10084115","1","10084003"
"0","10085","1","10085102","1","10085001"
"0","10085","2","10085108","1","10085002"
"0","10085","3","10085115","1","10085003"
"0","10112","1","10112102","1","10112001"
"0","10112","2","10112112","1","10112002"
"0","10112","3","10112115","1","10112003"
"0","10113","1","10113102","1","10113001"
"0","10113","2","10113108","1","10113002"
"0","10113","3","10113115","1","10113003"
"0","10153","1","10153102","1","10153001"
"0","10153","2","10153108","1","10153002"
"0","10153","3","10153115","1","10153003"
"0","10153","105801","0","101","10153301"
"0","10153","109901","10153102","101","10153302"
"0","10153","109901","0","102","10153303"
"0","10153","211","1015304","3","10153531"
"0","20008","1","20008103","1","20008001"
"0","20008","2","20008104","1","20008002"
"0","20008","3","20008105","1","20008003"
"0","20008","4","20008107","1","20008004"
"0","20008","5","20008111","1","20008005"
"0","20008","201","0","2","20008006"
"0","20008","101","20008105","201","20008201"
"0","20008","102","20008107","201","20008202"
"0","20008","103","20008111","201","20008203"
"0","20008","111","20008115","202","20008204"
"0","20008","105601","0","101","20008301"
"0","20008","100901","20008103","101","20008302"
"0","20008","101301","20008104","101","20008303"
"0","20008","105601","20008105","101","20008304"
"0","20008","101301","20008107","101","20008305"
"0","20008","100901","20008111","101","20008306"
"0","20008","105601","0","102","20008307"
"0","20010","201","0","2","20010001"
"0","20010","1","20010110","1","20010002"
"0","20010","2","20010112","1","20010003"
"0","20010","3","20010115","1","20010004"
"0","20010","4","20010103","1","20010005"
"0","20010","5","20010105","1","20010006"
"0","20010","6","20010107","1","20010007"
"0","20010","7","20010109","1","20010008"
"0","20010","101","20010112","211","20010201"
"0","20010","0","20010115","211","20010202"
"101471","20010","101461","20010110","501","20010501"
"101472","20010","101462","20010110","501","20010502"
"101473","20010","101463","20010110","501","20010503"
"0","20010","211","2001004","3","20010531"
"0","20012","1","2001201","4","20012001"
"0","20012","2","2001202","4","20012002"
"0","20012","3","2001203","4","20012003"
"0","20012","4","2001204","4","20012004"
"0","20012","101","2001201","5","20012301"
"0","20012","101","2001202","5","20012302"
"0","20012","101","2001203","5","20012303"
"0","20012","501","0","6","20012401"
"0","20012","211","2001204","3","20012531"
"0","20014","211","2001404","3","20014531"
"101931","20016","101921","20016112","501","20016001"
"101932","20016","101922","20016112","501","20016002"
"101933","20016","101923","20016112","501","20016003"
"100351","20016","100011","20016112","501","20016004"
"100352","20016","100012","20016112","501","20016005"
"100353","20016","100013","20016112","501","20016006"
"100354","20016","100014","20016112","501","20016007"
"100355","20016","100015","20016112","501","20016008"
"100356","20016","100016","20016112","501","20016009"
"100357","20016","100017","20016112","501","20016010"
"100358","20016","100018","20016112","501","20016011"
"100359","20016","100019","20016112","501","20016012"
"0","20046","1","20046102","1","20046001"
"0","20046","2","20046112","1","20046002"
"0","20046","3","20046115","1","20046003"
"0","20047","1","20047102","1","20047001"
"0","20047","2","20047108","1","20047002"
"0","20047","3","20047115","1","20047003"
