d64251131ea0653c553cb8a7b6c4541b37d9fc895deb1bfbdedc14790624d5b9,a95dfd4309ab1461c2b06b9ca567aef0a3ac50aa348c5436e4b6f64bf27a462b,ee1068441cdb57f9f600329bd6106a27170c83b5ebc49bdcf1f917f454a1310c
"1","1","101"
"1","2","103"
"1","3","105"
"2","4","101"
"2","5","102"
"2","6","103"
"2","7","105"
"3","8","101"
"3","9","102"
"3","10","103"
"4","11","101"
"4","12","103"
"4","13","104"
"4","14","105"
"5","15","103"
"5","16","104"
"5","17","105"
"6","18","102"
"6","19","104"
"6","20","106"
"7","21","101"
"7","22","102"
"7","23","106"
"8","24","102"
"8","25","103"
"8","26","106"
"9","27","103"
"9","28","104"
"9","29","105"
"10","30","101"
"10","31","103"
"10","32","105"
"11","33","107"
"11","34","108"
