23c9f36b3c35397a848e5eb428d4afd6b4f4359e364c6bd8e2ef593e266a8972,dd05c32b741bbc005e7e29fdf97d4617786274bdec22143e69dae4c1c38c848d,e87f7eb49378fe12f34c64ec3cbd9494b37a80730898586faa29d2a49943ba3c,f12d807789adeed6bccdb807e76bac3d299582a4a1ebed1caa5fdb045499a84d,c90fd3441af4138a33234744a662c687a8b7f5a3cbd852be067ee898f8e003e1,dc74953d7740483e43b6386653875c77e21540cc26cd8a3f0e802b57e7268baa
"10201001","2","5","5201083","10201","201"
"10213001","2","3","5213062","10213","1021301"
"10213002","3","2","1021301","10213","5213063"
"10213003","2","3","5213064","10213","1021302"
"10213004","3","2","1021302","10213","5213065"
"10213005","2","3","5213066","10213","1021303"
"10213006","3","2","1021303","10213","5213067"
"10213007","2","3","5213068","10213","1021304"
"10213008","3","2","1021304","10213","5213069"
"10213009","2","3","5213070","10213","1021305"
"10213010","3","2","1021305","10213","5213071"
"10213011","2","3","5213072","10213","1021306"
"10213012","3","2","1021306","10213","5213073"
"10213013","2","3","5213074","10213","1021307"
"10213014","3","2","1021307","10213","5213075"
"10213015","2","3","5213076","10213","1021311"
"10213016","3","2","1021311","10213","5213077"
"10213017","2","3","5213078","10213","1021312"
"10213018","3","2","1021312","10213","5213079"
"10213019","2","3","5213080","10213","1021313"
"10213020","3","2","1021313","10213","5213081"
"10213021","2","3","5213082","10213","1021314"
"10213022","3","2","1021314","10213","5213083"
"10213023","2","3","5213084","10213","1021315"
"10213024","3","2","1021315","10213","5213085"
"10213025","2","3","5213086","10213","1021316"
"10213026","3","2","1021316","10213","5213087"
"10213027","2","3","5213088","10213","1021317"
"10213028","3","2","1021317","10213","5213089"
"10213029","2","3","5213090","10213","1021321"
"10213030","3","2","1021321","10213","5213091"
"10213031","2","3","5213092","10213","1021322"
"10213032","3","2","1021322","10213","5213093"
"10213033","2","3","5213094","10213","1021323"
"10213034","3","2","1021323","10213","5213095"
"10213035","2","3","5213096","10213","1021324"
"10213036","3","2","1021324","10213","5213097"
"10213037","2","3","5213098","10213","1021325"
"10213038","3","2","1021325","10213","5213099"
"10213039","2","3","5213100","10213","1021326"
"10213040","3","2","1021326","10213","5213101"
"10213041","2","3","5213102","10213","1021327"
"10213042","3","2","1021327","10213","5213103"
