e6eb8aeda9e72b37ba2ca4f52ddace989b72088693f445c5b2b7a9ed5240165e,83aaa1d1844947c8a3a8a0b6ce1eefa1a1f2cfadf2c7359fdf6a4d56f614179b,5d18bbe28d56852df8b940cfde63e33e8be51484bcb4ec4e0d94a92bfc47b8e8,e0da30c648802f9cd7941cbafb05a8ff08842ab5da13e259e6ca26381fc2192d,546eb4cedf5735460f62794d67ee48ab8d0d25816269dc1c4a687db77b411c75,db61fb5fd6ccc08cbc4c08cef3b6a5d8fea9fee4418d8771271b66d25153d01f,4d437b58241940c1f3c10e570e5052a7bcc3b84395fff5166452cf1ea008cb4e,3c6055d07959ef9971d1f92ea561033bd7342022d959777c64ee221e301fa879,c3f58a6aae5b02a4fafbf856494f21ac52be21895b91ed4c4912dc4143cf4fe4,82e5b18edf53b83fadd9e44461ed2f61431f6391501e4a031519ddc9b50ab37b,0e9e648acc3f3a64dc0a02e81972a80a3a96065f88ac2f4caf9dee3d35f5c9b4,3a99436e025f6c8391995b64c22fc3a8a582e39ccc922d5a35f06281aa83d134,80ac0affff95f7ff2a5b331d7d9e26bfdd5fc1da4914d848231c63323031f42b,060191eb46d0be50df13aea97ad93e4c3f72b6d55a125661ee689ac933fdf798
"100000","0","30","-30","1.7","10","0","10050","1005001","0","2","0","1.5","0"
"100000","0.03","-17","25","1.7","0","1","10050","1005001","-40","1","0","1.5","10050101"
"100000","0","-32","-47","1.7","10","0","10050","1005001","-23","3","0","1.5","0"
"100000","0","30","-30","1.7","10","0","10050","1005002","0","2","0","1.5","0"
"100000","0.03","-17","25","1.7","0","1","10050","1005002","-40","1","0","1.5","10050201"
"100000","0","-32","-47","1.7","10","0","10050","1005002","-23","3","0","1.5","0"
"100000","0","30","-30","1.7","10","0","10050","1005003","0","2","0","1.5","0"
"100000","0.03","-17","25","1.7","0","1","10050","1005003","-40","1","0","1.5","10050301"
"100000","0","-32","-47","1.7","10","0","10050","1005003","-23","3","0","1.5","0"
"100000","0","30","-30","1.7","10","0","10050","1005004","0","2","0","1.5","0"
"100000","0.03","-17","25","1.7","0","1","10050","1005004","-40","1","0","1.5","10050401"
"100000","0","-32","-47","1.7","10","0","10050","1005004","-23","3","0","1.5","0"
"100000","0","30","-30","1.7","10","0","10050","1005005","0","2","0","1.5","0"
"100000","0.03","-17","25","1.7","0","1","10050","1005005","-40","1","0","1.5","0"
"100000","0","-32","-47","1.7","10","0","10050","1005005","-23","3","0","1.5","0"
"100000","0","30","-30","1.7","10","0","10077","1007701","0","2","0","1.5","0"
"100000","0.03","-17","25","1.7","0","1","10077","1007701","-40","1","0","1.5","10077101"
"100000","0","-32","-47","1.7","10","0","10077","1007701","-23","3","0","1.5","0"
"100000","0","30","-30","1.7","10","0","10077","1007702","0","2","0","1.5","0"
"100000","0.03","-17","25","1.7","0","1","10077","1007702","-40","1","0","1.5","10077201"
"100000","0","-32","-47","1.7","10","0","10077","1007702","-23","3","0","1.5","0"
"100000","0","30","-30","1.7","10","0","10077","1007703","0","2","0","1.5","0"
"100000","0.03","-17","25","1.7","0","1","10077","1007703","-40","1","0","1.5","10077301"
"100000","0","-32","-47","1.7","10","0","10077","1007703","-23","3","0","1.5","0"
"100000","0","30","-30","1.7","10","0","10077","1007704","0","2","0","1.5","0"
"100000","0.03","-17","25","1.7","0","1","10077","1007704","-40","1","0","1.5","10077401"
"100000","0","-32","-47","1.7","10","0","10077","1007704","-23","3","0","1.5","0"
"100000","0","30","-30","1.7","10","0","10077","1007705","0","2","0","1.5","0"
"100000","0.03","-17","25","1.7","0","1","10077","1007705","-40","1","0","1.5","0"
"100000","0","-32","-47","1.7","10","0","10077","1007705","-23","3","0","1.5","0"
"100000","0.03","-13","-25","0.84","10","1","10088","1008801","-50","1","0","0.92","10088101"
