aa3a704246651b353144561aee56c3a96df8739e32e8f6d121fdd69c51f66b6d,a598036935ddd07cdf9d941ef5e070e8f99c983b00e128dc6a32963fbd0aa62e,8cb9db3b9235096ab62aedab325c71333c37fc05372d03dda7d741a0b30291fa,aaf6132c43f0653670e8aa38249d23520975d26af31fda0edee3a239e0c8235b,f074b5d3637c52fdf437a7f0cd76e47330c13b4f5fdf89462e9e838bd10382ea
"27001","2020/02/15 15:00:00","2020/03/02 4:59:59","27001","28"
"27001","2021/02/15 23:00:00","2021/03/05 11:59:59","27002","33"
"27001","2021/08/15 15:00:00","2021/09/05 11:59:59","27003","42"
"27001","2021/12/31 12:00:00","2022/01/21 11:59:59","27004","43"
"27005","2022/02/15 15:00:00","2022/03/05 14:59:59","27005","44"
"27001","2022/08/15 15:00:00","2022/09/05 11:59:59","27006","55"
"27001","2022/12/31 12:00:00","2023/01/21 11:59:59","27007","81"
"27005","2023/02/15 15:00:00","2023/03/05 14:59:59","27008","82"
"27009","2023/04/30 12:00:00","2023/05/25 14:59:59","27009","85"
"27001","2023/08/15 15:00:00","2023/09/04 14:59:59","27010","113"
"27012","2023/12/31 12:00:00","2024/01/21 11:59:59","27012","115"
"27005","2024/02/15 00:00:00","2024/03/05 14:59:59","27013","118"
"27012","2024/04/30 12:00:00","2024/05/30 23:59:59","27014","119"
"27012","2024/08/15 15:00:00","2024/09/10 23:59:59","27015","127"
"27012","2024/12/20 5:30:00","2024/12/31 11:59:59","27016","138"
"27012","2024/12/31 12:00:00","2025/01/24 23:59:59","27017","140"
"27018","2025/02/15 15:00:00","2025/03/05 23:59:59","27018","153"
"27012","2025/02/15 15:00:00","2025/03/05 23:59:59","27019","154"
"27012","2025/04/30 12:00:00","2025/05/30 23:59:59","27020","169"
