64ab5f7faa8b542ae98f1b6b47c2c39b90895a3a48b9971d0bb869edbc0fadd5,036663bcba58cdb48465f528c0baf1c1e26bf209e06352abe33b4d55e91a2200
"1004","4101501"
"1004","4101502"
"1012","4101511"
"1004","4102501"
"1004","4103501"
"1004","4104501"
"1004","4105501"
"1004","4106501"
"1004","4107501"
"1004","4108501"
"1005","4109501"
"1005","4110501"
"1006","4201501"
"1006","4202501"
"1007","4203501"
"1007","4204501"
"1010","4301511"
"1010","4301512"
"1010","4301513"
"1010","4301514"
"1010","4301515"
"1010","4301516"
"1010","4301517"
"1010","4301518"
"1010","4301519"
"1010","4301520"
"1010","4302511"
"1010","4302512"
"1010","4302513"
"1010","4302514"
"1010","4302515"
"1010","4302516"
"1010","4302517"
"1010","4302518"
"1010","4302519"
"1010","4302520"
"1010","4303511"
"1010","4303512"
"1010","4303513"
"1010","4303514"
"1010","4303515"
"1010","4303516"
"1010","4303517"
"1010","4303518"
"1010","4303519"
"1010","4303520"
"1011","4304511"
"1011","4304512"
"1011","4304513"
"1011","4304514"
"1011","4304515"
"1011","4304516"
"1011","4304517"
"1011","4304518"
"1011","4304519"
"1011","4304520"
"1011","4305511"
"1011","4305512"
"1011","4305513"
"1011","4305514"
"1011","4305515"
"1011","4305516"
"1011","4305517"
"1011","4305518"
"1011","4305519"
"1011","4305520"
