19a3592075f65dca58d6a95ab44e6e1d984d6245c73933988fc8b0165eeb7cf9,c8b510d378cab89488c51eada12a90bdf3152aead591491dfce3a7f9be643f38,5e080a3f89abf6d83f090c06f3cc0ee9782de7aaab05a67625b705fca9415963,7121a5a79222b1f24ad1e3637551c97ed7c26dd98b6de4c4c9c1afe54d296e24,c8bd2c90b80f6118192ba3415afa59819144d73c0839e2b95af747ccde2bf300
"53001","22","10001001","1","10001"
"53004","22","10001002","1","10001"
"53007","22","10001003","1","10001"
"53010","22","10001004","1","10001"
"53013","22","10001005","1","10001"
"53016","22","10001006","1","10001"
"53019","22","10001007","1","10001"
"53022","22","10001008","1","10001"
"53002","22","10001009","1","10001"
"53005","22","10001010","1","10001"
"53008","22","10001011","1","10001"
"53011","22","10001012","1","10001"
"53014","22","10001013","1","10001"
"53017","22","10001014","1","10001"
"53020","22","10001015","1","10001"
"53023","22","10001016","1","10001"
"53001","22","10002001","1","10002"
"53002","22","10002002","1","10002"
"53005","22","10002003","1","10002"
"53008","22","10002004","1","10002"
"53011","22","10002005","1","10002"
"53014","22","10002006","1","10002"
"53017","22","10002007","1","10002"
"53020","22","10002008","1","10002"
"53023","22","10002009","1","10002"
"53003","22","10002010","1","10002"
"53006","22","10002011","1","10002"
"53009","22","10002012","1","10002"
"53012","22","10002013","1","10002"
"53015","22","10002014","1","10002"
"53018","22","10002015","1","10002"
"53021","22","10002016","1","10002"
"53024","22","10002017","1","10002"
"53002","22","10003001","1","10003"
"53002","22","10003002","2","10003"
"53003","22","10003003","1","10003"
"53003","22","10003004","2","10003"
"53003","22","10003005","3","10003"
"53006","22","10003006","1","10003"
"53009","22","10003007","1","10003"
"53012","22","10003008","1","10003"
"53015","22","10003009","1","10003"
"53018","22","10003010","1","10003"
"53021","22","10003011","1","10003"
"53024","22","10003012","1","10003"
"53006","22","10003013","2","10003"
"53009","22","10003014","2","10003"
"53012","22","10003015","2","10003"
"53015","22","10003016","2","10003"
"53018","22","10003017","2","10003"
"53021","22","10003018","2","10003"
"53024","22","10003019","2","10003"
"53006","22","10003020","3","10003"
"53009","22","10003021","3","10003"
"53012","22","10003022","3","10003"
"53015","22","10003023","3","10003"
"53018","22","10003024","3","10003"
"53021","22","10003025","3","10003"
"53024","22","10003026","3","10003"
