ae0ffc4c9b33b13b2a5703976ac01679250fe593a694314486d3fe743ef3645f,0f80a4a35d9d825fc602e2d1b7820d67cfa2b408e66b92f001f3b22ebc944367,8525ac04a7a6695953f7b48e9c89dcc21e47b664ba6b08416490c13c4366cbcf,16b61dd95f55735133ea8e10e2c230052bf33eb697c054ab0fc599902d4b80da,65d725c88d4628303005583fd0811aeb78a7ca8d575a380455b56e6cde3b7d7e,794083b815fd8d8590ef259a42acf483431d1ed0605687c6cdb8aacae8ea8f80,20dec54a825d1e7f888b6bb362b8b730186a0a568d9fe00fcd3d4370601bc5a0,37f42f7c187599b7ee8bdccc62255043570387ca3a630d68c180498a1eee183d,21834574cdfe0fd7d45a391f0c5b370e9c3bb76fa175a06c09c8f96d47fad620,54945d4533f7f7e1bfc46ae622ce530951de6bf329a87e058226ed02d27d6601,3ced10b76d262a5b144ffd19adfc03ac9698088b7945bd7a71fd5024c5b1e8e9,a20f911971dd45a576d32559060faa2b4f7a8740b46767dc22098d371dde49eb,c814f3c6e1694da139f7aead48489acac091091700c5390fbab1ab9283da08aa,38f8a899a578d7758da51f2a3cbaa6084100fce098f585e06e8e31d2e506da4f,918732cedd5e7c88a1e7daaf101add5d8f9115f11cec2b0496c04e6793687274,5b7266bbbe5cabbf26b7d015e6874adff0e47c006762603c41ac6e1b7a26213a,ff6641a022e4614fde522d7cbe7e09bbbef4241510de18cab380d793169ba39a,2c84315fde2e05b6fe6d8ae26d95bc1f984beb48156770b4725bf0b8e4877d79,ee9d4bffe79e29b4a4cae54927229fedd389fdafce6ae6e5c3f8deea3dd577c0,a6501665fffdf81bc22845b7071e1b5056009f2f8b5ae929092a4e685132e5c4,9123034424c19f96478e875241fe2affcf09868f19a38f2e6bbba10b87bc5050
"1","0","1","0","8","0","30","31043","30","90006","0","0","1001","91002","5000","0","1","2","2","0","5000"
"2","0","31","0","8","0","25","31043","100","90006","0","0","1001","91002","4500","0","1","2","2","0","4500"
"3","0","101","0","8","0","20","31043","300","90006","0","0","1001","91002","4000","0","1","2","2","0","4000"
"4","0","301","0","8","0","18","31043","1000","90006","0","0","1001","91002","3500","0","1","2","2","0","3500"
"5","0","1001","0","8","0","16","31043","2000","90006","0","0","1001","91002","3000","0","1","2","2","0","3000"
"6","0","2001","0","8","0","14","31043","5000","90006","0","0","1001","91002","2000","0","1","2","2","0","2000"
"7","0","5001","0","8","0","12","31043","10000","90006","0","0","1001","91002","1500","0","1","2","2","0","1500"
"8","0","10001","0","8","0","10","31043","20000","90006","0","0","1001","91002","1000","0","1","2","2","0","1000"
"9","0","20001","0","8","0","5","31043","-1","90006","0","0","1001","91002","500","0","1","2","2","0","500"
"10","0","1","0","8","0","30","31022","20","90006","0","0","1002","91002","5000","0","1","2","2","0","5000"
"11","0","21","0","8","0","25","31022","100","90006","0","0","1002","91002","4500","0","1","2","2","0","4500"
"12","0","101","0","8","0","20","31022","250","90006","0","0","1002","91002","4000","0","1","2","2","0","4000"
"13","0","251","0","8","0","18","31022","500","90006","0","0","1002","91002","3500","0","1","2","2","0","3500"
"14","0","501","0","8","0","16","31022","1000","90006","0","0","1002","91002","3000","0","1","2","2","0","3000"
"15","0","1001","0","8","0","14","31022","2000","90006","0","0","1002","91002","2500","0","1","2","2","0","2500"
"16","0","2001","0","8","0","12","31022","3000","90006","0","0","1002","91002","2000","0","1","2","2","0","2000"
"17","0","3001","0","8","0","10","31022","5000","90006","0","0","1002","91002","1500","0","1","2","2","0","1500"
"18","0","5001","0","8","0","8","31022","10000","90006","0","0","1002","91002","1000","0","1","2","2","0","1000"
"19","0","10001","0","8","0","5","31022","-1","90006","0","0","1002","91002","500","0","1","2","2","0","500"
"20","0","1","0","8","0","30","31042","20","90006","0","0","1003","91002","5000","0","1","2","2","0","5000"
"21","0","21","0","8","0","25","31042","100","90006","0","0","1003","91002","4500","0","1","2","2","0","4500"
"22","0","101","0","8","0","20","31042","250","90006","0","0","1003","91002","4000","0","1","2","2","0","4000"
"23","0","251","0","8","0","18","31042","500","90006","0","0","1003","91002","3500","0","1","2","2","0","3500"
"24","0","501","0","8","0","16","31042","1000","90006","0","0","1003","91002","3000","0","1","2","2","0","3000"
"25","0","1001","0","8","0","14","31042","2000","90006","0","0","1003","91002","2500","0","1","2","2","0","2500"
"26","0","2001","0","8","0","12","31042","3000","90006","0","0","1003","91002","2000","0","1","2","2","0","2000"
"27","0","3001","0","8","0","10","31042","5000","90006","0","0","1003","91002","1500","0","1","2","2","0","1500"
"28","0","5001","0","8","0","8","31042","10000","90006","0","0","1003","91002","1000","0","1","2","2","0","1000"
"29","0","10001","0","8","0","5","31042","-1","90006","0","0","1003","91002","500","0","1","2","2","0","500"
"30","0","1","0","8","0","30","31018","20","90006","0","0","1004","91002","5000","0","1","2","2","0","5000"
"31","0","21","0","8","0","25","31018","100","90006","0","0","1004","91002","4500","0","1","2","2","0","4500"
"32","0","101","0","8","0","20","31018","250","90006","0","0","1004","91002","4000","0","1","2","2","0","4000"
"33","0","251","0","8","0","18","31018","500","90006","0","0","1004","91002","3500","0","1","2","2","0","3500"
"34","0","501","0","8","0","16","31018","1000","90006","0","0","1004","91002","3000","0","1","2","2","0","3000"
"35","0","1001","0","8","0","14","31018","2000","90006","0","0","1004","91002","2500","0","1","2","2","0","2500"
"36","0","2001","0","8","0","12","31018","3000","90006","0","0","1004","91002","2000","0","1","2","2","0","2000"
"37","0","3001","0","8","0","10","31018","5000","90006","0","0","1004","91002","1500","0","1","2","2","0","1500"
"38","0","5001","0","8","0","8","31018","10000","90006","0","0","1004","91002","1000","0","1","2","2","0","1000"
"39","0","10001","0","8","0","5","31018","-1","90006","0","0","1004","91002","500","0","1","2","2","0","500"
"40","0","1","0","8","0","30","31025","20","90006","0","0","1005","91002","5000","0","1","2","2","0","5000"
"41","0","21","0","8","0","25","31025","100","90006","0","0","1005","91002","4500","0","1","2","2","0","4500"
"42","0","101","0","8","0","20","31025","250","90006","0","0","1005","91002","4000","0","1","2","2","0","4000"
"43","0","251","0","8","0","18","31025","500","90006","0","0","1005","91002","3500","0","1","2","2","0","3500"
