d078f88b9b09bda22148f2b9b738701af17d9c3b90721f3cfe415fff209f89ca,73b5a1e2f3e9894ce7478dc4289cf3b207dc7e46ea16dcf2d85c264f6d8099ef,23753f1aa3f305ddb39e6300b9e96bf70a17f91f3e1aab7663ed48b75b477861,1d4638ba584d42be2bac618ec574de6f32e34615b983dafb33aa60cee683154a,e1b973293db72593180079297de4b6fe0c3cf8a591e28d35865bd4adfa3febba,ee3c1a242e1b4a431a21a1fc53d6a1d2b5066ea81f6d358686fbe92ca9d3e225,c04572eea70a5071824ff28d8474ad9d005d1f958b8df25cc3e439ef65b52449,c8d3fb58fdda58cfb7b93195cca8cae91153299f1f5c06e9fa4b94a19508dd19,81e7060e2ff2ebae1b408b06fcbb29225630e3a0aee3b52833e2db8baa30e4a4,76db2f564ccb60be192c0be7a47c192302d6e3da067d238b7edf310ddf9a6125,0fc4a6ba3ca18f6b7bd02c63acce3cfc02e6431c8353e72428ffec5df76f4e33
"0","111","23","","se_travel_start_1pt","","","101110001","","","se_travel"
"0","111","31","1","10010","","","101110002","0","1","10010"
"0","111","31","1","10011","","","101110003","0","1","10011"
"0","111","31","0","10020","","","101110004","0","1","10020"
"62","111","1","0.68","1001001","<weapon>_idle","0","101110005","-150","-150","2"
"61","111","1","0.68","1001002","<weapon>_idle","0","101110006","-250","-75","2"
"63","111","1","0.68","1001003","<weapon>_idle","0","101110007","-350","-180","2"
"61","111","1","0.68","1001004","<weapon>_idle","0","101110008","-450","-75","2"
"62","111","1","0.68","1001005","<weapon>_idle","0","101110009","-550","-150","2"
"-150","111","31","1","1001001","","0","101110010","-150","0.68","10012"
"-250","111","31","1","1001002","","0","101110011","-75","0.68","10012"
"-350","111","31","1","1001003","","0","101110012","-180","0.68","10012"
"-450","111","31","1","1001004","","0","101110013","-75","0.68","10012"
"-550","111","31","1","1001005","","0","101110014","-150","0.68","10012"
"0","111","31","0","10030","","","101110015","0","1","10030"
"0","111","31","0","10031","","","101110016","0","1","10031"
"","111","91","","0","","","101110017","","",""
"","111","32","","1","","","101110018","","","10030"
"","111","91","","0","","","101110019","","","0"
"1","111","3","0","<weapon>_run","","","101110020","","0","1001001"
"1","111","3","0","<weapon>_run","","","101110021","","0","1001002"
"1","111","3","0","<weapon>_run","","","101110022","","0","1001003"
"1","111","3","0","<weapon>_run","","","101110023","","0","1001004"
"1","111","3","0","<weapon>_run","","","101110024","","0","1001005"
"-150","111","2","","800","","","101110025","3","0","1001001"
"-75","111","2","","700","","","101110026","3","0","1001002"
"-180","111","2","","600","","","101110027","3","0","1001003"
"-75","111","2","","500","","","101110028","3","0","1001004"
"-150","111","2","","400","","","101110029","3","0","1001005"
"-150","111","33","","800","","","101110030","3","0","1001001"
"-75","111","33","","700","","","101110031","3","0","1001002"
"-180","111","33","","600","","","101110032","3","0","1001003"
"-75","111","33","","500","","","101110033","3","0","1001004"
"-150","111","33","","400","","","101110034","3","0","1001005"
"","111","32","","1","","","101110035","","","10020"
"","111","93","","0","","","101110036","","","2.5"
"","111","32","","1","","","101110037","","","10031"
"","111","93","","0","","","101110038","","","0.4"
"","111","91","","0","","","101110039","","","0"
"0","211","23","","se_travel_start_2pt","","","102110001","","","se_travel"
"0","211","31","1","10010","","","102110002","0","1","10010"
"0","211","31","1","10011","","","102110003","0","1","10011"
