164c050b61ea17822d216287bd6e4562b111f9b21fb7a2615bd37cf828034c9a,5d3c3125f002ef14f3577f547bb9ec9238bd24866d106f49f9cecf0696387479,ac519500a1a0fe8999eb1e8ac6ae8f5a1e99e6f2a0b5cf909efe7275104911cd,ba9d78470075acd7266041e28e3eac0aec4fe588f158e549b7f251de1174e2b5,b93f6bea88ddde6ea89201a289c0e448ca54e60ab296dab433e8bf8a82056fc8,6a8abad0ac582597d828d3e722bfa53e3bc3bd43518bfe341f4aa5c8c2099715,352532b9b6475256f7561343e0b18c850b11530c0ae8a5345d554b34b5402018,2a1d596b6cad3368ccaa83f5046b476c3a4ef3977af820ef6814a1af044d2578,fcfcccca6b0f06bf92e7ddd4d3b221733c872ad9e26a60c050b4cc9b8aed6023,9f509e0fd15ab2ac81af4ff4148f0e720a5ab1a53749b8d970c007a7b9ab2fcd,2b3c8fe75cc2925e01fb40e6b0d90c25b3dc114d59050f278710ac1ed6774023
"-100","2","1000001","55","1","1001","1.3","110010001","<weapon>_idle","0","-250"
"0","100","100","0","31","1001","1","110010002","","","1"
"0","101","101","0","31","1001","0","110010003","","","1"
"0","4","4","0","31","1001","1","110010004","","","1"
"0","5","5","94.5","31","1001","1","110010005","","","1"
"","0","0","","91","1001","","110010006","","",""
"","0.4","0","","93","1001","","110010007","","",""
"","1000001","<weapon>_joy_short","0","3","1001","0.2","110010008","","",""
"","1.3","0","","93","1001","","110010009","","",""
"","1000001","<weapon>_run","1","3","1001","0","110010010","","",""
"1","1000001","800","-250","2","1001","","110010011","","","0"
"","0.7","0","","93","1001","","110010012","","",""
"","101","1","","32","1001","","110010013","","",""
"","0.7","0","","93","1001","","110010014","","",""
"-640","2","1000001","55","1","1101","1.3","111010001","<weapon>_run","0","-250"
"0","100","100","0","31","1101","1","111010002","","","1"
"0","101","101","0","31","1101","0","111010003","","","1"
"0","4","4","0","31","1101","1","111010004","","","1"
"","4","0","","35","1101","","111010005","","",""
"0","5","5","0","31","1101","1","111010006","","","1"
"0","10","10","0","31","1101","1","111010007","","","1"
"","0","","","91","1101","","111010008","","",""
"","100","1","","35","1101","","111010009","","",""
"2.1","1000001","640","-250","2","1101","","111010010","","","0"
"","1.7","0","","93","1101","","111010011","","",""
"","101","1","","32","1101","","111010012","","",""
"","0.7","0","","93","1101","","111010013","","",""
"0","1","1000001","55","1","2001","1.3","120010001","look_loop","0","-240"
"0","1","1","0","31","2001","0","120010002","","0","1"
"","1","0","","35","2001","","120010003","","",""
"","1","1","","32","2001","","120010004","","",""
"0","2","2","345.4","31","2001","1","120010005","","0","1"
"","2","0","","35","2001","","120010006","","",""
"0","3","3","345.4","31","2001","0","120010007","","0","1"
"","3","0","","35","2001","","120010008","","",""
"","3","1","","32","2001","","120010009","","",""
"0","31000001","31000001","-345.4","31","2001","1","120010010","","","1"
"0","31000002","31000002","345.4","31","2001","1","120010011","","","1"
"0","100","100","0","31","2001","1","120010012","","","1"
"0","101","101","0","31","2001","0","120010013","","","1"
"","0","","","91","2001","","120010014","","",""
"","100","1","","35","2001","","120010015","","",""
"look_loop","1000001","look_in","0","3","2001","0","120010016","","0","1"
"","1.3","0","","93","2001","","120010017","","",""
"0","12","998","0","31","2101","0","121010001","","","1"
"0","14","997","0","31","2101","0","121010002","","","1"
"0","16","996","0","31","2101","0","121010003","","","1"
"","31000001","0","","32","2101","","121010004","","",""
"","31000002","0","","32","2101","","121010005","","",""
"1","0","0","-1","121","2101","0","121010006","","","0"
"","1","1","","35","2101","","121010007","","",""
"","3","1","","35","2101","","121010008","","",""
"","1000001","pointing","0","3","2101","0","121010009","","",""
"","1","0","","93","2101","","121010010","","",""
"1.47","505","100","-1.47","121","2101","0","121010011","","","2"
"","1000001","run_talk1","1","3","2101","0.2","121010012","","",""
"1","1000001","100","-240","2","2101","","121010013","","","0"
"","se_travel","se_travel_treasure_cha_run","0","23","2101","","121010014","","",""
"","1","0","","93","2101","","121010015","","",""
"0","11","998","0","31","2201","0","122010001","","","1"
"0","13","997","0","31","2201","0","122010002","","","1"
"0","15","996","0","31","2201","0","122010003","","","1"
"","31000001","0","","32","2201","","122010004","","",""
"","31000002","0","","32","2201","","122010005","","",""
"","1","1","","35","2201","","122010006","","",""
"","3","1","","35","2201","","122010007","","",""
"","1000001","pointing","0","3","2201","0","122010008","","",""
"","1","0","","93","2201","","122010009","","",""
"1.47","-505","100","1.47","121","2201","0","122010010","","","2"
"","1000001","run_talk1","1","3","2201","0.2","122010011","","",""
