7f5c9f1b390fa778700621f74f9a9ed06c5379a050c5b92f90c66dd4eaecddf9,91da6d0e337e07da4fbcc5156adc7435f6a7791901efabf09b98d595ac1fcf99,cd6950e23ea5ae10911b1cb092746f06d75ea740cf948f60a692f7aa1c549aac,d9f9fb6785b95f852a758942e2f246d7249307c59c2795dac6db1c77965a5103,ceacf34a27fc4df4183d9e76607310c24f3e0a0da1b8fae611e035b01db0d3b1
"111","1","90","770110101","770110101"
"111","1","90","770110201","770110201"
"111","1","90","770110301","770110301"
"111","1","90","770110401","770110401"
"111","1","90","770110501","770110501"
"111","1","90","770110601","770110601"
"111","1","90","770110701","770110701"
"111","1","90","770110801","770110801"
"111","1","90","770110901","770110901"
"111","1","90","770111001","770111001"
"111","1","90","770111101","770111101"
"111","1","90","770111201","770111201"
"111","1","90","770111301","770111301"
"111","1","90","770111401","770111401"
"111","1","90","770111501","770111501"
"111","1","90","770111601","770111601"
"111","1","90","770111701","770111701"
"111","1","90","770111801","770111801"
"111","1","90","770111901","770111901"
"111","1","90","770112001","770112001"
"111","1","90","770112101","770112101"
"111","1","90","770112201","770112201"
"111","1","90","770112301","770112301"
"111","1","90","770112401","770112401"
"111","1","90","770112501","770112501"
"111","1","90","770112601","770112601"
"111","1","90","770112701","770112701"
"111","1","90","770112801","770112801"
"111","1","90","770112901","770112901"
"111","1","90","770113001","770113001"
"111","1","90","770113101","770113101"
"111","1","90","770113201","770113201"
"111","1","90","770113301","770113301"
"111","1","90","770113401","770113401"
"111","1","90","770113501","770113501"
"111","1","90","770113601","770113601"
"611","1","90","770113701","770113701"
"711","1","90","770113702","770113701"
"811","1","90","770113703","770113701"
"911","1","90","770113704","770113701"
"1011","1","85","770113705","770113701"
"611","1","90","770113801","770113801"
"711","1","90","770113802","770113801"
"811","1","90","770113803","770113801"
"911","1","90","770113804","770113801"
"1011","1","85","770113805","770113801"
"611","1","90","770113901","770113901"
"711","1","90","770113902","770113901"
"811","1","90","770113903","770113901"
"911","1","90","770113904","770113901"
"1011","1","85","770113905","770113901"
"611","1","90","770114001","770114001"
"711","1","90","770114002","770114001"
"811","1","90","770114003","770114001"
"911","1","90","770114004","770114001"
"1011","1","85","770114005","770114001"
"611","1","90","770114101","770114101"
"711","1","90","770114102","770114101"
"811","1","90","770114103","770114101"
"911","1","90","770114104","770114101"
"1011","1","85","770114105","770114101"
"611","1","90","770114201","770114201"
"711","1","90","770114202","770114201"
"811","1","90","770114203","770114201"
"911","1","90","770114204","770114201"
"1011","1","85","770114205","770114201"
"611","1","90","770114301","770114301"
"711","1","90","770114302","770114301"
"811","1","90","770114303","770114301"
"911","1","90","770114304","770114301"
"1011","1","85","770114305","770114301"
"611","1","90","770114401","770114401"
"711","1","90","770114402","770114401"
"811","1","90","770114403","770114401"
"911","1","90","770114404","770114401"
"1011","1","85","770114405","770114401"
"611","1","90","770114501","770114501"
"711","1","90","770114502","770114501"
"811","1","90","770114503","770114501"
"911","1","90","770114504","770114501"
"1011","1","85","770114505","770114501"
"611","1","90","770114601","770114601"
"711","1","90","770114602","770114601"
"811","1","90","770114603","770114601"
"911","1","90","770114604","770114601"
"1011","1","85","770114605","770114601"
"611","1","90","770114701","770114701"
"711","1","90","770114702","770114701"
"811","1","90","770114703","770114701"
"911","1","90","770114704","770114701"
"1011","1","85","770114705","770114701"
"611","1","90","770114801","770114801"
"711","1","90","770114802","770114801"
"811","1","90","770114803","770114801"
"911","1","90","770114804","770114801"
"1011","1","85","770114805","770114801"
"611","1","90","770114901","770114901"
"711","1","90","770114902","770114901"
"811","1","90","770114903","770114901"
"911","1","90","770114904","770114901"
"1011","1","85","770114905","770114901"
"611","1","90","770115001","770115001"
"711","1","90","770115002","770115001"
"811","1","90","770115003","770115001"
"911","1","90","770115004","770115001"
"1011","1","85","770115005","770115001"
"611","1","90","770115101","770115101"
"711","1","90","770115102","770115101"
"811","1","90","770115103","770115101"
"911","1","90","770115104","770115101"
"1011","1","85","770115105","770115101"
"611","1","90","770115201","770115201"
"711","1","90","770115202","770115201"
"811","1","90","770115203","770115201"
"911","1","90","770115204","770115201"
"1011","1","85","770115205","770115201"
