b5297b0dbb0f5bd1375164ffc4c01ba9285dc40164b3d350b365600410f48ced,4259f88bb0eb99964ef11968525783eb17912262b5222135d81268f8fd47daae,dc2b30c1835f0dcd062b95b3737fe99d8f89a46f0be006f3378ca976535bfe97
"1","114601","1"
"2","114701","2"
"3","115601","3"
"5","115801","4"
"6","116801","5"
"7","117401","6"
"8","117801","7"
"9","119201","8"
"10","120801","9"
"12","121201","10"
"13","122101","11"
"14","122401","12"
"15","122801","13"
"16","123501","14"
"17","124101","15"
"20","124701","16"
"21","124901","17"
"22","125701","18"
"24","126701","19"
"25","127001","20"
"27","128301","21"
"28","128801","22"
