fdb0afc98bb1c7e7967771b564251883b66c1bf146177ef60a308a727b2d8dcc,46b3e7fb03e03654719b57b6fe93703f82758bf328702eb44c0d705b8c69ca35,7839f763c289b3d1fbbfc18d3ab2306cbca301bd109237df7bac221023fb887f,f8b61576ae08860a3e109074c81ddcc306285f22f6b19102c0e2e381809d8ac3,31a81b14c362dc28c8263b2c4c10f6e72520516b87875891ab2821a6d95e5f39
"-4.5","1","-7","990001","30010001"
"-21.5","1","12","990001","30010003"
"-21.5","1","-3","990001","30010004"
"-21.6","1","-5.8","1","30010007"
"-21.6","1","-4.4","1","30010008"
"-8.6","1","-16.7","1","30010029"
"-13","1","-7","1","30010038"
"2.9","1","-5.5","990002","30010047"
"-17.6","1","-8.9","1","30010055"
"-19","1","-6.6","1","30010056"
"-18.4","1","-5","1","30010060"
"-20.4","1","0.6","3","30010061"
"-17.2","1","-3.9","3","30010062"
"-14.9","1","-4.1","1","30010063"
"-17","1","2.2","1","30010066"
"-18.5","1","2.2","1","30010068"
"-15.4","1","2.2","1","30010070"
"-21.7","1","-9.6","3","30010071"
"-21.6","1","-11.9","1","30010073"
"-20","1","-12","3","30010074"
"-21.7","1","-1.9","3","30010077"
"-13.8","1","-4.9","3","30010079"
"-3.6","1","-17","2","30010081"
"-4.7","1","-15","2","30010083"
"-16.8","1","-13.9","3","30010085"
"-11.5","1","-7.1","3","30010089"
"-8.7","1","-8.1","2","30010091"
"-8.7","1","-5.7","2","30010094"
"-4.7","1","-16.3","2","30010100"
"-0.2","1","-13.8","2","30010104"
"2.3","1","-13.9","2","30010106"
"1","1","-15.2","2","30010107"
"2.1","1","-16.6","2","30010109"
"-0.1","1","-16.5","2","30010110"
"-2","1","-20","2","30010112"
"-0.8","1","-20","2","30010113"
"2","1","-20","2","30010115"
"3.7","1","-20","2","30010116"
"0.6","1","-19.9","3","30010117"
"-2.9","1","-18.2","3","30010119"
"-3","1","-19.5","3","30010120"
"-2.5","1","-15","991002","30010125"
"-2.5","1","-16.7","991001","30010126"
"-21.4","1","-8.5","991001","30010130"
"4.8","1","-18.4","3","30010134"
"5.8","1","-17","3","30010136"
"6.9","1","-17.1","2","30010137"
"8","1","-17","3","30010138"
"9.5","1","-17","2","30010139"
"5.3","1","-13.5","2","30010145"
"5.3","1","-12.1","2","30010146"
"8.7","1","-15.5","3","30010147"
"8.8","1","-14.3","2","30010148"
"8.8","1","-13","3","30010149"
"10.2","1","-12.3","2","30010150"
"8.4","1","-10.8","2","30010152"
"10.2","1","-10.7","2","30010155"
"-16.1","1","-6.2","1","30010156"
"6.8","1","-7.3","2","30010160"
"7.9","1","-6.4","3","30010161"
"6.4","1","-6","1","30010162"
"2","1","-6","3","30010163"
"4.6","1","-6","1","30010164"
"3","1","-2.8","1","30010166"
"5.3","1","-2.2","1","30010168"
"5.3","1","-0.5","3","30010169"
"-12.2","1","-4.9","1","30010170"
"-10.9","1","-4.9","3","30010171"
"8","1","-3.8","1","30010173"
"8.7","1","-2.6","2","30010174"
"8","1","-1.5","1","30010175"
"8.7","1","-0.3","2","30010176"
"7.9","1","0.9","1","30010177"
"3.3","1","-1.9","2","30010178"
"-0.8","1","-1.6","2","30010181"
"0.4","1","1","1","30010182"
"0.4","1","2.4","2","30010183"
"0.4","1","3.6","1","30010184"
"1.3","1","6.4","1","30010186"
"1.3","1","8","3","30010187"
"1.3","1","9.5","1","30010188"
"4.9","1","5.4","2","30010189"
"5.8","1","6.4","1","30010190"
"4.9","1","7.5","2","30010191"
"5.8","1","8.6","2","30010192"
"5.7","1","3.8","1","30010193"
"0.4","1","11.1","3","30010194"
"0.2","1","14","2","30010195"
"1.4","1","15","3","30010196"
"2.4","1","14.1","2","30010197"
