23d593a6922a7cd834b2fde55594b2d48f51b5bf4bd4388ac3446d293e114c72,e1c6eb4b63e1a19d4c28ab708eb050ffec24f452dcb5537c23fdddb76a263b2d,92a130bc0c813525a2d0ec4d9f6636abe96610332abf723c51f369da842f6a40,f6cb0fa81f53a27817a8521660469c99358e6e6395ae60506baea821e467f8b0,1af1db8351d57e31b37b639ae236745b434a56ad1a823527bcbd339f51832be7,d6f584ea77e29229516278beeb32a3dfa1fafbf688568b8ee270e2fff35f3d94,58482517df311b02a93378dae3daf761baba8ebd746e0582310b1dbdd03bbf2d,461a524a65a0942457bef4a9420c8a07a0978cb91d2ff6418d1b46e3931c067b,f815d1aa29ae2355503c7b46cd18534d2e25e16dd2132fbf57381c3a2ddd578a,270291afa6eb58e98b3f8f03f6068852f604227c2b3e1c356a1cd5adacb9660f,d6d0be57cd9066327afdbc059e6fe10ec7532d63616ffb8ac7047afc28adb9e9,28f231054404884d496b502637cafbc09a79d17a9cebb96a32fb9f154cf35fcb,0a29a86f94919ae69a774e64179c20ef9f2a9c10ca47fb79806ea36ffd89bc5e,316e806158d63c91d6f4f990767148efbd2ba475a72a5f3827ad7a4ea114d5a5,8b13e94e1497a9c4b3ae75b6d850a3ba92c0e3ad4db71036d0bfc648a645a93e
"bgm_M57","bgm_M57","1","0","701000101","0","110001","0","1","EASY","90","1","100113","100113","90110001"
"bgm_M57","bgm_M57","1","0","701000102","0","110001","0","1","NORMAL","90","2","100113","100113","90110002"
"bgm_M57","bgm_M57","1","0","701000103","0","110001","0","1","HARD","90","3","100113","100113","90110003"
"bgm_M57","bgm_M57","1","0","701000104","0","110001","0","1","VERY HARD","90","4","100113","100113","90110004"
"bgm_M57","bgm_M57","1","0","701000105","0","110001","0","1","EXTREME","90","5","100113","100113","90110005"
"bgm_M169","bgm_M169","2","0","701000201","0","120001","0","1","EASY","90","1","103013","103013","90120001"
"bgm_M169","bgm_M169","2","0","701000202","0","120001","0","1","NORMAL","90","2","103013","103013","90120002"
"bgm_M169","bgm_M169","2","0","701000203","0","120001","0","1","HARD","90","3","103013","103013","90120003"
"bgm_M169","bgm_M169","2","0","701000204","0","120001","0","1","VERY HARD","90","4","103013","103013","90120004"
"bgm_M169","bgm_M169","2","0","701000205","0","120001","0","1","EXTREME","90","5","103013","103013","90120005"
"bgm_M64","bgm_M64","3","0","701000301","0","130001","0","1","EASY","90","1","100113","100113","90130001"
"bgm_M64","bgm_M64","3","0","701000302","0","130001","0","1","NORMAL","90","2","100113","100113","90130002"
"bgm_M64","bgm_M64","3","0","701000303","0","130001","0","1","HARD","90","3","100113","100113","90130003"
"bgm_M64","bgm_M64","3","0","701000304","0","130001","0","1","VERY HARD","90","4","100113","100113","90130004"
"bgm_M64","bgm_M64","3","0","701000305","0","130001","0","1","EXTREME","90","5","100113","100113","90130005"
"bgm_M07","bgm_M07","4","0","701000401","0","140001","0","1","EASY","90","1","100113","100113","90140001"
"bgm_M07","bgm_M07","4","0","701000402","0","140001","0","1","NORMAL","90","2","100113","100113","90140002"
"bgm_M07","bgm_M07","4","0","701000403","0","140001","0","1","HARD","90","3","100113","100113","90140003"
"bgm_M07","bgm_M07","4","0","701000404","0","140001","0","1","VERY HARD","90","4","100113","100113","90140004"
"bgm_M07","bgm_M07","4","0","701000405","0","140001","0","1","EXTREME","90","5","100113","100113","90140005"
"bgm_M170","bgm_M170","5","0","701000501","0","150001","0","1","EASY","90","1","103013","103013","90150001"
"bgm_M170","bgm_M170","5","0","701000502","0","150001","0","1","NORMAL","90","2","103013","103013","90150002"
"bgm_M170","bgm_M170","5","0","701000503","0","150001","0","1","HARD","90","3","103013","103013","90150003"
"bgm_M170","bgm_M170","5","0","701000504","0","150001","0","1","VERY HARD","90","4","103013","103013","90150004"
"bgm_M170","bgm_M170","5","0","701000505","0","150001","0","1","EXTREME","90","5","103013","103013","90150005"
