556377a8c988a90fd530cdb30476499df439357a31d6cffab1a9cdda3593d26e,0c566f736a276fee87388c49d99ba2fb311fd65642e15c0364efcd6d6c742c7b,ff83082fe2897cbf052d0ae53e285f60d16a38fd1ad43f79c3c2df366b667220,7cbe337f03d4eca9349bae39b2246431b4de61be356bd02865a6eb3d5081977c,4b71227cccf5bb25edb1c94ad8df35b7dd99d57ee41a25f42a3e1d0c9409812c,ed196a32de92e29f80567230cfd6d09bcece1270649cb8df58751d0c4c431847,7ff4b525d8ece139f5499bcdb1a38b3384f3879cd51d493cef44952fb66cad5b,070e538810eb76980ee70d7ddaa3f5ce9ee4c2ed0c42605552e7c665f96ccb61,8a2312bf1b1f74fb73db529ec5f7979ed34c4a89beba8997c5bc228876fab128,f3f21f12ff6a8e76fd03fc5c9f28dc3e4442f86f16895f3cfee308cdce24c44c,abcbc678ee58c8d5a95572f5060156672255f3e238cd2ce2351688f9b05bb73c
"10000101","0","1回バトルしよう","10000101","1","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","0","1000","10"
"10000102","0","5回バトルしよう","10000102","5","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","0","1000","10"
"10000103","0","10回バトルしよう","10000103","10","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","0","1000","10"
"10000104","0","15回バトルしよう","10000104","15","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","0","1000","10"
"10000105","0","20回バトルしよう","10000105","20","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","0","1000","10"
"10000106","0","25回バトルしよう","10000106","25","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","0","1000","10"
"10000107","0","30回バトルしよう","10000107","30","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","0","1000","10"
"10000108","0","35回バトルしよう","10000108","35","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","0","1000","10"
"10000109","0","40回バトルしよう","10000109","40","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","0","1000","10"
"10050501","1005","ミソラに累積300万ダメージ与えよう","10050501","3000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1005","50"
"10050502","1005","ミソラに累積900万ダメージ与えよう","10050502","9000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1005","50"
"10050503","1005","ミソラに累積1500万ダメージ与えよう","10050503","15000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1005","50"
"10050511","1005","ミソラに1度のバトルで100万ダメージ与えよう","10050511","1","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","1000000","1005","51"
"10050512","1005","ミソラに1度のバトルで300万ダメージ与えよう","10050512","1","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","3000000","1005","51"
"10060601","1006","ランファに累積500万ダメージ与えよう","10060601","5000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1006","60"
"10060602","1006","ランファに累積1500万ダメージ与えよう","10060602","15000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1006","60"
"10060603","1006","ランファに累積2400万ダメージ与えよう","10060603","24000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1006","60"
"10060611","1006","ランファに1度のバトルで200万ダメージ与えよう","10060611","1","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","2000000","1006","61"
"10060612","1006","ランファに1度のバトルで500万ダメージ与えよう","10060612","1","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","5000000","1006","61"
"10070701","1007","アゾールドに累積300万ダメージ与えよう","10070701","3000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1007","70"
"10070702","1007","アゾールドに累積900万ダメージ与えよう","10070702","9000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1007","70"
"10070703","1007","アゾールドに累積1500万ダメージ与えよう","10070703","15000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1007","70"
"10070711","1007","アゾールドに1度のバトルで100万ダメージ与えよう","10070711","1","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","1000000","1007","71"
"10070712","1007","アゾールドに1度のバトルで300万ダメージ与えよう","10070712","1","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","3000000","1007","71"
"10080801","1008","カリザに累積500万ダメージ与えよう","10080801","5000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1008","80"
"10080802","1008","カリザに累積1500万ダメージ与えよう","10080802","15000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1008","80"
"10080803","1008","カリザに累積2400万ダメージ与えよう","10080803","24000000","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","0","1008","80"
"10080811","1008","カリザに1度のバトルで200万ダメージ与えよう","10080811","1","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","2000000","1008","81"
"10080812","1008","カリザに1度のバトルで500万ダメージ与えよう","10080812","1","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","5000000","1008","81"
