e94a50a3206b20ddc8ccdf80714c186671e0f8b865964f51e8a2389ffdc6a6e0,520ba71a92d9d4322d5d9f0f4ef9dbaeba505a4c4bd407eadec5c86a76f160a3,9838a814e26a1e64927fe0dc176fcf32009838bb749164954fc2ef00bb9d9d84,c069e912bbfd02660bcc7ed1ca18dbc9c3052b7fb92291eae242d90b68c4f04e,8ae1b6d0843b4e950e0c45336b3be86a9ad1502733336fbaddc6246eba617413,af25be9569a73e7270d26fb01781c62dd0f6c3cef6d861d31f9acbf364e74970
"10","1","150","150","1","0"
"10","2","400","250","1","0"
"10","3","800","400","1","0"
"20","1","150","150","2","0"
"20","2","400","250","2","0"
"20","3","800","400","2","0"
"20","4","1300","500","2","1"
"30","1","800","800","3","0"
"30","2","1800","1000","3","0"
"30","3","3000","1200","3","0"
"30","4","4400","1400","3","1"
"30","5","6000","1600","3","2"
"40","1","800","800","4","0"
"40","2","1800","1000","4","0"
"40","3","3000","1200","4","0"
"40","4","4400","1400","4","1"
"40","5","6000","1600","4","2"
"0","0","0","0","5","0"
