8586e17a023d91492b6575dcace7ee5dc03e7819bc5772276f80203bf238079d,2f4736d842f6c201165427b43f8ec2752c3582b246ae6a63a13e65741a651620,13b640af5e96d0b9025c299519326c377173c53e19a648ec866f76eed33ae996,c45005afeb707711ffa8720a39209855d8f91486d23008bd926c22a55dcbeec8,9e280969821898ff598fe89dea89db1b9f1e608db9b0c7c88c5f21c4903ed7ae,dba0705a2053771d4d7c8966aab90f4695c7507a4a6b11338f6e441d821a80d0,eeb285765b94163e7a5810d419c2864110aa6bbb23714a16a28d94025e553278,cdfcbde39b82af9ab53ca1a21b98cc90c80ab2acfac89846a3ec2307aaa6afb9,8b1c41f40a1479d1542e395a5dc697463515962eb3f789500f955ec58689e88b
"22","7","8","10001","53003","5","-1","1","6"
"22","7","4","10002","53002","5","-1","1","6"
"22","6","6","10101","53003","4","5","1","5"
"22","6","5","10102","53002","4","5","1","5"
"22","5","5","10201","53003","3","4","1","4"
"22","5","5","10202","53002","3","4","1","4"
"22","4","4","10301","53003","3","3","1","3"
"22","4","3","10302","53002","3","3","1","3"
"22","3","3","10401","53003","2","2","1","2"
"22","3","2","10402","53002","2","2","1","2"
"22","2","2","10501","53003","1","1","1","1"
"22","2","1","10502","53002","1","1","1","1"
"22","1","2","10601","53002","1","0","1","0"
"22","7","8","10701","53003","5","-1","2","6"
"22","7","4","10702","53002","5","-1","2","6"
"22","6","6","10801","53003","4","5","2","5"
"22","6","5","10802","53002","4","5","2","5"
"22","5","5","10901","53003","3","4","2","4"
"22","5","5","10902","53002","3","4","2","4"
"22","4","4","11001","53003","3","3","2","3"
"22","4","3","11002","53002","3","3","2","3"
"22","3","3","11101","53003","2","2","2","2"
"22","3","2","11102","53002","2","2","2","2"
"22","2","2","11201","53003","1","1","2","1"
"22","2","1","11202","53002","1","1","2","1"
"22","1","2","11301","53002","1","0","2","0"
"22","7","8","11401","53003","5","-1","3","6"
"22","7","4","11402","53002","5","-1","3","6"
"22","6","6","11501","53003","4","5","3","5"
"22","6","5","11502","53002","4","5","3","5"
"22","5","5","11601","53003","3","4","3","4"
"22","5","5","11602","53002","3","4","3","4"
"22","4","4","11701","53003","3","3","3","3"
"22","4","3","11702","53002","3","3","3","3"
"22","3","3","11801","53003","2","2","3","2"
"22","3","2","11802","53002","2","2","3","2"
"22","2","2","11901","53003","1","1","3","1"
"22","2","1","11902","53002","1","1","3","1"
"22","1","2","12001","53002","1","0","3","0"
"22","7","8","12101","53003","5","-1","4","6"
"22","7","4","12102","53002","5","-1","4","6"
"22","6","6","12201","53003","4","5","4","5"
"22","6","5","12202","53002","4","5","4","5"
"22","5","5","12301","53003","3","4","4","4"
"22","5","5","12302","53002","3","4","4","4"
"22","4","4","12401","53003","3","3","4","3"
"22","4","3","12402","53002","3","3","4","3"
"22","3","3","12501","53003","2","2","4","2"
"22","3","2","12502","53002","2","2","4","2"
"22","2","2","12601","53003","1","1","4","1"
"22","2","1","12602","53002","1","1","4","1"
"22","1","2","12701","53002","1","0","4","0"
"22","7","8","12801","53003","5","-1","5","6"
"22","7","4","12802","53002","5","-1","5","6"
"22","6","6","12901","53003","4","5","5","5"
"22","6","5","12902","53002","4","5","5","5"
"22","5","5","13001","53003","3","4","5","4"
"22","5","5","13002","53002","3","4","5","4"
"22","4","4","13101","53003","3","3","5","3"
"22","4","3","13102","53002","3","3","5","3"
"22","3","3","13201","53003","2","2","5","2"
"22","3","2","13202","53002","2","2","5","2"
"22","2","2","13301","53003","1","1","5","1"
"22","2","1","13302","53002","1","1","5","1"
"22","1","2","13401","53002","1","0","5","0"
"22","7","8","13501","53003","5","-1","6","6"
"22","7","4","13502","53002","5","-1","6","6"
"22","6","6","13601","53003","4","5","6","5"
"22","6","5","13702","53002","4","5","6","5"
"22","5","5","13801","53003","3","4","6","4"
"22","5","5","13902","53002","3","4","6","4"
"22","4","4","14001","53003","3","3","6","3"
"22","4","3","14002","53002","3","3","6","3"
"22","3","3","14101","53003","2","2","6","2"
"22","3","2","14102","53002","2","2","6","2"
"22","2","2","14201","53003","1","1","6","1"
"22","2","1","14202","53002","1","1","6","1"
"22","1","2","14301","53002","1","0","6","0"
"22","7","8","14401","53003","5","-1","7","6"
"22","7","4","14402","53002","5","-1","7","6"
"22","6","6","14501","53003","4","5","7","5"
"22","6","5","14502","53002","4","5","7","5"
"22","5","5","14601","53003","3","4","7","4"
"22","5","5","14701","53002","3","4","7","4"
"22","4","4","14801","53003","3","3","7","3"
"22","4","3","14802","53002","3","3","7","3"
"22","3","3","14901","53003","2","2","7","2"
"22","3","2","14902","53002","2","2","7","2"
"22","2","2","15001","53003","1","1","7","1"
"22","2","1","15002","53002","1","1","7","1"
"22","1","2","15101","53002","1","0","7","0"
"22","7","8","15201","53003","5","-1","8","6"
"22","7","4","15202","53002","5","-1","8","6"
"22","6","6","15301","53003","4","5","8","5"
"22","6","5","15302","53002","4","5","8","5"
"22","5","5","15401","53003","3","4","8","4"
"22","5","5","15402","53002","3","4","8","4"
"22","4","4","15501","53003","3","3","8","3"
"22","4","3","15502","53002","3","3","8","3"
"22","3","3","15601","53003","2","2","8","2"
"22","3","2","15602","53002","2","2","8","2"
"22","2","2","15701","53003","1","1","8","1"
"22","2","1","15702","53002","1","1","8","1"
"22","1","2","15901","53002","1","0","8","0"
"22","7","8","16001","53003","5","-1","9","6"
"22","7","4","16002","53002","5","-1","9","6"
"22","6","6","16101","53003","4","5","9","5"
"22","6","5","16102","53002","4","5","9","5"
"22","5","5","16201","53003","3","4","9","4"
"22","5","5","16202","53002","3","4","9","4"
"22","4","4","16301","53003","3","3","9","3"
"22","4","3","16302","53002","3","3","9","3"
"22","3","3","16401","53003","2","2","9","2"
