f57accfa0ee3e4886d14d7e43e953c75aadbd1b65534a8e6f702ef5b3e51a19a,a0a3ef425a1fca3f67d151fed343b1fa1a86752595e6639a38843b22ea3318f3,34f1811a73273f2e52b52871cce20a8508ae2028ebf355ceced518d666f13171,baffa702abedbbb93d6b1f5cd9f283aa596b4137ad2035ab435d3c01be891171,c36ca912762279d73f98e160c4567a826755c5104a98e7b9757103342e5efbd2,e78caeec0747336f4a8ab767684f596ac2691b723ed5d00526c31ecd3b31c957,b1777a9b7e3d3c3321674e0d047d0ca72fa4529e1c3dbbbccde4d664091bea4c,199f8d9433f9c92e6c5580fba2292de24766d15bd846e1e034150b185aa4987f
"1","90","2024/10/15 15:00:00","76010001","376010001","1","276010001","760100011"
"1","90","2024/10/15 15:00:00","76010002","376010002","2","276010002","760100021"
"1","90","2024/10/15 15:00:00","76010003","376010003","3","276010003","760100031"
"1","90","2024/10/15 15:00:00","76010004","376010004","4","276010004","760100041"
"1","90","2024/10/15 15:00:00","76010005","376010005","5","276010005","760100051"
"1","90","2025/10/20 12:00:00","76010006","376010006","6","276010006","760100061"
"1","90","2025/10/20 12:00:00","76010007","376010007","7","276010007","760100071"
"1","90","2025/10/20 12:00:00","76010008","376010008","8","276010008","760100081"
"1","90","2025/10/20 12:00:00","76010009","376010009","9","276010009","760100091"
"1","90","2025/10/20 12:00:00","76010010","376010010","10","276010010","760100101"
"2","90","2024/10/15 15:00:00","76020001","376020001","1","276020001","760200011"
"2","90","2024/10/15 15:00:00","76020002","376020002","2","276020002","760200021"
"2","90","2024/10/15 15:00:00","76020003","376020003","3","276020003","760200031"
"2","90","2024/10/15 15:00:00","76020004","376020004","4","276020004","760200041"
"2","90","2024/10/15 15:00:00","76020005","376020005","5","276020005","760200051"
"2","90","2025/10/20 12:00:00","76020006","376020006","6","276020006","760200061"
"2","90","2025/10/20 12:00:00","76020007","376020007","7","276020007","760200071"
"2","90","2025/10/20 12:00:00","76020008","376020008","8","276020008","760200081"
"2","90","2025/10/20 12:00:00","76020009","376020009","9","276020009","760200091"
"2","90","2025/10/20 12:00:00","76020010","376020010","10","276020010","760200101"
"3","90","2025/08/15 15:00:00","76030001","376030001","1","276030001","760300011"
"3","90","2025/08/15 15:00:00","76030002","376030002","2","276030002","760300021"
"3","90","2025/08/15 15:00:00","76030003","376030003","3","276030003","760300031"
"3","90","2025/08/15 15:00:00","76030004","376030004","4","276030004","760300041"
"3","90","2025/08/15 15:00:00","76030005","376030005","5","276030005","760300051"
