7976e3fdada38f1a54ac23c8d4c102d160f0e717ed49a553876289f970ed9e4c,a8c1d78f67fa19a7f9edf71e6a1a977b9fce4101dec12bd2f91f040e95464c2e,049eeb48c421cbacfc274d6b4a5b0d2f36a563a4281de215fa5d5c079640b331,23e726d0575f95ee65a31b4cf40e894764c39bf0f098a2cfb2dab0e91dc33236,d0f35cdd0788ce0e980faf5ac68704dd4e8a055801eb9b4887e260a8b8cc06c6,c5d358cd740a5f780d79d25f9592a1f18dcc584f6cb330d2ff6585136670d9a1,50724471eab660b9cafd08c9788fa03e31d3457b820f63a01b8720e06807fc11,89f0d1527a6f7de44df15d5915a5f63e9a915f5fa607b339066888d12172f486,5d7c9374127b55c80b28c277511219b300a6949304c402a90e546c86fb9b44bb,7233472d8952580818c6dfce87c8bf9f8d5b746ac54c58dd11abda622be950dc,9b12e4ae3594befed97abb6065c62209e7b985f143338a3ccf8dd61017cfc0a1,ff74ee617e33157245e3d9340f7a3d70a893f06bf74a225f719f874ff5d41c64,27f4e8006077370d7df8f685a25781cd7137c07ac60e3de458316ec2b070d0ee,28dc53c15b5018d37fd90bca154fb79927a00b9c877e10067d7324851974b0dd,fbb80d375f1d1e40fc8da6d3a538da8647e66c51a07803ceb68db70f6f0e9788,5e7162a8b576905ca1c26e0fbba1e72c661006838362db10c4cade57859910ff,7cf19d61a759191d463fec820fa9f0c1d250c363fffad6b8e67dfd68275af8be,db0b1aed8d05d97db5a27df57f00e5e7d36737c3ca6ada1ed6beb1590116fc82
"12","91002","150000","1","2","0","8","20","5","150","0","0","22003","20003","94002","5","1","2"
"12","91002","100000","6","2","0","8","15","2","145","0","0","22003","20003","94002","9","2","2"
"12","91002","80000","10","2","0","8","11","5","140","0","0","22002","20003","94002","19","3","2"
"12","91002","80000","20","2","0","8","10","5","130","0","0","22002","20003","94002","29","4","2"
"12","91002","70000","30","2","0","8","9","4","120","0","0","22002","20003","94002","39","5","2"
"12","91002","70000","40","2","0","8","8","4","110","0","0","22002","20003","94002","49","6","2"
"12","91002","60000","50","2","0","8","7","3","100","0","0","22002","20003","94002","99","7","2"
"12","91002","40000","100","2","0","8","2","2","80","0","0","22002","20003","94002","499","8","2"
"12","91002","20000","500","2","0","8","7","1","50","0","0","22002","20002","94002","999","9","2"
"12","91002","16000","1000","2","0","8","4","3","20","0","0","22001","20002","94002","4999","10","2"
"12","91002","9000","5000","2","0","8","3","2","15","0","0","22001","20002","94002","9999","11","2"
"12","91002","4000","10000","2","0","8","8","1","10","0","0","22001","20001","94002","11999","12","2"
"12","91002","3000","12000","2","0","8","7","1","5","0","0","22001","20001","94002","13999","13","2"
"12","91002","2000","14000","2","0","8","6","1","4","0","0","22001","20001","94002","14999","14","2"
"12","91002","1800","15000","2","0","8","5","1","3","0","0","22001","20001","94002","30000","15","2"
