a5a3498fcf41f4b4f0b29181956ec83e5d62cd5761917efa83f000c4d811c539,6ab5fd87dc0fc1e3f48a827e5443d990c981f5ba3ed0643a0e75fab7f57bada2,711347def2e7a69b64227b01b87d62326cd5ee0f63d69fd6d71dd51f93cfe53e,36e700cb9115113df8c9570f0232693f2f9da7d98fd274718d0da1a888b99c65,a55739c3d9f5bac4ce0ea6a751e537ed98b45830ab71c7f8ef1a39d3fe9b11da,9184e288c79ab70feba1f9f7a91ac6c31b8fc4f47af0ff40d1a9aa823c760869,3c7c64dfdbb1dfffebc2a8bdc965d143e6f059c2729b8e96b1e7602015d2354d
"72004021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20004","107601","ボスNORMAL討伐で解放！","10"
"72005021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20005","108001","ボスNORMAL討伐で解放！","12"
"72007021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20007","108201","ボスNORMAL討伐で解放！","15"
"72009021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20009","108501","ボスNORMAL討伐で解放！","17"
"72010021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20010","108901","ボスNORMAL討伐で解放！","19"
"72011021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20011","109001","ボスNORMAL討伐で解放！","21"
"72013021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20013","109301","ボスNORMAL討伐で解放！","22"
"72015021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20015","110101","ボスNORMAL討伐で解放！","23"
"72016021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20016","110501","ボスNORMAL討伐で解放！","24"
"72018021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20018","111201","ボスNORMAL討伐で解放！","25"
"72020021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20020","111601","ボスNORMAL討伐で解放！","26"
"72021021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20021","112101","ボスNORMAL討伐で解放！","27"
"72022021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20022","112301","ボスNORMAL討伐で解放！","28"
"72025021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20025","113001","ボスNORMAL討伐で解放！","29"
"72026021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20026","113201","ボスNORMAL討伐で解放！","30"
"72027021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20027","113501","ボスNORMAL討伐で解放！","31"
"72029021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20029","114101","ボスNORMAL討伐で解放！","32"
"72031021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","20031","114601","ボスNORMAL討伐で解放！","33"
