556d334d692507a6e9bc2b1eea6b2cce3e99022532ef05d8f7008b392417e3a8,1572060b1fffd591757f18eeb4bf0254f518544704119a66acaaa227ba98b662,d1861fb8b61d603ac93f3d2823c74c5423ee608eddec411b50466c2efbb0db0f,5044eb66a4818a6b037697ed0c2761220bc19dde18ba20d1ab20e3779ce37c53,132bafeb27af9bfd45c299357762fc1ab0216e68c4492f3a885b5f395f44ec65
"美食殿","1","105801","1","50001"
"トゥインクル\nウィッシュ","2","100101","2","50002"
"サレンディア救護院","3","102801","7","50003"
"王宮騎士団\n（NIGHTMARE）","4","104701","11","50004"
"ラビリンス","5","106801","15","50005"
"カルミナ","6","102901","3","50006"
"悪魔偽王国軍\n（ディアボロス）","7","104401","5","50007"
"牧場\n（エリザベスパーク）","8","103301","4","50008"
"メルクリウス財団","9","103201","13","50009"
"トワイライト\nキャラバン","10","105601","9","50010"
"リトルリリカル","11","102001","6","50011"
"自警団\n（カォン）","12","101001","8","50012"
"フォレスティエ","13","101501","10","50013"
"ルーセント学院","14","101801","14","50014"
