ad16aed1123def05149bbd40fcbea75aaacd40ebbff333f2e7c61c9223ca6a92,0056d020db8bc7b09c72bf993e15913dbb091e84fc14c0c148a968e36a50386e,7cfe2d86ca772a90fd1540c8262475f4ec1d7f5d3121b6bf6edc53951b534b9a,a0bccb4ef30da772b8d9669d877aefcf8fc18e637a64808617602e8b40e0f59b,a5d6f8afd712190a6af84af881ddb8f0701ca5e7937fbef704d6769bbd16e0a7
"ひよっこ","1","1","26999","0"
"未熟者","1","2","26999","0"
"稚魚","1","3","26999","0"
"ビギナーランナー","3","4","26999","0"
"赤ちゃん","1","5","26999","0"
"ベイビー","1","6","26999","0"
"小物","1","7","26999","0"
"へっぽこ","1","8","26999","0"
"素人","1","9","26999","0"
"小魚","1","10","33999","27000"
"初心者","1","11","33999","27000"
"エンジョイランナー","3","12","33999","27000"
"若輩者","1","13","33999","27000"
"ルーキー","1","14","33999","27000"
"ガール","1","15","33999","27000"
"注目株","1","16","33999","27000"
"原石","1","17","33999","27000"
"ニューホープ","2","18","33999","27000"
"探究者","1","19","50399","34000"
"暴れん坊","1","20","50399","34000"
"申し子","1","21","50399","34000"
"奇才","1","22","50399","34000"
"大物","1","23","50399","34000"
"麒麟児","1","24","50399","34000"
"ホープ","1","25","50399","34000"
"新星","1","26","50399","34000"
"逸材","1","27","50399","34000"
"マーメイド","1","28","59999","50400"
"先輩","1","29","59999","50400"
"中級者","1","30","59999","50400"
"ビーチフラッガー","3","31","59999","50400"
"魚","1","32","59999","50400"
"チーフ","1","33","59999","50400"
"キャプテン","1","34","59999","50400"
"一人前","1","35","59999","50400"
"セミプロ","1","36","59999","50400"
"大型新人","1","37","59999","50400"
"流れ星","1","38","69999","60000"
"先生","1","39","69999","60000"
"ドルフィン","1","40","69999","60000"
"職人","1","41","69999","60000"
"レーサー","1","42","69999","60000"
"トゥンヌス","1","43","69999","60000"
"中の中","1","44","69999","60000"
"ビッグネーム","2","45","69999","60000"
"異才","1","46","69999","60000"
"エリート","1","47","69999","60000"
"仕事人","1","48","69999","60000"
"玄人","1","49","69999","60000"
"オルカ","1","50","83999","70000"
"名人","1","51","83999","70000"
"魔術師","1","52","83999","70000"
"師匠","1","53","83999","70000"
"サブマリン","1","54","83999","70000"
"スプリンター","2","55","83999","70000"
"名手","1","56","83999","70000"
"エースランナー","2","57","83999","70000"
"プロ","1","58","83999","70000"
"看板選手","1","59","83999","70000"
"第一人者","1","60","83999","70000"
"ドン","1","61","83999","70000"
"スピードスター","2","62","99999","84000"
"豪傑","1","63","99999","84000"
"プリンセス","1","64","99999","84000"
"女神","1","65","99999","84000"
"マスター","1","66","99999","84000"
"ナンバーワン","2","67","99999","84000"
"寵児","1","68","99999","84000"
"ワイルドグリフォン","3","69","99999","84000"
"ワイバーン","1","70","99999","84000"
"エキスパート","2","71","99999","84000"
"トップランナー","2","72","99999","84000"
"韋駄天","1","73","119999","100000"
"クイーン","1","74","119999","100000"
"チャンピオン","2","75","119999","100000"
"天才ランナー","2","76","119999","100000"
"レコードホルダー","3","77","119999","100000"
"極致","1","78","119999","100000"
"ネプテリオン","2","79","119999","100000"
"シードレイク","2","80","119999","100000"
"女傑","1","81","119999","100000"
"革命家","1","82","119999","100000"
"ビッグスター","2","83","119999","100000"
"ファンタジスタ","2","84","999999","120000"
"スーパースター","2","85","999999","120000"
"ワールドチャンプ","3","86","999999","120000"
"レジェンド","1","87","999999","120000"
"超人","1","88","999999","120000"
"トルペドン","1","89","999999","120000"
"カルキノス","1","90","999999","120000"
"アクアリオス","2","91","999999","120000"
"至宝","1","92","999999","120000"
"グランドマスター","3","93","999999","120000"
"英雄","1","94","999999","120000"
"天下取り","1","95","999999","120000"
