6f7215a9a07858757a278d27c89c2a4fa5db58928684d469301d16d724ee375b,1abe20db41b0897161da935e09e99b772f3d25c3da323d783c817700ed0678e4,55e166cb715658e93793c6d1db1d51cc1e6791d4b2f4fac7adc802ebd97d918b,99eaafae417717695c67818428f2e14ca93438921e0fccc7ef76e0b85df7e26a,d58031492fc364f13e6fa35c5a3e2c5337f5416fdf297a97e50c734b8f769e48,721a9d60184b8061918f553264342e38b0ae3e72b0ea8f99c78c02bb7030f228,ec914a158db81560fd5f0e459030ece8c3c5742ae5505fa4ecfeaa7382e39f74,6d641d091bd874ebc52274c2ac8d35b19708b189fd2a33399c7d6ee499c1e6bd,d6a7bff6a13c4b1f6db7be3e17a7c262eb4c55498b83cd2f6fc646e86d26fe0e,fa834e862af3a022254a3b73dac95b2e3c8a698d70b558eb30eb9ad9db0e2f0e,8cb897296240169093993f2a67eb8d825a1ae52e9bf88e8fdf4a010d9254cfd7
"2","0","5128071","0","91002","10128107","8","0","10128","二人だけの時間","25"
"2","5128071","5128072","0","91002","0","8","0","10128","新居の必須条件","25"
"2","5128072","5128073","0","91002","0","8","0","10128","本当は誰よりも","25"
"2","5128073","5128074","0","91002","0","8","0","10128","家族で大切に\nしたいこと","25"
"2","5128074","5128075","0","91002","0","8","0","10128","誓いの言葉","50"
"3","0","5128081","0","91002","10128107","8","0","10128","血の婚約報告","25"
"3","5128081","5128082","0","91002","0","8","0","10128","風来人の家探し","25"
"3","5128082","5128083","0","91002","0","8","0","10128","愛おしい時間","25"
"3","5128083","5128084","0","91002","0","8","0","10128","トーゴクの\n家族文化","25"
"3","5128084","5128085","0","91002","0","8","0","10128","飾らない愛を","50"
"4","5128075","5128091","0","0","0","0","5128085","10128","口約束は災いのもと","0"
"4","5128091","5128092","11001271","0","0","0","0","10128","譲れない家庭の味","0"
"1","0","5128161","0","0","10128107","0","0","10128","夢の語り部に誘われて","0"
