40e64f63124bf506aca6382eced3711e44fe6973940a9e347e1c2b204b195487,c22e1dd6bd44346f2cb7958bd8ad40358f457d48b7938e768e99c18e675dc0f4,bcbb0a36224ce2055f8bf5ebea174ab8820db74fec5399aed3c661e7e32cc403,693097a60877c517b80a9514d9f388cce8a4296afd131b39eeae874bd9ac7647,5adac30469a7ea6a42a13a4a30b1120f68f0bb40eedf6a1293e43013af2b1c2c,07f65a49c4659c9b7bd427de73aa9df11acca655761dadb8b95007c0eff31fa4,c33104adb178cd3d4481320533a29ef683a5e046c7228bbf5faa0eeca7e65652,68f474dcd60d4d7ee009d175aa88e5d91414cfbe0e264c9b8f74a8887b9d4f2a
"25203","25201","1","6","14","0","0","1"
"25203","25201","1","6","14","0","0","2"
"25203","25201","1","6","14","0","0","3"
"25203","25201","1","6","16","25205","4","4"
"25203","25201","1","6","16","25205","4","5"
"25203","25201","1","6","16","25205","4","6"
"25203","25201","1","8","18","25205","5","7"
"25203","25201","1","8","18","25205","5","8"
"25203","25201","1","8","18","25205","5","9"
"25203","25201","1","10","20","25205","6","10"
"25203","25201","1","10","20","25205","6","11"
"25203","25201","1","10","20","25205","6","12"
"25203","25201","1","12","22","25205","7","13"
"25203","25201","1","12","22","25205","7","14"
"25203","25201","1","12","22","25205","7","15"
"25203","25201","2","6","14","0","0","1"
"25203","25201","2","6","14","0","0","2"
"25203","25201","2","6","14","0","0","3"
"25203","25201","2","6","16","25205","4","4"
"25203","25201","2","6","16","25205","4","5"
"25203","25201","2","6","16","25205","4","6"
"25203","25201","2","8","18","25205","5","7"
"25203","25201","2","8","18","25205","5","8"
"25203","25201","2","8","18","25205","5","9"
"25203","25201","2","10","20","25205","6","10"
"25203","25201","2","10","20","25205","6","11"
"25203","25201","2","10","20","25205","6","12"
"25203","25201","2","12","22","25205","7","13"
"25203","25201","2","12","22","25205","7","14"
"25203","25201","2","12","22","25205","7","15"
"25205","25201","3","14","8","0","0","1"
"25205","25201","3","14","8","0","0","2"
"25205","25201","3","14","8","0","0","3"
"25203","25201","3","16","3","25205","8","4"
"25203","25201","3","16","3","25205","8","5"
"25203","25201","3","16","3","25205","8","6"
"25203","25201","3","18","4","25205","10","7"
"25203","25201","3","18","4","25205","10","8"
"25203","25201","3","18","4","25205","10","9"
"25203","25201","3","20","5","25205","12","10"
"25203","25201","3","20","5","25205","12","11"
"25203","25201","3","20","5","25205","12","12"
"25203","25201","3","22","6","25205","14","13"
"25203","25201","3","22","6","25205","14","14"
"25203","25201","3","22","6","25205","14","15"
"25205","25201","4","14","8","0","0","1"
"25205","25201","4","14","8","0","0","2"
"25205","25201","4","14","8","0","0","3"
"25203","25201","4","16","3","25205","8","4"
"25203","25201","4","16","3","25205","8","5"
"25203","25201","4","16","3","25205","8","6"
"25203","25201","4","18","4","25205","10","7"
"25203","25201","4","18","4","25205","10","8"
"25203","25201","4","18","4","25205","10","9"
"25203","25201","4","20","5","25205","12","10"
"25203","25201","4","20","5","25205","12","11"
"25203","25201","4","20","5","25205","12","12"
"25203","25201","4","22","6","25205","14","13"
"25203","25201","4","22","6","25205","14","14"
"25203","25201","4","22","6","25205","14","15"
"25203","25201","5","6","7","25205","8","1"
"25203","25201","5","7","6","25205","8","2"
"25203","25201","5","7","7","25205","8","3"
"25203","25201","5","8","8","25205","10","4"
"25203","25201","5","8","9","25205","10","5"
"25203","25201","5","9","8","25205","10","6"
"25203","25201","5","10","10","25205","11","7"
"25203","25201","5","10","10","25205","11","8"
"25203","25201","5","10","10","25205","11","9"
"25203","25201","5","11","12","25205","13","10"
"25203","25201","5","12","11","25205","13","11"
"25203","25201","5","12","12","25205","13","12"
"25203","25201","5","13","13","25205","15","13"
"25203","25201","5","14","13","25205","15","14"
"25203","25201","5","13","14","25205","15","15"
"25205","25203","6","6","14","0","0","1"
"25205","25203","6","6","14","0","0","2"
"25205","25203","6","6","14","0","0","3"
"25203","25201","6","3","6","25205","16","4"
"25203","25201","6","3","6","25205","16","5"
"25203","25201","6","3","6","25205","16","6"
"25203","25201","6","4","8","25205","18","7"
"25203","25201","6","4","8","25205","18","8"
"25203","25201","6","4","8","25205","18","9"
"25203","25201","6","5","10","25205","20","10"
"25203","25201","6","5","10","25205","20","11"
"25203","25201","6","5","10","25205","20","12"
"25203","25201","6","6","12","25205","22","13"
"25203","25201","6","6","12","25205","22","14"
"25203","25201","6","6","12","25205","22","15"
"25205","25203","7","6","14","0","0","1"
"25205","25203","7","6","14","0","0","2"
"25205","25203","7","6","14","0","0","3"
"25203","25201","7","3","6","25205","16","4"
"25203","25201","7","3","6","25205","16","5"
"25203","25201","7","3","6","25205","16","6"
"25203","25201","7","4","8","25205","18","7"
"25203","25201","7","4","8","25205","18","8"
"25203","25201","7","4","8","25205","18","9"
"25203","25201","7","5","10","25205","20","10"
"25203","25201","7","5","10","25205","20","11"
"25203","25201","7","5","10","25205","20","12"
"25203","25201","7","6","12","25205","22","13"
"25203","25201","7","6","12","25205","22","14"
"25203","25201","7","6","12","25205","22","15"
"25203","25201","8","6","7","25205","8","1"
"25203","25201","8","7","6","25205","8","2"
"25203","25201","8","7","7","25205","8","3"
"25203","25201","8","8","8","25205","10","4"
"25203","25201","8","8","9","25205","10","5"
"25203","25201","8","9","8","25205","10","6"
"25203","25201","8","10","10","25205","11","7"
"25203","25201","8","10","10","25205","11","8"
"25203","25201","8","10","10","25205","11","9"
"25203","25201","8","11","12","25205","13","10"
"25203","25201","8","12","11","25205","13","11"
"25203","25201","8","12","12","25205","13","12"
"25203","25201","8","13","13","25205","15","13"
"25203","25201","8","14","13","25205","15","14"
"25203","25201","8","13","14","25205","15","15"
