af13d19f66d47bbb1346834a205d3bd1b18e5e3c85d14b9cbce718473bf13e13,1bd29fd1f62bf2a93dd2b7bd9577bc3e31504fd147abdbd8ff8c0edd8bf6d22e,11f81281465129e5b47b247a4261975fa53b59270091851dd10d8899c05c5c17,7de55d001e7d98e0db97a1fd64248f027215f46b129d5a15d4be5df9d81a1d1e,c30d6b9b54d5726446320606ec8178b1afaf0d09ee80fbb6ab908e251e967ca2,149c02edbe5b68826cd32a5543c81aecbc21b92a8061d20806322768c5a3b0fb,31d2d5defa298a8cad219ecf94133f89510c569283806466b5c957a102e8112d,63691d79551ca4d9e41b18892f702b47ff46739fb6d85887c420b120cadd3ca4,cbbf8b812abc9bd3351fac140870da79ad9adbac06f1aff1024b35ac4c35aa4e,299c71c8af0a5e745072b22701158c6a06710046b6611bc8c293bb3c342f0456,a9e5e385f38c92e7c9f4b730e2b5985ee2982f1a8da1d308cae7d106407a781f
"10011","0","1","10011105","0","0","1","pt","1001","2","0"
"10015","0","2","10015103","1","0","1","m","1002","2","0"
"10021","0","3","10021108","0","0","1","pt","1003","2","5021700"
"10027","0","4","5027007","0","0","1","pt","1004","3","5027700"
"10040","0","5","10040105","0","0","1","pt","1005","2","5040700"
"10046","5046006","6","5046006","0","1","1","pt","1006","1","0"
"10072","5072006","7","5072006","0","3","1","pt","1007","3","0"
"10080","5080000","8","5080007","0","3","0","pt","1008","3","5080700"
"0","0","9","0","0","0","0","pt","1009","0","9004201"
"10096","5096007","10","5096007","0","3","1","pt","1010","1","5096700"
"10126","5126000","11","10126107","0","3","1","pt","1012","2","0"
"10142","5142000","12","5142007","0","1","1","pt","1013","3","5142700"
