c9768621582678fca38f68eb0837a152e7fb46ceb0ad26c4942817fba4e1099c,d4a918f0fdbb292337c46d870111e651c1c0f45d99c8e785376a0c934b7a787d,bd445b0dde22391ff8e4eaaef3565b1c12fbee43ec502edd2b70d92a3954e764,ec4e28c6daebe2c1f3745f018331c556769ff64771cae9c91a4fc275af58dc6c,b2937aa9c4a8558b0884c10734e8868d020f73df02c65048397178f7c098d429
"1","1","ひよっこ","0","26999"
"1","2","未熟者","0","26999"
"1","3","稚魚","0","26999"
"3","4","ビギナーランナー","0","26999"
"1","5","赤ちゃん","0","26999"
"1","6","ベイビー","0","26999"
"1","7","小物","0","26999"
"1","8","へっぽこ","0","26999"
"1","9","素人","0","26999"
"1","10","小魚","27000","33999"
"1","11","初心者","27000","33999"
"3","12","エンジョイランナー","27000","33999"
"1","13","若輩者","27000","33999"
"1","14","ルーキー","27000","33999"
"1","15","ガール","27000","33999"
"1","16","注目株","27000","33999"
"1","17","原石","27000","33999"
"2","18","ニューホープ","27000","33999"
"1","19","探究者","34000","50399"
"1","20","暴れん坊","34000","50399"
"1","21","申し子","34000","50399"
"1","22","奇才","34000","50399"
"1","23","大物","34000","50399"
"1","24","麒麟児","34000","50399"
"1","25","ホープ","34000","50399"
"1","26","新星","34000","50399"
"1","27","逸材","34000","50399"
"1","28","マーメイド","50400","59999"
"1","29","先輩","50400","59999"
"1","30","中級者","50400","59999"
"3","31","ビーチフラッガー","50400","59999"
"1","32","魚","50400","59999"
"1","33","チーフ","50400","59999"
"1","34","キャプテン","50400","59999"
"1","35","一人前","50400","59999"
"1","36","セミプロ","50400","59999"
"1","37","大型新人","50400","59999"
"1","38","流れ星","60000","69999"
"1","39","先生","60000","69999"
"1","40","ドルフィン","60000","69999"
"1","41","職人","60000","69999"
"1","42","レーサー","60000","69999"
"1","43","トゥンヌス","60000","69999"
"1","44","中の中","60000","69999"
"2","45","ビッグネーム","60000","69999"
"1","46","異才","60000","69999"
"1","47","エリート","60000","69999"
"1","48","仕事人","60000","69999"
"1","49","玄人","60000","69999"
"1","50","オルカ","70000","83999"
"1","51","名人","70000","83999"
"1","52","魔術師","70000","83999"
"1","53","師匠","70000","83999"
"1","54","サブマリン","70000","83999"
"2","55","スプリンター","70000","83999"
"1","56","名手","70000","83999"
"2","57","エースランナー","70000","83999"
"1","58","プロ","70000","83999"
"1","59","看板選手","70000","83999"
"1","60","第一人者","70000","83999"
"1","61","ドン","70000","83999"
"2","62","スピードスター","84000","99999"
"1","63","豪傑","84000","99999"
"1","64","プリンセス","84000","99999"
"1","65","女神","84000","99999"
"1","66","マスター","84000","99999"
"2","67","ナンバーワン","84000","99999"
"1","68","寵児","84000","99999"
"3","69","ワイルドグリフォン","84000","99999"
"1","70","ワイバーン","84000","99999"
"2","71","エキスパート","84000","99999"
"2","72","トップランナー","84000","99999"
"1","73","韋駄天","100000","119999"
"1","74","クイーン","100000","119999"
"2","75","チャンピオン","100000","119999"
"2","76","天才ランナー","100000","119999"
"3","77","レコードホルダー","100000","119999"
"1","78","極致","100000","119999"
"2","79","ネプテリオン","100000","119999"
"2","80","シードレイク","100000","119999"
"1","81","女傑","100000","119999"
"1","82","革命家","100000","119999"
"2","83","ビッグスター","100000","119999"
"2","84","ファンタジスタ","120000","999999"
"2","85","スーパースター","120000","999999"
"3","86","ワールドチャンプ","120000","999999"
"1","87","レジェンド","120000","999999"
"1","88","超人","120000","999999"
"1","89","トルペドン","120000","999999"
"1","90","カルキノス","120000","999999"
"2","91","アクアリオス","120000","999999"
"1","92","至宝","120000","999999"
"3","93","グランドマスター","120000","999999"
"1","94","英雄","120000","999999"
"1","95","天下取り","120000","999999"
