fd419e99813500c7359fda84f2fc414e3158d75e795353c3dae6646082dc877b,6f5b4c63aa7047f4edc3951a8dc791561810b434d2180d8034a796adba100a09,78ed25e289d5ebe5073d5d2b0f24c1f165bae94eb5383d6e6e8be23650ff4902,414e6f9e13cff54c86f3c8b23383d3bd2999668aca0fffed23ed67759fde9f71,91ebbe9c1e72a4f862c718849e76a84c30d9b1bb18544a8102b5fc28f221d21e
"3","1","2","1","10201"
"3","2","2","2","10202"
"3","3","2","3","10203"
"10","4","2","4","10301"
"10","5","2","5","10302"
"10","6","2","6","10303"
"10","7","2","7","10304"
"20","8","2","8","10401"
"20","9","2","9","10402"
"20","10","2","10","10403"
"20","11","2","11","10404"
"20","12","2","12","10405"
"20","13","2","13","10406"
"20","14","2","14","10407"
"20","15","2","15","10408"
"20","16","2","16","10409"
"3","17","1","1","10701"
"3","18","1","2","10601"
"3","19","1","3","10602"
"3","20","1","4","10603"
"3","21","1","5","10604"
"10","22","1","6","11301"
"10","23","1","7","11302"
"10","24","1","8","11303"
"20","25","1","9","11401"
"20","26","1","10","11402"
"20","27","1","11","11403"
"20","28","1","12","11601"
"20","29","1","13","11602"
"20","30","1","14","11603"
"20","31","1","15","11604"
"20","32","1","16","11605"
"20","33","1","17","11606"
"20","34","1","18","11101"
"20","35","1","19","11102"
"20","36","1","20","11103"
"20","37","1","21","11701"
"20","38","1","22","11702"
"20","39","1","23","11703"
"3","40","3","1","10501"
"3","41","3","2","10502"
"3","42","3","3","10503"
"10","43","3","4","11201"
"10","44","3","5","10801"
"10","45","3","6","10802"
"10","46","3","7","10803"
"10","47","3","8","10804"
"20","48","3","9","10901"
"20","49","3","10","10902"
"20","50","3","11","10903"
"20","51","3","12","10904"
"20","52","3","13","11001"
"20","53","3","14","11002"
"20","54","3","15","11003"
"20","55","3","16","11501"
"20","56","3","17","11502"
"20","57","3","18","11503"
"20","58","3","19","11504"
"20","59","3","20","11505"
"20","60","3","21","11506"
