97ed2a1279c3e7b06d93ba59a92d131078dc25e46ab193a8f945110c3bd16a79,f5a4c8087adaf2ccad853cb019220f276f183abaa9d4350543bbdb0db387a0ca,59b57a870c9da15e38479bdd82587ea33494ec20128b1437da51fbe7baf8e662
"1","1","101"
"1","2","103"
"1","3","105"
"2","4","101"
"2","5","102"
"2","6","103"
"2","7","105"
"3","8","101"
"3","9","102"
"3","10","103"
"4","11","101"
"4","12","103"
"4","13","104"
"4","14","105"
"5","15","103"
"5","16","104"
"5","17","105"
"6","18","102"
"6","19","104"
"6","20","106"
"7","21","101"
"7","22","102"
"7","23","106"
"8","24","102"
"8","25","103"
"8","26","106"
"9","27","103"
"9","28","104"
"9","29","105"
"10","30","101"
"10","31","103"
"10","32","105"
"11","33","107"
"11","34","108"
