1c8c88135794fea657035c98449e5703a932cc34cff3af9c0fb177d4b64aab7c,b313769553a8e9a6cbad5975a4fe989b4afd3c0ecd50c5ea67fb7308df0a7ce2,4960a108eb5f885bba98f9035ed86a6f3c5dda716cd105332e7094791312cce9,d2de23cb785abecebb6492be3fdc0665eaccb5c45508fae689cb12fe95e58721,95d0a5cea633e083448490048c27e46bbe0f00ccf2722e926615196dd24c6712,b9c22b4f5e61d539a4a63a078b337be001c53125b620add53eff198a9aabeffc,40b72073fc47b9bab8def434deb3934539cdb5bf2c34fe2a2dc67651cfaab602,9865e0c0eb04e35ab24e20b0e803ffd3ab0ca827d3f18269f444d550e3bfc0f6,301ca658ba9c1217e755bb5863542ed83a337c616b4290312c414122a4987a33,551f1a5bce55a7bce08216c67cab99eefa8080e0c3a286c9b1f12592dc4b2d4f,18444b285cf60f316ec8d472eb0319f8f7549d502444a8f0452b6c5210f2c519
"102611","1","ttk_idle_def","1","1","5","850","-120","100","1010001","1"
"2","2","","1","","31","0","1","0","1010002","1"
"1","1","","1","","31","-80","1","-120","1010003","1"
"","1","","1","","93","","","","1010004",""
"vo_minigame_1005_top_000","vo_minigame_1005","","1","","21","0","","0","1010005",""
"ttk_doya","102611","","1","0.3","3","0","1","ttk_idle_doya","1010006","0.3"
"任された仕事は\nきちんとやるよ","102611","","1","0","11","8","","","1010007","0"
"","0","","1","","91","","","","1010008",""
"102611","1","ttk_idle_def","2","1","5","850","-120","100","1020001","1"
"2","2","","2","","31","0","1","0","1020002","1"
"1","1","","2","","31","-80","1","-120","1020003","1"
"","1","","2","","93","","","","1020004",""
"vo_minigame_1005_top_001","vo_minigame_1005","","2","","21","0","","0","1020005",""
"ttk_idle_smile","102611","","2","0.3","3","0","1","ttk_idle_def","1020006","0.3"
"あたしの前に\n現れたこと\n後悔させてあげる","102611","","2","0","11","8","","","1020007","0"
"","0","","2","","91","","","","1020008",""
"102611","1","ttk_idle_def","3","1","5","850","-120","100","1030001","1"
"2","2","","3","","31","0","1","0","1030002","1"
"1","1","","3","","31","-80","1","-120","1030003","1"
"","1","","3","","93","","","","1030004",""
"vo_minigame_1005_top_002","vo_minigame_1005","","3","","21","0","","0","1030005",""
"ttk_joy","102611","","3","0.3","3","0","1","ttk_idle_joy","1030006","0.1"
"コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","102611","","3","0","11","8","","","1030007","0"
"","2.2","","3","","93","","","","1030008",""
"ttk_talk_sad","102611","","3","0.3","3","1","","","1030009","0.3"
"","3","","3","","93","","","","1030010",""
"ttk_idle_def","102611","","3","0.3","3","1","","","1030011","0.3"
"","0","","3","","91","","","","1030012",""
"102611","1","ttk_idle_def","4","1","5","850","-120","100","1040001","1"
"2","2","","4","","31","0","1","0","1040002","1"
"1","1","","4","","31","-80","1","-120","1040003","1"
"","1","","4","","93","","","","1040004",""
"vo_minigame_1005_top_003","vo_minigame_1005","","4","","21","0","","0","1040005",""
"ttk_shock","102611","","4","0.3","3","0","1","ttk_idle_shock","1040006","0.3"
"ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","102611","","4","0","11","8","","","1040007","0"
"","5","","4","","93","","","","1040008",""
"ttk_idle_def","102611","","4","0.3","3","1","","","1040009","0.3"
"","0.7","","4","","93","","","","1040010",""
"102611","1","ttk_idle_def","5","1","5","850","-120","100","1050001","1"
"2","2","","5","","31","0","1","0","1050002","1"
"1","1","","5","","31","-80","1","-120","1050003","1"
"","1","","5","","93","","","","1050004",""
"vo_minigame_1005_top_004","vo_minigame_1005","","5","","21","0","","0","1050005",""
"ttk_surprise","102611","","5","0.3","3","0","","","1050006","0.3"
"うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","102611","","5","0","11","8","","","1050007","0"
"","0.9","","5","","93","","","","1050008",""
"ttk_talk_anger","102611","","5","0.3","3","1","","","1050009","0.3"
"","0.8","","5","","93","","","","1050010",""
"ttk_sad","102611","","5","0.3","3","0","1","ttk_talk_sad","1050011","0.3"
"","5","","5","","93","","","","1050012",""
"ttk_idle_def","102611","","5","0.3","3","1","","","1050013","0.3"
"","0","","5","","91","","","","1050014",""
"102611","1","ttk_idle_def","6","1","5","850","-120","100","1060001","1"
"2","2","","6","","31","0","1","0","1060002","1"
"1","1","","6","","31","-80","1","-120","1060003","1"
"","1","","6","","93","","","","1060004",""
"vo_minigame_1005_top_005","vo_minigame_1005","","6","","21","0","","0","1060005",""
"ttk_idle_worry","102611","","6","0.3","3","1","","","1060006","0.3"
"こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","102611","","6","0","11","8","","","1060007","0"
"","7","","6","","93","","","","1060008",""
"ttk_amz","102611","","6","0.3","3","0","1","ttk_idle_def","1060009","0.3"
"","0","","6","","91","","","","1060010",""
