9a930f9f80f5daa6b5792d3bec88ea50c8e18f60d40118d5e93063365e78d04c,9581faaa806035cbd17ae97f28409c9d9c4e482b5e480a70c98e85f6d9e60fed,57bff0e24c2dea1501bfdcfd7a931aa1136ca7fc7f921829b929062d7dd9702b,c150b5d8406a78941416948d8dca4c720449f671708cdfe8c7451236a3342fed,cbf865bf1c8e35b8df563a9064845024b2140bbf82b7e49b289bfebc41930a63,41b2ab825c03c4164bce2ee752a83758b6efb3d66e14ada261c71227f4a8c015,32aad44666d525502f8108b70164538975a0a8ed6cb0fd8594ab77a0e1b62ab5,74932d52166b35b06f43a9ec51306e5098f263a800ba0bab3e77ecb9203ea18d,fd612961311375c1cedd15cbb72054782152d7ca4b94f12f3cf5da60ed1829cf,f709bb82664a07f446acff537cde7d169dacb2afd234e4fc1f8715ceafe76d5c,ce2443d8c33352fee550fdd8574e151f412ee9eba84952b8d80c57a069117ba9
"1","110931","1","0","101","110","-209.3","nyx_idle_normal","11010001","1.35","-421"
"1","104831","1","0","101","110","-182.5","nyx_idle_normal","11010002","1.35","121.8"
"1","104631","1","0","101","110","-182.5","nyx_idle_normal","11010003","1.35","227.7"
"1","103231","1","1","101","110","-182.5","nyx_talk_normal","11010004","1.35","340.3"
"1","103431","1","1","101","110","-182.5","nyx_idle_normal","11010005","1.35","449.6"
"5","2","2","0","101","120","-209.3","NoItem","11010006","1.35","-421"
"31","1","1","","101","0","1","","11010007","1","0"
"31","3","15","","101","-300","1","","11010008","0","0"
"31","4","15","","101","-300","1.5","","11010009","0","0"
"25","bgm_M347","bgm_M347","","101","","","","11010010","",""
"93","","2","","101","","","","11010011","",""
"3","nyx_101_chieru_01","2","","101","0","1","","11010012","0.2","nyx_101_chieru_loop"
"3","nyx_101_chieru_01","110931","","101","0","1","","11010013","0.2","nyx_101_chieru_loop"
"11","ちぇる～ん♪\n最初はとにかく\nインパクト！","110931","","101","10","","","11010014","",""
"93","","0.4","","101","","","","11010015","",""
"32","0","3","","101","","","","11010016","",""
"32","1","3","","101","","","","11010017","",""
"91","","11010014","","101","","","","11010018","",""
"11","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","110931","","101","10","","","11010019","",""
"93","","1","","101","","","","11010020","",""
"3","nyx_idle_joy1","103231","","101","1","","","11010021","0.2",""
"3","nyx_cmn_05","104631","","101","1","","","11010022","0.2",""
"91","","11010019","","101","","","","11010023","",""
"3","nyx_101_chieru_01","2","","101","0","1","","11010024","0.2","nyx_101_chieru_loop"
"3","nyx_101_chieru_01","110931","","101","0","1","","11010025","0.2","nyx_101_chieru_loop"
"11","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","110931","","101","7","","","11010026","",""
"93","","0.4","","101","","","","11010027","",""
"32","0","3","","101","","","","11010028","",""
"32","1","3","","101","","","","11010029","",""
"93","","0.6","","101","","","","11010030","",""
"3","nyx_talk_bitter","103431","","101","1","","","11010031","0.2",""
"3","nyx_cmn_04","104631","","101","1","","","11010032","0.2",""
"93","","2","","101","","","","11010033","",""
"3","nyx_101_chieru_02","2","","101","0","1","","11010034","0.2","nyx_101_chieru_loop"
"3","nyx_101_chieru_02","110931","","101","0","1","","11010035","0.2","nyx_101_chieru_loop"
"93","","0.4","","101","","","","11010036","",""
"32","0","3","","101","","","","11010037","",""
"32","1","4","","101","","","","11010038","",""
"91","","11010026","","101","","","","11010039","",""
"3","nyx_idle_bitter","103431","","101","1","","","11010040","0.2",""
"3","nyx_talk_sad","104831","","101","1","","","11010041","0.2",""
"11","ね、ねぇ…\n廊下の方から\n何か聞こえない？","104831","","101","10","","","11010042","",""
"91","","0","","101","","","","11010043","",""
"4","1","110931","","101","","","","11010044","",""
"4","1","2","","101","","","","11010045","",""
"3","nyx_101_chieru_02","2","","101","0","1","","11010046","0.2","nyx_101_chieru_loop"
"3","nyx_101_chieru_02","110931","","101","0","1","","11010047","0.2","nyx_101_chieru_loop"
"3","nyx_idle_sad","104831","","101","1","","","11010048","0.2",""
"3","nyx_talk_sad","104631","","101","1","","","11010049","0.2",""
"11","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","104631","","101","10","","","11010050","",""
"91","","0","","101","","","","11010051","",""
"3","nyx_idle_sad","104631","","101","1","","","11010052","0.2",""
"3","nyx_talk_sad","103431","","101","1","","","11010053","0.2",""
"11","学校の七不思議的な\nやつかしら…\nか、帰りたい…","103431","","101","10","","","11010054","",""
"91","","0","","101","","","","11010055","",""
"3","nyx_idle_sad","103431","","101","1","","","11010056","0.2",""
"3","nyx_talk_joy2","103231","","101","1","","","11010057","0.2",""
"11","面白いですわね！\n何が出てくるか\nワクワクしますわ！","103231","","101","10","","","11010058","",""
"91","","0","","101","","","","11010059","",""
"93","","0.4","","101","","","","11010060","",""
"4","0","110931","","101","","","","11010061","",""
"4","0","2","","101","","","","11010062","",""
"3","nyx_101_chieru_01","110931","","101","0","1","","11010063","0.2","nyx_101_chieru_loop"
"3","nyx_101_chieru_01","2","","101","0","1","","11010064","0.2","nyx_101_chieru_loop"
"12","1","104831","","101","1","","","11010065","",""
"3","nyx_talk_sad","104831","0.2","101","0","1","","11010066","0.2","nyx_idle_sad"
"93","","0.4","","101","","","","11010067","",""
"32","0","3","","101","","","","11010068","",""
"32","1","3","","101","","","","11010069","",""
"93","","1.6","","101","","","","11010070","",""
"12","15","104631","","101","1","","","11010071","",""
"3","nyx_talk_sad","104631","0.2","101","0","1","","11010072","0.2","nyx_idle_sad"
"93","","3","","101","","","","11010073","",""
"4","1","110931","","101","","","","11010074","",""
"4","1","2","","101","","","","11010075","",""
"3","nyx_101_chieru_02","110931","","101","0","1","","11010076","0.2","nyx_101_chieru_loop"
"3","nyx_101_chieru_02","2","","101","0","1","","11010077","0.2","nyx_101_chieru_loop"
"12","10","103231","","101","1","","","11010078","",""
"3","nyx_talk_joy1","103231","0.2","101","0","1","","11010079","0.2","nyx_idle_joy1"
"93","","2","","101","","","","11010080","",""
"12","2","103431","","101","1","","","11010081","",""
"3","nyx_talk_sad","103431","0.2","101","0","1","","11010082","0.2","nyx_idle_sad"
"93","","2.5","","101","","","","11010083","",""
"101","","11010060","","101","","","","11010084","",""
"1","110831","1","1","102","110","-209.3","nyx_102_chloe_01","11020001","1.35","-362"
"1","104831","1","0","102","110","-182.5","nyx_102_mifuyu_01","11020002","1.35","90"
"1","104631","1","0","102","110","-182.5","nyx_idle_normal","11020003","1.35","220"
"1","103231","1","1","102","110","-182.5","nyx_talk_normal","11020004","1.35","336"
"1","103431","1","1","102","110","-182.5","nyx_idle_normal","11020005","1.35","457"
"31","1","1","","102","0","1","","11020006","1","0"
"5","2","2","0","102","120","-209.3","NoItem","11020007","1.35","-362"
"25","bgm_M347","bgm_M347","","102","","","","11020008","",""
"93","","2","","102","","","","11020009","",""
"3","nyx_102_chloe_02","110831","","102","1","","","11020010","0.2",""
"11","次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","110831","","102","10","","","11020011","",""
"91","1","0","","102","","","","11020012","",""
"3","nyx_idle_sad","110831","","102","1","","","11020013","0.2",""
"11","あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","110831","","102","10","","","11020014","",""
"91","1","0","","102","","","","11020015","",""
"3","cmn_pose02_def_N","110831","0.2","102","0","1","","11020016","0.2","nyx_102_chloe_02"
"11","ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","110831","","102","10","","","11020017","",""
"93","","3","","102","","","","11020018","",""
"3","nyx_idle_normal","103231","","102","1","","","11020019","0.2",""
"3","nyx_talk_sad","104631","","102","1","","","11020020","0.2",""
"4","0","110831","","102","","","","11020021","",""
"91","","11020016","","102","","","","11020022","",""
"93","","1","","102","","","","11020023","",""
"3","nyx_102_chloe_01","110831","","102","1","","","11020024","0.2",""
"11","ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","110831","","102","10","","","11020025","",""
"93","","2.5","","102","","","","11020026","",""
"3","nyx_102_chloe_03","110831","","102","0","1","","11020027","0.2","nyx_102_chloe_03_loop"
"3","nyx_102_chloe_03","2","","102","0","1","","11020028","0.2","nyx_102_chloe_03_loop"
"91","","11020025","","102","","","","11020029","",""
"93","","1","","102","","","","11020030","",""
"11","ちぇる…ちぇる…","104831","","102","10","","","11020031","",""
"93","","1.5","","102","","","","11020032","",""
"4","1","104631","","102","0","","","11020033","",""
"3","cmn_shock_def_N","104631","0.2","102","0","1","","11020034","0.2","nyx_idle_surprise2"
"3","cmn_shock_def_N","103431","0.2","102","0","1","","11020035","0.2","nyx_idle_surprise2"
"3","nyx_surprise","103231","0.2","102","0","1","","11020036","0.2","nyx_idle_surprise1"
"93","","1.5","","102","","","","11020037","",""
"3","nyx_talk_surprise2","104631","0.2","102","1","1","","11020038","0.2",""
"3","nyx_102_yukari_01","103431","","102","1","","","11020039","0.2",""
"11","ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","103431","","102","10","","","11020040","",""
"91","1","0","","102","","","","11020041","",""
"3","cmn_shock_def_N","103431","0.2","102","0","1","","11020042","0.2","nyx_102_tamaki_01_loop"
"4","0","103231","","102","0","","","11020043","",""
"4","0","104631","","102","0","","","11020044","",""
"91","","0","","102","","","","11020045","",""
"11","ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","104631","","102","10","","","11020046","",""
"93","","2.6","","102","","","","11020047","",""
"3","nyx_102_tamaki_01","104631","0.2","102","0","1","","11020048","0.2","nyx_102_tamaki_01_loop"
"93","","0.1","","102","","","","11020049","",""
"4","1","103231","","102","0","","","11020050","",""
"93","","1.5","","102","","","","11020051","",""
"11","被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","103231","","102","10","","","11020052","",""
"91","","0","","102","","","","11020053","",""
"93","","1","","102","","","","11020054","",""
"3","nyx_102_chloe_04","110831","","102","0","1","","11020055","0.2","nyx_102_chloe_03_loop"
"3","nyx_102_chloe_04","2","","102","0","1","","11020056","0.2","nyx_102_chloe_03_loop"
"93","","1.5","","102","","","","11020057","",""
"12","12","110831","","102","1","","","11020058","",""
"93","","1","","102","","","","11020059","",""
"12","1","103431","","102","1","","","11020060","",""
"3","nyx_cmn_01","103431","0.2","102","0","1","","11020061","0.2","nyx_cmn_03"
"3","nyx_idle_worry","104631","0.2","102","1","1","","11020062","0.2",""
"93","","2","","102","","","","11020063","",""
"12","12","104831","","102","1","","","11020064","",""
"93","","2","","102","","","","11020065","",""
"12","10","103231","","102","1","","","11020066","",""
"3","nyx_talk_normal","103231","0.2","102","0","1","","11020067","0.2","nyx_idle_normal"
"93","","2","","102","","","","11020068","",""
"12","2","104631","","102","1","","","11020069","",""
"3","nyx_talk_sad","104631","0.2","102","0","1","","11020070","0.2","nyx_idle_worry"
"93","","4","","102","","","","11020071","",""
"101","1","11020055","","102","","","","11020072","",""
"1","111031","1","0","103","110","-209.3","nyx_103_yuni_01","11030001","1.35","-421"
"1","104831","1","0","103","110","-182.5","nyx_idle_normal","11030002","1.35","121.8"
"5","2","2","0","103","120","-182.5","NoItem","11030003","1.35","121.8"
"1","104631","1","0","103","110","-182.5","nyx_idle_normal","11030004","1.35","227.7"
"5","2","2","0","103","120","-182.5","NoItem","11030005","1.35","227.7"
"1","103231","1","1","103","110","-182.5","nyx_idle_normal","11030006","1.35","340.3"
"1","103431","1","1","103","110","-182.5","nyx_cmn_03","11030007","1.35","449.6"
"5","2","2","1","103","120","-182.5","NoItem","11030008","1.35","449.6"
"31","1","1","","103","0","1","","11030009","1","0"
"25","bgm_M347","bgm_M347","","103","","","","11030010","",""
"93","","2","","103","","","","11030011","",""
"3","nyx_talk_sad","103431","","103","1","","","11030012","0.2",""
"11","プレゼンって\nこんなに\n疲れるものなの…？","103431","","103","10","","","11030013","",""
"91","","0","","103","","","","11030014","",""
"3","nyx_cmn_03","103431","","103","1","","","11030015","0.2",""
"3","nyx_cmn_05","104831","","103","1","","","11030016","0.2",""
"11","きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","104831","","103","10","","","11030017","",""
"91","","0","","103","","","","11030018","",""
"3","nyx_cmn_04","104831","","103","1","","","11030019","0.2",""
"3","nyx_talk_normal","103231","","103","1","","","11030020","0.2",""
"11","あら？\n次もなかよし部の方\nみたいですわよ？","103231","","103","10","","","11030021","",""
"91","","0","","103","","","","11030022","",""
"3","nyx_idle_normal","103231","","103","1","","","11030023","0.2",""
"3","nyx_talk_sad","104631","","103","1","","","11030024","0.2",""
"11","…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","104631","","103","10","","","11030025","",""
"93","","2.6","","103","","","","11030026","",""
"3","nyx_102_chloe_01","111031","","103","1","","","11030027","0.2",""
"91","","11030025","","103","","","","11030028","",""
