9d6281133ef829bcd3627a1fa571274ba777dd1fe5f9f39ebd3879671ef408e0,51a708c05c28a6f642468b76836a2d80da008c83951386722fbc542174330829,9fd470c0b691581f9068541ad4532445ec4a23c8ba933a7b4dbebd895d2815e4,2bfa244635283309a9c791e65b02e680028476265049f9bcc54b41b606ce32fb,c825aa3a58a2f7a8c6e3d54d2b8d8cbf56945ee65444b7c8449bc7c65beffda7,467d956e6ce157aac63a5b2207adf08f97b1dadd934cd7c21d6b7ebd201515c5
"1001","15","1","99001001","1","11001001"
"0","8","2","99001001","10","91002"
"1001","15","3","99001002","1","11001002"
"0","8","4","99001002","10","91002"
"1002","15","5","99001003","1","11001003"
"0","8","6","99001003","20","91002"
"1003","15","7","99001004","1","11001004"
"0","8","8","99001004","30","91002"
"1001","15","9","99001005","1","11001005"
"0","8","10","99001005","10","91002"
"1001","15","11","99001006","1","11001006"
"0","8","12","99001006","10","91002"
"1002","15","13","99001007","1","11001007"
"0","8","14","99001007","20","91002"
"1003","15","15","99001008","1","11001008"
"0","8","16","99001008","30","91002"
"1001","15","17","99001009","1","11001009"
"0","8","18","99001009","10","91002"
"1001","15","19","99001010","1","11001010"
"0","8","20","99001010","10","91002"
"1002","15","21","99001011","1","11001011"
"0","8","22","99001011","20","91002"
"1003","15","23","99001012","1","11001012"
"0","8","24","99001012","30","91002"
"1001","15","33","99001017","1","11001017"
"0","8","34","99001017","30","91002"
"1001","15","35","99001018","1","11001018"
"0","8","36","99001018","30","91002"
"1002","15","37","99001019","1","11001019"
"0","8","38","99001019","30","91002"
"1003","15","39","99001020","1","11001020"
"0","8","40","99001020","30","91002"
"1001","15","41","99001021","0","11001021"
"1002","15","42","99001022","0","11001022"
"1001","15","43","99001023","1","11001023"
"0","8","44","99001023","30","91002"
"1001","15","45","99001024","1","11001024"
"0","8","46","99001024","30","91002"
"1002","15","47","99001025","1","11001025"
"0","8","48","99001025","30","91002"
"1003","15","49","99001026","1","11001026"
"0","8","50","99001026","30","91002"
"1001","15","51","99001027","1","11001027"
"0","8","52","99001027","30","91002"
"1001","15","53","99001028","1","11001028"
"0","8","54","99001028","30","91002"
"1002","15","55","99001029","1","11001029"
"0","8","56","99001029","30","91002"
"1003","15","57","99001030","1","11001030"
"0","8","58","99001030","30","91002"
"1001","15","59","99001031","1","11001031"
"0","8","60","99001031","30","91002"
"1001","15","61","99001032","1","11001032"
"0","8","62","99001032","30","91002"
"1002","15","63","99001033","1","11001033"
"0","8","64","99001033","30","91002"
"1003","15","65","99001034","1","11001034"
"0","8","66","99001034","30","91002"
"1001","15","75","99001039","0","11001039"
"1002","15","76","99001040","0","11001040"
"1003","15","77","99001041","0","11001041"
"1001","15","78","99001042","1","11001042"
"0","8","79","99001042","30","91002"
"1001","15","80","99001043","1","11001043"
"0","8","81","99001043","30","91002"
"1002","15","82","99001044","1","11001044"
"0","8","83","99001044","30","91002"
"1003","15","84","99001045","1","11001045"
"0","8","85","99001045","30","91002"
"1001","15","86","99001046","1","11001046"
"1001","15","87","99001046","1","11001050"
"0","8","88","99001046","30","91002"
"1001","15","89","99001047","1","11001047"
"0","8","90","99001047","30","91002"
"1002","15","91","99001048","1","11001048"
"0","8","92","99001048","30","91002"
"1003","15","93","99001049","1","11001049"
"0","8","94","99001049","30","91002"
"1001","15","95","99001051","1","11001051"
"0","8","96","99001051","30","91002"
"1001","15","97","99001052","1","11001052"
"0","8","98","99001052","30","91002"
"1002","15","99","99001053","1","11001053"
"0","8","100","99001053","30","91002"
"1003","15","101","99001054","1","11001054"
"0","8","102","99001054","30","91002"
"1001","15","103","99001055","1","11001055"
"0","8","104","99001055","30","91002"
"1001","15","105","99001056","1","11001056"
"0","8","106","99001056","30","91002"
"1002","15","107","99001057","1","11001057"
"0","8","108","99001057","30","91002"
"1003","15","109","99001058","1","11001058"
"0","8","110","99001058","30","91002"
"1001","15","111","99001059","1","11001059"
"0","8","112","99001059","30","91002"
"1001","15","113","99001060","1","11001060"
"0","8","114","99001060","30","91002"
"1002","15","115","99001061","1","11001061"
"0","8","116","99001061","30","91002"
"1003","15","117","99001062","1","11001062"
"0","8","118","99001062","30","91002"
"1001","15","119","99001063","1","11001063"
"0","8","120","99001063","30","91002"
"1001","15","121","99001064","1","11001064"
"0","8","122","99001064","30","91002"
"1002","15","123","99001065","1","11001065"
"0","8","124","99001065","30","91002"
"1003","15","125","99001066","1","11001066"
"0","8","126","99001066","30","91002"
"1001","15","127","99001067","1","11001067"
"0","8","128","99001067","30","91002"
"1001","15","129","99001068","1","11001068"
"0","8","130","99001068","30","91002"
"1002","15","131","99001069","1","11001069"
"0","8","132","99001069","30","91002"
"1003","15","133","99001070","1","11001070"
"0","8","134","99001070","30","91002"
"1001","15","135","99001071","0","11001071"
"1002","15","136","99001072","0","11001072"
"1003","15","137","99001073","0","11001073"
"1001","15","138","99001074","1","11001074"
"0","8","139","99001074","30","91002"
"1001","15","140","99001075","1","11001075"
"0","8","141","99001075","30","91002"
"1002","15","142","99001076","1","11001076"
"0","8","143","99001076","30","91002"
"1003","15","144","99001077","1","11001077"
"0","8","145","99001077","30","91002"
"1001","15","146","99001078","1","11001078"
"0","8","147","99001078","30","91002"
"1001","15","148","99001079","1","11001079"
"0","8","149","99001079","30","91002"
"1002","15","150","99001080","1","11001080"
"0","8","151","99001080","30","91002"
"1003","15","152","99001081","1","11001081"
"0","8","153","99001081","30","91002"
"1001","15","154","99001082","1","11001082"
"0","8","155","99001082","30","91002"
"1001","15","156","99001083","1","11001083"
"0","8","157","99001083","30","91002"
"1002","15","158","99001084","1","11001084"
"0","8","159","99001084","30","91002"
"1003","15","160","99001085","1","11001085"
"0","8","161","99001085","30","91002"
"1001","15","162","99001086","0","11001086"
"1002","15","163","99001087","0","11001087"
"1002","15","164","99001088","0","11001088"
"1002","15","165","99001089","0","11001089"
"1003","15","166","99001090","0","11001090"
"1001","15","167","99001091","1","11001091"
"0","8","168","99001091","30","91002"
"1001","15","169","99001092","1","11001092"
"0","8","170","99001092","30","91002"
"1002","15","171","99001093","1","11001093"
"0","8","172","99001093","30","91002"
"1003","15","173","99001094","1","11001094"
"0","8","174","99001094","30","91002"
"1001","15","175","99001095","1","11001095"
"0","8","176","99001095","30","91002"
"1001","15","177","99001096","1","11001096"
"0","8","178","99001096","30","91002"
"1002","15","179","99001097","1","11001097"
"0","8","180","99001097","30","91002"
"1003","15","181","99001098","1","11001098"
"0","8","182","99001098","30","91002"
"1001","15","183","99001099","1","11001099"
"0","8","184","99001099","30","91002"
"1001","15","185","99001100","1","11001100"
"0","8","186","99001100","30","91002"
"1002","15","187","99001101","1","11001101"
"0","8","188","99001101","30","91002"
"1003","15","189","99001102","1","11001102"
"0","8","190","99001102","30","91002"
"1001","15","191","99001103","1","11001103"
"0","8","192","99001103","30","91002"
"1001","15","193","99001104","1","11001104"
"0","8","194","99001104","30","91002"
"1002","15","195","99001105","1","11001105"
"0","8","196","99001105","30","91002"
"1003","15","197","99001106","1","11001106"
"0","8","198","99001106","30","91002"
"1001","15","199","99001107","1","11001107"
"0","8","200","99001107","30","91002"
"1001","15","201","99001108","1","11001108"
"0","8","202","99001108","30","91002"
"1002","15","203","99001109","1","11001109"
"0","8","204","99001109","30","91002"
"1003","15","205","99001110","1","11001110"
"0","8","206","99001110","30","91002"
"1001","15","207","99001111","1","11001111"
"0","8","208","99001111","30","91002"
"1001","15","209","99001112","1","11001112"
"0","8","210","99001112","30","91002"
"1002","15","211","99001113","1","11001113"
"0","8","212","99001113","30","91002"
"1003","15","213","99001114","1","11001114"
"0","8","214","99001114","30","91002"
"1001","15","215","99001115","1","11001115"
"0","8","216","99001115","30","91002"
"1001","15","217","99001116","1","11001116"
"0","8","218","99001116","30","91002"
"1002","15","219","99001117","1","11001117"
"0","8","220","99001117","30","91002"
"1003","15","221","99001118","1","11001118"
"0","8","222","99001118","30","91002"
"1001","15","223","99001119","1","11001119"
"0","8","224","99001119","30","91002"
"1001","15","225","99001120","1","11001120"
"0","8","226","99001120","30","91002"
"1002","15","227","99001121","1","11001121"
"0","8","228","99001121","30","91002"
"1003","15","229","99001122","1","11001122"
"0","8","230","99001122","30","91002"
"1001","15","231","99001123","1","11001123"
"0","8","232","99001123","30","91002"
"1001","15","233","99001124","1","11001124"
"0","8","234","99001124","30","91002"
"1002","15","235","99001125","1","11001125"
"0","8","236","99001125","30","91002"
"1003","15","237","99001126","1","11001126"
"0","8","238","99001126","30","91002"
"1001","15","239","99001127","1","11001127"
"0","8","240","99001127","30","91002"
"1001","15","241","99001128","1","11001128"
"0","8","242","99001128","30","91002"
"1002","15","243","99001129","1","11001129"
"0","8","244","99001129","30","91002"
"1003","15","245","99001130","1","11001130"
"0","8","246","99001130","30","91002"
"1003","15","247","99001131","1","11001131"
"1001","15","248","99001132","1","11001132"
"0","8","249","99001132","30","91002"
"1001","15","250","99001133","1","11001133"
"0","8","251","99001133","30","91002"
"1002","15","252","99001134","1","11001134"
"0","8","253","99001134","30","91002"
"1003","15","254","99001135","1","11001135"
"0","8","255","99001135","30","91002"
"1001","15","256","99001136","1","11001136"
"0","8","257","99001136","30","91002"
"1001","15","258","99001137","1","11001137"
"0","8","259","99001137","30","91002"
"1002","15","260","99001138","1","11001138"
"0","8","261","99001138","30","91002"
"1003","15","262","99001139","1","11001139"
"0","8","263","99001139","30","91002"
"1003","15","264","99001140","1","11001140"
"1001","15","265","99001142","1","11001142"
"0","8","266","99001142","30","91002"
"1001","15","267","99001143","1","11001143"
"0","8","268","99001143","30","91002"
"1002","15","269","99001144","1","11001144"
"0","8","270","99001144","30","91002"
"1003","15","271","99001145","1","11001145"
"0","8","272","99001145","30","91002"
"1001","15","273","99001146","0","11001146"
"1002","15","274","99001147","0","11001147"
"1001","15","275","99001148","1","11001148"
"0","8","276","99001148","30","91002"
"1001","15","277","99001149","1","11001149"
"0","8","278","99001149","30","91002"
"1002","15","279","99001150","1","11001150"
"0","8","280","99001150","30","91002"
"1003","15","281","99001151","1","11001151"
"0","8","282","99001151","30","91002"
"1001","15","283","99001152","1","11001152"
"0","8","284","99001152","30","91002"
"1001","15","285","99001153","1","11001153"
"0","8","286","99001153","30","91002"
"1002","15","287","99001154","1","11001154"
"0","8","288","99001154","30","91002"
"1003","15","289","99001155","1","11001155"
"0","8","290","99001155","30","91002"
"1001","15","291","99001156","1","11001156"
"0","8","292","99001156","30","91002"
"1001","15","293","99001157","1","11001157"
"0","8","294","99001157","30","91002"
"1002","15","295","99001158","1","11001158"
"0","8","296","99001158","30","91002"
"1003","15","297","99001159","1","11001159"
"0","8","298","99001159","30","91002"
"1001","15","299","99001160","1","11001160"
"0","8","300","99001160","30","91002"
"1001","15","301","99001161","1","11001161"
"0","8","302","99001161","30","91002"
"1002","15","303","99001162","1","11001162"
"0","8","304","99001162","30","91002"
"1003","15","305","99001163","1","11001163"
"0","8","306","99001163","30","91002"
"1002","15","307","99001164","1","11001164"
"1003","15","308","99001165","1","11001165"
"1001","15","309","99001166","1","11001166"
"0","8","310","99001166","30","91002"
"1001","15","311","99001167","1","11001167"
"0","8","312","99001167","30","91002"
"1002","15","313","99001168","1","11001168"
"0","8","314","99001168","30","91002"
"1003","15","315","99001169","1","11001169"
"0","8","316","99001169","30","91002"
"1001","15","317","99001170","1","11001170"
"0","8","318","99001170","30","91002"
"1001","15","319","99001171","1","11001171"
"0","8","320","99001171","30","91002"
"1002","15","321","99001172","1","11001172"
"0","8","322","99001172","30","91002"
"1003","15","323","99001173","1","11001173"
"0","8","324","99001173","30","91002"
"1001","15","325","99001174","1","11001174"
"0","8","326","99001174","30","91002"
"1001","15","327","99001175","1","11001175"
"0","8","328","99001175","30","91002"
"1002","15","329","99001176","1","11001176"
"0","8","330","99001176","30","91002"
"1003","15","331","99001177","1","11001177"
"0","8","332","99001177","30","91002"
"1001","15","333","99001178","1","11001178"
"0","8","334","99001178","30","91002"
"1001","15","335","99001179","1","11001179"
"0","8","336","99001179","30","91002"
"1002","15","337","99001180","1","11001180"
"0","8","338","99001180","30","91002"
"1003","15","339","99001181","1","11001181"
"0","8","340","99001181","30","91002"
"1001","15","341","99001182","1","11001182"
"0","8","342","99001182","30","91002"
"1001","15","343","99001183","1","11001183"
"0","8","344","99001183","30","91002"
"1002","15","345","99001184","1","11001184"
"0","8","346","99001184","30","91002"
"1003","15","347","99001185","1","11001185"
"0","8","348","99001185","30","91002"
"1001","15","349","99001186","1","11001186"
"0","8","350","99001186","30","91002"
"1001","15","351","99001187","1","11001187"
"0","8","352","99001187","30","91002"
"1002","15","353","99001188","1","11001188"
"0","8","354","99001188","30","91002"
"1003","15","355","99001189","1","11001189"
"0","8","356","99001189","30","91002"
"1001","15","357","99001190","1","11001190"
"0","8","358","99001190","30","91002"
"1001","15","359","99001191","1","11001191"
"0","8","360","99001191","30","91002"
"1002","15","361","99001192","1","11001192"
"0","8","362","99001192","30","91002"
"1003","15","363","99001193","1","11001193"
"0","8","364","99001193","30","91002"
"1001","15","365","99001194","1","11001194"
"0","8","366","99001194","30","91002"
"1001","15","367","99001195","1","11001195"
"0","8","368","99001195","30","91002"
"1002","15","369","99001196","1","11001196"
"0","8","370","99001196","30","91002"
"1003","15","371","99001197","1","11001197"
"0","8","372","99001197","30","91002"
"1002","15","373","99001198","1","11001198"
"1003","15","374","99001199","1","11001199"
"1001","15","375","99001200","1","11001200"
"0","8","376","99001200","30","91002"
"1001","15","377","99001201","1","11001201"
"0","8","378","99001201","30","91002"
"1002","15","379","99001202","1","11001202"
"0","8","380","99001202","30","91002"
"1003","15","381","99001203","1","11001203"
"0","8","382","99001203","30","91002"
"1003","15","383","99001204","1","11001204"
"1001","15","384","99001205","1","11001205"
"0","8","385","99001205","30","91002"
"1001","15","386","99001206","1","11001206"
"0","8","387","99001206","30","91002"
"1002","15","388","99001207","1","11001207"
"0","8","389","99001207","30","91002"
"1003","15","390","99001208","1","11001208"
"0","8","391","99001208","30","91002"
"1001","15","392","99001209","1","11001209"
"0","8","393","99001209","30","91002"
"1001","15","394","99001210","1","11001210"
"0","8","395","99001210","30","91002"
"1002","15","396","99001211","1","11001211"
"0","8","397","99001211","30","91002"
"1003","15","398","99001212","1","11001212"
"0","8","399","99001212","30","91002"
"1001","15","400","99001213","1","11001213"
"0","8","401","99001213","30","91002"
"1001","15","402","99001214","1","11001214"
"0","8","403","99001214","30","91002"
"1002","15","404","99001215","1","11001215"
"0","8","405","99001215","30","91002"
"1003","15","406","99001216","1","11001216"
"0","8","407","99001216","30","91002"
"1001","15","408","99001217","1","11001217"
"0","8","409","99001217","30","91002"
"1001","15","410","99001218","1","11001218"
"0","8","411","99001218","30","91002"
"1002","15","412","99001219","1","11001219"
"0","8","413","99001219","30","91002"
"1003","15","414","99001220","1","11001220"
"0","8","415","99001220","30","91002"
"1001","15","416","99001221","1","11001221"
"0","8","417","99001221","30","91002"
"1001","15","418","99001222","1","11001222"
"0","8","419","99001222","30","91002"
"1002","15","420","99001223","1","11001223"
"0","8","421","99001223","30","91002"
"1003","15","422","99001224","1","11001224"
"0","8","423","99001224","30","91002"
"1001","15","424","99001225","1","11001225"
"0","8","425","99001225","30","91002"
"1001","15","426","99001226","1","11001226"
"0","8","427","99001226","30","91002"
"1002","15","428","99001227","1","11001227"
"0","8","429","99001227","30","91002"
"1003","15","430","99001228","1","11001228"
"0","8","431","99001228","30","91002"
"1001","15","432","99001229","1","11001229"
"0","8","433","99001229","30","91002"
"1001","15","434","99001230","1","11001230"
"0","8","435","99001230","30","91002"
"1002","15","436","99001231","1","11001231"
"0","8","437","99001231","30","91002"
"1003","15","438","99001232","1","11001232"
"0","8","439","99001232","30","91002"
