4806a392790abb327e9008b77a3dd605168b160ca9c1f733e781e177882f7b15,3b8586cdf77b99166229ce6dae79419a5ac0605ace5e96389cd6a19c77acf1ec,9a064267e68c91ca67b675830604544bfbf709f8b87b59cbb6d064948c675d94,dc129375b1991cb5cc8014dcf33b7f931f886c9f76bc81df9f2a443cc9eacdd0,7d4d579c892913c68b08c321f2c66e34a807705c28c17d65a3808d441daf2f71,3900ae09336204f3502a4d74860936667d3ade9079a06cf1f4b87212363aee3f,19e1c4a1ee0a3fdabe63a30da00e8c19a36bc96589403b16e6aa341b5e59bcc5,d3e9cccb2fbc2d9c36ea06a0277564e3a81dd6d8787bb54f3a50364c73e273e1,20b155b8eb50c582483795b7b877f94d5e046d2cf8804ffdd997cb4b7724793c,e61a741c5196736196080c40895e8ea873c0b7a069675018a730303b6d241a1e
"ハグ","バグ","1","0","0","0","パグ","2110001","バク","0"
"テイク","テクノロジー","1","0","0","0","手首","2110003","テクニック","0"
"じひびき","なだれ","1","0","0","0","ゆきやけ","2110005","ふぶき","0"
"黒曜石","磁石","1","0","0","0","大理石","2110006","化石","0"
"ガルフ","オーシャン","1","0","0","0","ミスト","2110007","リバー","0"
"バットマーク","アットマーク","1","0","0","0","カットマーク","2110008","ラットマーク","0"
"いつもすずしい場所","太陽の日があたる場所","1","0","0","0","建物の中の場所","2110010","太陽があたらない場所","0"
"ハッピーデート","アップデート","1","0","0","0","バレンタインデート","2110011","ダブルデート","0"
"オブリガード","ブリザード","1","0","0","0","バリケード","2110012","ブルドーザー","0"
"地球","太陽","1","0","0","0","火星","2110014","月","0"
"電話線","地平線","1","0","0","0","新幹線","2110016","放物線","0"
"赤歴史","黒歴史","1","0","0","0","青歴史","2110018","白歴史","0"
"お酢","しょうゆ","1","0","0","0","みそ","2110019","みりん","0"
"手のひら","背中","1","0","0","0","顔","2110021","お腹","0"
"ベニヤ板","鉄板","1","0","0","0","看板","2110022","ガラス板","0"
"バーコード","ドレスコード","1","0","0","0","エンコード","2110023","プレスコード","0"
"やくおとし","こけらおとし","1","0","0","0","まくおとし","2110024","だるまおとし","0"
"ライス","コイン","1","0","0","0","ライン","2110025","コイル","0"
"ナチュラル","アパレル","1","0","0","0","パラソル","2110026","パラレル","0"
"上塗り","透かし","1","0","0","0","薄塗り","2110028","ぼかし","0"
"塗り薬","目薬","1","0","0","0","胃薬","2110031","風邪薬","0"
"馬の耳","ぬか","1","0","0","0","石の上","2110032","のれん","0"
"カナブン","金棒","1","0","0","0","豆腐","2110034","なみだ","0"
"コーラ","水","1","0","0","0","サイダー","2110035","レモネード","0"
"二度","三度","1","0","0","0","四度","2110036","一度","0"
"手ぬぐい","たんこぶ","1","0","0","0","メガネ","2110037","髪の毛","0"
"極楽","闇","1","0","0","0","天国","2110038","光","0"
"ようかん","ぼた餅","1","0","0","0","あんみつ","2110039","団子","0"
"か","はち","1","0","0","0","あぶ","2110040","はえ","0"
"羊","馬","1","0","0","0","猫","2110041","猿","0"
"火","水","1","0","0","0","土","2110042","風","0"
"氷","冷","1","0","0","0","水","2110043","寒","0"
"散","朝","1","0","0","0","脇","2110044","韓","0"
"生米","生姜","1","0","0","0","生卵","2110045","生麦","0"
"先制","宣誓","1","0","0","0","占星","2110046","先生","0"
"希少","起床","1","0","0","0","気性","2110047","気象","0"
"無","不","1","0","0","0","未","2110049","非","0"
"無","非","1","0","0","0","未","2110050","不","0"
"非","無","1","0","0","0","未","2110051","不","0"
"非","未","1","0","0","0","無","2110052","不","0"
"一日千秋","三日坊主","1","0","0","0","有名無実","2110053","馬耳東風","0"
"いぬ","たぬき","1","0","0","0","きつね","2110054","ねこ","0"
"てぶくろ","たび","1","0","0","0","あしのうら","2110056","くつひも","0"
"千","百","1","0","0","0","万 ","2110058","十","0"
"八","十","1","0","0","0","七","2110060","九","0"
"アジテーション","ハッピーエンド","1","0","0","0","ハイテンション","2111001","ジャッジメント","0"
"やばいですね★","どるるるる～ん★","1","0","0","0","夢はスーパースター☆☆★","2111002","ちぇる～ん☆","0"
"最も人口が多い","尖った長い耳","1","0","0","0","二つの角を頭部に持つ","2111003","獣の耳と尻尾がある","0"
"パォン","カォン","1","0","0","0","キャォン","2111004","クォン","0"
"高価","成長","1","0","0","0","教育","2111005","輝く","0"
"鉄","銀","1","0","0","0","金","2120002","銅","0"
"ハツ","レバー","1","0","0","0","モツ","2120004","ラバー","0"
"バシャウマ","トラウマ","1","0","0","0","ストレス","2120005","タケウマ","0"
"分雨","時雨","1","0","0","0","雷雨","2120006","秒雨","0"
"銅","鉄","1","0","0","0","金","2120009","銀","0"
"大青柱","大黒柱","1","0","0","0","大白柱","2120011","大赤柱","0"
"電源","電報","1","0","0","0","電灯","2120012","電車","0"
"お酢","みりん","1","0","0","0","みそ","2120013","しょうゆ","0"
"しぶみ","でがらし","1","0","0","0","こいめ","2120014","ですぎ","0"
"じょうしゅ","かみて","1","0","0","0","じょうず","2120016","うわて","0"
"よせき","よせ","1","0","0","0","よるせき","2120017","よりせき","0"
"フライアウェイ","フリーウェイ","1","0","0","0","レールウェイ","2120018","ロングウェイ","0"
"腕押し","かすがい","1","0","0","0","念仏","2120021","釘","0"
