28c31c5c59546afdfc3c0ba8784c37770d46a9bd6ce1574dcf3f34a999861d6d,281970f8f3fa24718394ee1db8ec8be1eaa1525121dbe0fc9f1498bd1d042c05,54bd1a4d4a57e6994f33effa3b6ee35486f24c06413e747529ee8f5396ef493c,bb8c5ceccef2ab18a03a7a548bacd0c3a2d736894da71d4d6b04d45dd182e52e,a7071c237c2017797c85f1c7d8775ad53545aa20186808bf02fa2e001eb86943,2e30025b6ad170284d07e49f98ec23db33bfa603c4714bdecb5a624fdb0bc80e,19261d8a2948e1bff6dd2f324e3807f32e631b9e16dd0b3401d034278cff063e,ed1e80416585c543bd28041a521b1f5ee99966db6c3e8f024ee0f2072e46987b,41e9fef599101b0339e5bc0e88bcafc307307b8e51e3f97bb2bffefadf1a9b39,bc56488d1997dc626761409c91423126437e3011a032c77213f8855d486f7892,b8c62b95836b3219ec22e7f9eaf791294362f2de3e5376165da8371fbf61c221
"1","118511","150","55","201","1.3","-150","2","0","empty","201001"
"5","1","150","56","201","0.65","-150","1","0","empty","201002"
"5","3","-650","50","201","1.9","-180","3","0","empty","201003"
"91","0","","","201","","","201001","","","201004"
"3","empty","","0","201","0","","118511","","","201005"
"91","","","","201","","","0","","","201006"
"23","se_labyrinth_event_drama_201","","0","201","","","se_labyrinth","","","201007"
"3","201_karin","","0","201","0","","118511","","","201008"
"3","201_karin","","0","201","0","","1","","","201009"
"3","201_hero","","0","201","0","","3","","","201010"
"2","-150","1.2","-180","201","","11","3","","","201011"
"93","0","","","201","","","1.7","","","201012"
"21","vo_labyrinth_drama_20101","","0","201","","","vo_labyrinth_drama","","","201013"
"93","0","","","201","","","0.8","","","201014"
"12","7","0","1","201","0","0","3","0","0","201015"
"23","se_labyrinth_event_emote_7","","0","201","","","se_labyrinth","","","201016"
"93","0","","","201","","","1.1","","","201017"
"5","310","-225","55","311","1.9","-213","310","0","empty","311001"
"5","104","427","50","311","0.8","-187","104","0","empty","311002"
"31","300","0","0","311","0","1","300","","","311003"
"31","303","0","0","311","1","1","303","","","311004"
"31","304","0","0","311","1","1","303","","","311005"
"31","301","0","0","311","0","1","301","","","311006"
"91","0","","","311","","","311001","","","311007"
"3","empty","","0","311","0","","310","","","311008"
"91","","","","311","","","0","","","311009"
"23","se_labyrinth_event_drama_311","","0","311","","","se_labyrinth","","","311010"
"21","vo_labyrinth_drama_31101","","0","311","","","vo_labyrinth_drama","","","311011"
"3","311_hiyori_jankenpon_win","","0","311","0","","310","","","311012"
"3","jankenpon_lose","","0","311","0","","104","","","311013"
"32","1","","","311","","","300","","","311014"
"37","L_gu_WIN","","","311","","","303","","","311015"
"37","R_choki_LOSE","","","311","","","304","","","311016"
"93","0","","","311","","","3.133","","","311017"
"32","1","","","311","","","301","","","311018"
"21","vo_labyrinth_drama_31102","","0","311","","","vo_labyrinth_drama","","","311019"
"93","0","","","311","","","1.867","","","311020"
"5","310","-225","55","312","1.9","-213","310","0","empty","312001"
"5","105","427","50","312","0.8","-187","105","0","empty","312002"
"31","300","0","0","312","0","1","300","","","312003"
"31","303","0","0","312","1","1","303","","","312004"
"31","304","0","0","312","1","1","303","","","312005"
"31","302","0","0","312","0","1","302","","","312006"
"91","0","","","312","","","312001","","","312007"
"3","empty","","0","312","0","","310","","","312008"
"91","","","","312","","","0","","","312009"
"23","se_labyrinth_event_drama_312","","0","312","","","se_labyrinth","","","312010"
"21","vo_labyrinth_drama_31201","","0","312","","","vo_labyrinth_drama","","","312011"
"3","312_hiyori_jankenpon_lose","","0","312","0","","310","","","312012"
"3","jankenpon_win","","0","312","0","","105","","","312013"
"32","1","","","312","","","300","","","312014"
"37","L_gu_LOSE","","","312","","","303","","","312015"
"37","R_pa_WIN","","","312","","","304","","","312016"
"93","0","","","312","","","3","","","312017"
"32","1","","","312","","","302","","","312018"
"21","vo_labyrinth_drama_31202","","0","312","","","vo_labyrinth_drama","","","312019"
"93","0","","","312","","","2","","","312020"
"5","320","-225","55","321","1.9","-213","320","0","empty","321001"
"5","105","427","50","321","0.8","-187","105","0","empty","321002"
"31","300","0","0","321","0","1","300","","","321003"
"31","303","0","0","321","1","1","303","","","321004"
"31","304","0","0","321","1","1","303","","","321005"
"31","301","0","0","321","0","1","301","","","321006"
"91","0","","","321","","","321001","","","321007"
"3","empty","","0","321","0","","320","","","321008"
"91","","","","321","","","0","","","321009"
"23","se_labyrinth_event_drama_321","","0","321","","","se_labyrinth","","","321010"
"21","vo_labyrinth_drama_32101","","0","321","","","vo_labyrinth_drama","","","321011"
"3","321_rei_jankenpon_win","","0","321","0","","320","","","321012"
"3","jankenpon_lose","","0","321","0","","105","","","321013"
"32","1","","","321","","","300","","","321014"
"37","L_choki_WIN","","","321","","","303","","","321015"
"37","R_pa_LOSE","","","321","","","304","","","321016"
"93","0","","","321","","","3.133","","","321017"
"32","1","","","321","","","301","","","321018"
"21","vo_labyrinth_drama_32102","","0","321","","","vo_labyrinth_drama","","","321019"
"93","0","","","321","","","1.867","","","321020"
"5","320","-225","55","322","1.9","-213","320","0","empty","322001"
"5","103","427","50","322","0.9","-187","103","0","empty","322002"
"31","300","0","0","322","0","1","300","","","322003"
"31","303","0","0","322","1","1","303","","","322004"
"31","304","0","0","322","1","1","303","","","322005"
"31","302","0","0","322","0","1","302","","","322006"
"91","0","","","322","","","322001","","","322007"
"3","empty","","0","322","0","","320","","","322008"
"91","","","","322","","","0","","","322009"
"23","se_labyrinth_event_drama_322","","0","322","","","se_labyrinth","","","322010"
"21","vo_labyrinth_drama_32201","","0","322","","","vo_labyrinth_drama","","","322011"
"3","322_rei_jankenpon_lose","","0","322","0","","320","","","322012"
"3","jankenpon_win","","0","322","0","","103","","","322013"
"32","1","","","322","","","300","","","322014"
"37","L_choki_LOSE","","","322","","","303","","","322015"
"37","R_gu_WIN","","","322","","","304","","","322016"
"93","0","","","322","","","3","","","322017"
"32","1","","","322","","","302","","","322018"
"21","vo_labyrinth_drama_32202","","0","322","","","vo_labyrinth_drama","","","322019"
"93","0","","","322","","","2","","","322020"
"5","330","-225","55","331","1.9","-213","330","0","empty","331001"
"5","103","427","50","331","0.9","-187","103","0","empty","331002"
"31","300","0","0","331","0","1","300","","","331003"
"31","303","0","0","331","1","1","303","","","331004"
"31","304","0","0","331","1","1","303","","","331005"
"31","301","0","0","331","0","1","301","","","331006"
"91","0","","","331","","","331001","","","331007"
"3","empty","","0","331","0","","330","","","331008"
"91","","","","331","","","0","","","331009"
"23","se_labyrinth_event_drama_331","","0","331","","","se_labyrinth","","","331010"
"21","vo_labyrinth_drama_33101","","0","331","","","vo_labyrinth_drama","","","331011"
"3","331_yui_jankenpon_win","","0","331","0","","330","","","331012"
"3","jankenpon_lose","","0","331","0","","103","","","331013"
"32","1","","","331","","","300","","","331014"
"37","L_pa_WIN","","","331","","","303","","","331015"
"37","R_gu_LOSE","","","331","","","304","","","331016"
"93","0","","","331","","","3.133","","","331017"
"32","1","","","331","","","301","","","331018"
"21","vo_labyrinth_drama_33102","","0","331","","","vo_labyrinth_drama","","","331019"
"93","0","","","331","","","1.867","","","331020"
"5","330","-225","55","332","1.9","-213","330","0","empty","332001"
"5","104","427","50","332","0.8","-187","104","0","empty","332002"
"31","300","0","0","332","0","1","300","","","332003"
"31","303","0","0","332","1","1","303","","","332004"
