601b21e05b175455bc64ffb151c1568ef347d5df50d77a0241799daa12e920d8,57a2ef6831315e6f2010c229c0880d0e5982a735949682069dde4992452cdde7,c207b4826b0aaeda9488fd1a3d0b1ce450a01c663c30dda766d7d894f4d507fa,8afe7e472b5d37b3d124a6c7248c51e156601447618c531d0db625c66bf62939,5203063a94f5217584d19cfffd40a64836700f415880e2a755a08ea870853a05,fb2e520f0c28ede182fd6bc896dca2a5083e3bbc11f5cfe187db8af7187292e2,c472a01fca3a5afd6b8e96352d1a1fb980907dca844c391c1880b60863044947,fb083324b9e8907cccfcc7106c8f8b09dac0b2f17b715ed35403813ef6dd8f5b
"1","110001","0","70000","ガーゴイル（EASY）をクリアしよう","110001","111","90110001"
"1","110002","0","70000","ガーゴイル（NORMAL）をクリアしよう","110001","112","90110002"
"1","110003","0","70000","ガーゴイル（HARD）をクリアしよう","110001","113","90110003"
"1","110004","0","70000","ガーゴイル（VERY HARD）をクリアしよう","110001","114","90110004"
"1","110005","0","70000","ガーゴイル（EXTREME）をクリアしよう","110001","115","90110005"
"1","120001","0","70000","マグスガーゴイル（EASY）をクリアしよう","110001","121","90120001"
"1","120002","0","70000","マグスガーゴイル（NORMAL）をクリアしよう","110001","122","90120002"
"1","120003","0","70000","マグスガーゴイル（HARD）をクリアしよう","110001","123","90120003"
"1","120004","0","70000","マグスガーゴイル（VERY HARD）をクリアしよう","110001","124","90120004"
"1","120005","0","70000","マグスガーゴイル（EXTREME）をクリアしよう","110001","125","90120005"
"1","130001","0","70000","ガードガーゴイル（EASY）をクリアしよう","110001","131","90130001"
"1","130002","0","70000","ガードガーゴイル（NORMAL）をクリアしよう","110001","132","90130002"
"1","130003","0","70000","ガードガーゴイル（HARD）をクリアしよう","110001","133","90130003"
"1","130004","0","70000","ガードガーゴイル（VERY HARD）をクリアしよう","110001","134","90130004"
"1","130005","0","70000","ガードガーゴイル（EXTREME）をクリアしよう","110001","135","90130005"
"1","140001","0","70000","ガーゴイル・バースト（EASY）をクリアしよう","110001","141","90140001"
"1","140002","0","70000","ガーゴイル・バースト（NORMAL）をクリアしよう","110001","142","90140002"
"1","140003","0","70000","ガーゴイル・バースト（HARD）をクリアしよう","110001","143","90140003"
"1","140004","0","70000","ガーゴイル・バースト（VERY HARD）をクリアしよう","110001","144","90140004"
"1","140005","0","70000","ガーゴイル・バースト（EXTREME）をクリアしよう","110001","145","90140005"
"1","150001","0","70000","ガーゴイル・マギ（EASY）をクリアしよう","110001","151","90150001"
"1","150002","0","70000","ガーゴイル・マギ（NORMAL）をクリアしよう","110001","152","90150002"
"1","150003","0","70000","ガーゴイル・マギ（HARD）をクリアしよう","110001","153","90150003"
"1","150004","0","70000","ガーゴイル・マギ（VERY HARD）をクリアしよう","110001","154","90150004"
"1","150005","0","70000","ガーゴイル・マギ（EXTREME）をクリアしよう","110001","155","90150005"
