39ccece054264422fdd91fc2d691e3d653cbbd6a21d1e0c4ae546a7de8020917,b125b4aadcecb1bdbff4134aabd51ca601a7ed7c50096a99ab5095ac8bf9c74f,acac90ec0fca891eac8d3bb35882295446aa11bded04af509de9e9c5bffc61df,e1b3de9625aa4e749a852e49b8cf4236604dbad3da5a3902d69b839e4b7cc6a6,34e6a77c2177de237550e5f677e8a04f9c24066d23c4f3ce3afa0bd652d107ab,58ce36782f62e3536d58a1149c030b97d9213ecb62dc1e70b0621721359a8896,2565c222440b38006e29b9f67ded1c14b80116b3a55498ebb027eb911daba3ad
"2500","5126700","1","累計スコアを2500pt 獲得しよう","50000","12","94002"
"5000","0","1","累計スコアを5000pt 獲得しよう","50000","12","94002"
"7500","0","1","累計スコアを7500pt 獲得しよう","50000","12","94002"
"10000","5126701","1","累計スコアを10000pt 獲得しよう","1","7","2839"
"12500","0","1","累計スコアを12500pt 獲得しよう","80000","12","94002"
"15000","0","1","累計スコアを15000pt 獲得しよう","80000","12","94002"
"17500","0","1","累計スコアを17500pt 獲得しよう","80000","12","94002"
"20000","5126702","1","累計スコアを20000pt 獲得しよう","25","8","91002"
"22500","0","1","累計スコアを22500pt 獲得しよう","100000","12","94002"
"25000","0","1","累計スコアを25000pt 獲得しよう","100000","12","94002"
"27500","0","1","累計スコアを27500pt 獲得しよう","100","8","91002"
"30000","5126703","1","累計スコアを30000pt 獲得しよう","1","15","11001262"
"2500","5126710","2","累計スコアを2500pt 獲得しよう","50000","12","94002"
"5000","0","2","累計スコアを5000pt 獲得しよう","50000","12","94002"
"7500","0","2","累計スコアを7500pt 獲得しよう","50000","12","94002"
"10000","5126711","2","累計スコアを10000pt 獲得しよう","1","7","2840"
"12500","0","2","累計スコアを12500pt 獲得しよう","80000","12","94002"
"15000","0","2","累計スコアを15000pt 獲得しよう","80000","12","94002"
"17500","0","2","累計スコアを17500pt 獲得しよう","80000","12","94002"
"20000","5126712","2","累計スコアを20000pt 獲得しよう","25","8","91002"
"22500","0","2","累計スコアを22500pt 獲得しよう","100000","12","94002"
"25000","0","2","累計スコアを25000pt 獲得しよう","100000","12","94002"
"27500","0","2","累計スコアを27500pt 獲得しよう","100","8","91002"
"30000","5126713","2","累計スコアを30000pt 獲得しよう","1","15","11001263"
