b94bb978d1d2376e1205c1c97ff744167392d6d9518379c2cff933def979cb11,e3997736bd02159934ccaedd5cc0cc469e339d0c814e1510e212f0ab2d8d8414,5668fb19bbececbfd4e44e86876c41fbe8c746ce39183840dd9272e041a1c15a,454f72e655891a82a7bc2505d4b55d5c0fde44b2b28d4c0b5d2a8c596bcd8e5d,c7191ced74a1f22b12981ac89fbc0970a1ad05793e0a44a97f8b01c5d763471c
"美食殿","50001","105801","1","1"
"トゥインクル\nウィッシュ","50002","100101","2","2"
"サレンディア救護院","50003","102801","7","3"
"王宮騎士団\n（NIGHTMARE）","50004","104701","11","4"
"ラビリンス","50005","106801","15","5"
"カルミナ","50006","102901","3","6"
"悪魔偽王国軍\n（ディアボロス）","50007","104401","5","7"
"牧場\n（エリザベスパーク）","50008","103301","4","8"
"メルクリウス財団","50009","103201","13","9"
"トワイライト\nキャラバン","50010","105601","9","10"
"リトルリリカル","50011","102001","6","11"
"自警団\n（カォン）","50012","101001","8","12"
"フォレスティエ","50013","101501","10","13"
"ルーセント学院","50014","101801","14","14"
