26d1387832be535f5d7b659cf54214711cb14fccaee1d1b9c89fcde8629b20bb,39f9c05e5ed8bb4719e41fadaf618db3f31b1c262346c18d06b43e1deacd4f57,ce4f881d3c9ecac4ee37d6bb6461814c1a677fc2d45cbfb8cdbaf13e8159c9fb,c15a245aa56f1d45db9309a9fbc3f3afb64b102b56f0f9634409a83ba09da89a,45bb9b7997effb01a899193361f40438ad7f3782e690b0b2107afc5df99ac887,5f404537fb53f0a27ea64621705446f79bc93441ad9ce00808bb57c23952fe57
"0","10201","102010201","5201009","2","2"
"0","10201","102010202","5201010","3","2"
"0","10201","102010301","0","502510","3"
"0","10202","102020201","0","501220","2"
"0","10202","102020301","0","501201","3"
"0","10203","102030201","0","500801","2"
"0","10203","102030301","0","500031","3"
"0","10204","102040201","0","502360","2"
"0","10204","102040301","0","500030","3"
"0","10205","102050201","0","502170","2"
"0","10205","102050301","0","502080","3"
"0","10206","102060201","0","501030","2"
"0","10206","102060301","0","500160","3"
"0","10207","102070201","0","500690","2"
"0","10207","102070301","0","500163","3"
"0","10208","102080201","0","532300","3"
"0","10209","102090201","0","502460","2"
"0","10209","102090301","0","502290","3"
"0","10210","102100201","0","502080","3"
"0","10211","102110201","0","501460","2"
"0","10211","102110301","0","500037","3"
"0","10212","102120201","0","500341","2"
"0","10212","102120301","0","501470","3"
"0","10213","102130102","5213006","2","1"
"0","10213","102130103","5213010","3","1"
"0","10213","102130104","5213013","4","1"
"0","10213","102130301","0","502790","3"
"0","10214","102140201","0","502820","2"
"0","10214","102140301","0","502230","3"
"0","10215","102150102","5215007","2","1"
"0","10215","102150201","0","500194","2"
"0","10215","102150301","0","502830","3"
"0","10216","102160201","0","500361","2"
"0","10216","102160301","0","500360","3"
"0","10216","102160501","0","500140","5"
"0","10217","102170102","5217007","2","1"
"0","10217","102170201","0","502500","2"
"0","10217","102170301","0","502451","3"
"0","10218","102180201","0","500285","2"
"0","10218","102180301","0","501030","3"
