469416de0617b35714afea9b277fa057843374a8cc3609a71dc07ce2dcb713d9,9668eece58f22c7e59ea15dc83685e87492aa69dcded95034effb9619b674b5c,e35f2c3846ed2290465beb2a2908e607ce797b279e976138c28ba7dedad9b279,8af1d3708df90d127c183642b007d0ed1dd25a0b38fffa3e543f02cf644bef67,2e47c3b67d3c453c64078ed2dcb1c83f57009bbbe469e0b37779f0448b4f05a2
"1","999","30","20","0"
"2","999","30","20","24"
"3","999","30","21","32"
"4","999","30","21","40"
"5","999","30","22","48"
"6","999","30","22","64"
"7","999","30","23","80"
"8","999","30","23","96"
"9","999","30","24","120"
"10","999","30","24","168"
"11","999","30","25","224"
"12","999","30","25","280"
"13","999","30","26","344"
"14","999","30","26","420"
"15","999","30","27","502"
"16","999","30","28","584"
"17","999","30","30","666"
"18","999","30","35","748"
"19","999","30","40","830"
"20","999","30","45","930"
"21","999","30","50","1040"
"22","999","30","55","1178"
"23","999","30","60","1316"
"24","999","30","70","1458"
"25","999","30","80","1604"
"26","999","30","85","1755"
"27","999","30","85","1910"
"28","999","30","86","2070"
"29","999","30","87","2235"
"30","999","30","88","2405"
"31","999","30","89","2579"
"32","999","30","90","2760"
"33","999","30","91","2945"
"34","999","30","92","3136"
"35","999","30","93","3333"
"36","999","30","94","3535"
"37","999","30","95","3744"
"38","999","30","96","3974"
"39","999","30","97","4226"
"40","999","30","98","4504"
"41","999","30","99","4810"
"42","999","30","100","5152"
"43","999","30","101","5535"
"44","999","30","102","5965"
"45","999","30","103","6446"
"46","999","30","104","7004"
"47","999","30","105","7651"
"48","999","30","106","8401"
"49","999","30","107","9272"
"50","999","30","108","10282"
"51","999","30","109","11454"
"52","999","30","110","12813"
"53","999","30","111","14389"
"54","999","30","112","16159"
"55","999","30","113","17929"
"56","999","30","114","19699"
"57","999","30","115","21469"
"58","999","30","116","23239"
"59","999","30","117","25009"
"60","999","30","118","26779"
"61","999","30","119","28549"
"62","999","30","120","30319"
"63","999","30","121","32089"
"64","999","30","122","33859"
"65","999","30","123","35629"
"66","999","30","124","38284"
"67","999","30","125","40939"
"68","999","30","126","43594"
"69","999","30","127","46249"
"70","999","30","128","48904"
"71","999","30","129","51559"
"72","999","30","130","54214"
"73","999","30","131","56869"
"74","999","30","132","59524"
"75","999","30","133","62179"
"76","999","30","134","64834"
"77","999","30","135","68374"
"78","999","30","136","71914"
"79","999","30","137","75454"
"80","999","30","138","78994"
"81","999","30","139","82534"
"82","999","30","140","86074"
"83","999","30","141","89614"
"84","999","30","142","93154"
"85","999","30","143","96694"
"86","999","30","144","100234"
"87","999","30","145","103774"
"88","999","30","146","107314"
"89","999","30","147","110854"
"90","999","30","148","114394"
"91","999","30","149","117934"
"92","999","30","150","121474"
"93","999","30","151","125014"
"94","999","30","152","128554"
"95","999","30","153","132094"
"96","999","30","154","135634"
"97","999","30","155","139174"
"98","999","30","156","142714"
"99","999","30","157","146254"
"100","999","30","158","149794"
"101","999","30","159","153334"
"102","999","30","160","157759"
"103","999","30","161","162184"
"104","999","30","162","166609"
"105","999","30","163","171034"
"106","999","30","164","175459"
"107","999","30","165","179884"
"108","999","30","166","184309"
"109","999","30","167","188734"
"110","999","30","168","193159"
"111","999","30","169","197584"
"112","999","30","170","202009"
"113","999","30","171","206434"
"114","999","30","172","210859"
"115","999","30","173","215284"
"116","999","30","174","219709"
"117","999","30","175","224134"
"118","999","30","176","228559"
"119","999","30","177","232984"
"120","999","30","178","237409"
"121","999","30","179","241834"
"122","999","30","180","246259"
"123","999","30","181","250684"
"124","999","30","182","255109"
"125","999","30","183","259534"
"126","999","30","184","263959"
"127","999","30","185","268384"
"128","999","30","186","272809"
"129","999","30","187","277234"
"130","999","30","188","281659"
"131","999","30","189","286084"
"132","999","30","190","290509"
"133","999","30","191","294934"
"134","999","30","192","299359"
"135","999","30","193","303784"
"136","999","30","194","308209"
"137","999","30","195","312634"
"138","999","30","196","317059"
"139","999","30","197","321484"
"140","999","30","198","325909"
"141","999","30","199","330334"
"142","999","30","200","334759"
"143","999","30","201","339184"
"144","999","30","202","343609"
"145","999","30","203","348034"
"146","999","30","204","352459"
"147","999","30","205","356884"
"148","999","30","206","361309"
"149","999","30","207","365734"
"150","999","30","208","370159"
"151","999","30","209","374584"
"152","999","30","210","379009"
"153","999","30","211","383434"
"154","999","30","212","387859"
"155","999","30","213","392284"
"156","999","30","214","396709"
"157","999","30","215","401134"
"158","999","30","216","405559"
"159","999","30","217","409984"
"160","999","30","218","414409"
"161","999","30","219","418834"
"162","999","30","220","423259"
"163","999","30","221","427684"
"164","999","30","222","432109"
"165","999","30","223","436534"
"166","999","30","224","440959"
"167","999","30","225","445384"
"168","999","30","226","449809"
"169","999","30","227","454234"
"170","999","30","228","458659"
"171","999","30","229","463084"
"172","999","30","230","467509"
"173","999","30","231","471934"
"174","999","30","232","476359"
"175","999","30","233","480784"
"176","999","30","234","485209"
"177","999","30","235","489634"
"178","999","30","236","494059"
"179","999","30","237","498484"
"180","999","30","238","502909"
"181","999","30","239","507334"
"182","999","30","240","511759"
"183","999","30","241","516184"
"184","999","30","242","520609"
"185","999","30","243","525034"
"186","999","30","244","529459"
"187","999","30","245","533884"
"188","999","30","246","538309"
"189","999","30","247","542734"
"190","999","30","248","547159"
"191","999","30","249","551584"
"192","999","30","250","556009"
"193","999","30","251","560434"
"194","999","30","252","564859"
"195","999","30","253","569284"
"196","999","30","254","573709"
"197","999","30","255","578134"
"198","999","30","256","582559"
"199","999","30","257","586984"
"200","999","30","258","591409"
"201","999","30","259","595834"
"202","999","30","260","600259"
"203","999","30","261","604684"
"204","999","30","262","609109"
"205","999","30","263","613534"
"206","999","30","264","617959"
"207","999","30","265","622384"
"208","999","30","266","626809"
"209","999","30","267","631234"
"210","999","30","268","635659"
"211","999","30","269","640084"
"212","999","30","270","644509"
"213","999","30","271","648934"
"214","999","30","272","653359"
"215","999","30","273","657784"
"216","999","30","274","662209"
"217","999","30","275","666634"
"218","999","30","276","671059"
"219","999","30","277","675484"
"220","999","30","278","679909"
"221","999","30","279","684334"
"222","999","30","280","688759"
