801e0e960388c4fe0c7df32170b33ed970242472f2937619288a3480fa064efe,90ef30e6c9557c10bba8f1beaf7879f00c48c40e8c2e8737a79a5e579cfcb088,387d9b72985a3c15d1328922bba715fe5126d6d27b7cdca0f2285dab2ea6b939,68c1bc32f4432935e6757ba4bfee072c179d3ca68527387c2e73e83148ffee90,f304c5328204d23435ec71d3396b9336542e5e26f53bd14f9d094e50e9eb5a29,b08cde881da6c63c5da632b18a3a653866834f73d9e8f9ee43bce177f0eda375,5896aca0ccbfaa53e139dd6fc06d653a73a056d6972fba2e92915af53a7ecbbb,45c1d32d1dd803cfe9678240963428abe4e30a5ed710c994d1bb3e84bf069d39,8c75cc19a5eb41d8cfbab92927da8b2f5f869b0aaf1835ed72064dd7c4e22731,84a79c81311f8ec4dc6c749dcdb6e5b3e0c08b663b945718e5e20fb768e66772,d338b6a1bf641e6a25a14c07222d27ac0b9f0675c9e6c8cf7833dfa8ccb07166
"112511","-140","1","omp_talk_worry","-190","0","1500","1","1.8","1010001","1"
"112411","140","1","omp_idle_normal","-190","1","1500","1","1.8","1010002","1"
"1","0","1","","1","","0","31","1","1010003","1"
"","","1","","","","","93","","1010004","1"
"vo_omp_7001_000","0","vo_omp_7001","","","","0","21","","1010005","1"
"ウヅキ、大丈夫？\n夜営続きで疲れてない？","1","112511","","1","","10","11","","1010006","1"
"","","0","","","","","91","","1010007","1"
"omp_idle_worry","","112511","","","","1","3","0","1010008","1"
"omp_talk_joy1","","112411","","","","1","3","0","1010009","1"
"vo_omp_7001_001","0","vo_omp_7001","","","","0","21","","1010010","1"
"はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","1","112411","","1","","10","11","","1010011","1"
"","","0","","","","","91","","1010012","1"
"omp_psn_20","","112411","","","","1","3","0","1010013","1"
"omp_talk_normal","","112511","","","","1","3","0","1010014","1"
"vo_omp_7001_002","0","vo_omp_7001","","","","0","21","","1010015","1"
"そっか\nウヅキはどんなときも楽しそうだよね","1","112511","","1","","10","11","","1010016","1"
"","","0","","","","","91","","1010017","1"
"omp_idle_normal","","112511","","","","1","3","0","1010018","1"
"omp_talk_sad","","112411","","","","1","3","0","1010019","1"
"vo_omp_7001_003","0","vo_omp_7001","","","","0","21","","1010020","1"
"もしかして…\nリンちゃんは楽しくないですか？","1","112411","","1","","10","11","","1010021","1"
"","","0","","","","","91","","1010022","1"
"omp_idle_sad","","112411","","","","1","3","0","1010023","1"
"omp_surprise","omp_idle_surprise1","112511","","1","0.1","0","3","0","1010024","1"
"vo_omp_7001_004","0","vo_omp_7001","","","","0","21","","1010025","1"
"えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","1","112511","","1","","10","11","","1010026","1"
"1","","2.5","","","","","93","","1010027","1"
"omp_talk_normal","","112511","","","","1","3","0.2","1010028","1"
"","","1010026","","","","","91","","1010029","1"
"omp_idle_normal","","112511","","","","1","3","0","1010030","1"
"omp_talk_joy2","","112411","","","","1","3","0","1010031","1"
"vo_omp_7001_005","0","vo_omp_7001","","","","0","21","","1010032","1"
"えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","1","112411","","1","","10","11","","1010033","1"
"","","0","","","","","91","","1010034","1"
"0","","112511","","","","1","4","","1010035","1"
"omp_psn_20","","112411","","","","1","3","0","1010036","1"
"omp_idle_normal","","112511","","","","1","3","0","1010037","1"
"vo_omp_7001_006","0","vo_omp_7001","","","","0","21","","1010038","1"
"心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","1","112511","","1","","10","11","","1010039","1"
"","","0","","","","","91","","1010040","1"
"","","0.4","","","","","93","","1010041","1"
"112511","-180","1","omp_idle_normal","-195","0","1600","1","1.8","1020001","2"
"112411","20","1","omp_talk_normal","-190","1","1500","1","1.8","1020002","2"
"112611","220","1","omp_idle_normal","-205","1","1600","1","1.8","1020003","2"
"1","0","1","","1","","0","31","1","1020004","2"
"","","1","","","","","93","","1020005","2"
"vo_omp_7002_000","0","vo_omp_7002","","","","0","21","","1020006","2"
"ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","1","112411","","1","","10","11","","1020007","2"
"","","0","","","","","91","","1020008","2"
"0","","112411","","","","","4","","1020009","2"
"omp_idle_normal","","112411","","","","1","3","0","1020010","2"
"omp_talk_joy1","","112611","","","","1","3","0","1020011","2"
"vo_omp_7002_001","0","vo_omp_7002","","","","0","21","","1020012","2"
"うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","1","112611","","1","","10","11","","1020013","2"
