c623691db20ad122848437275e55af75ef258bc14281205201b5f911a6e4a921,ec6529f5e87fbfee4a3e5259b0d6d9975dfe96190473cbc7a09ce73402d34d80,7165ebe3ad03aaca478b8d37d3ea1c3d3255361269a318c7c4652c279e0c969a,8ce4d384d8883da2f27ceebbbcb559ee123bf0c343baff3dcb19b51ae90c1f89,7ab672c6797d89e50e1c9f7697a4cd0d4904a85d1a37ba639ecb356806548348,b44a4c16c792f113d11295e38a010df52133dde37a732b7fe3df945994d3618b,96bf2c07e276b179969b2e575e464cc5dbdea7543ef09b6bc8ac40a27926c39a,3bd1c2e5759b92931b453e6f5439980224846bb3b25e7dbd9b36cd7a31335b97,87c6b29dbaabe01c2bdf63697cade8427937b5218a0a214151b6ae9eece3f38d
"10","12000","0","90043","1","90001","30000","10000","1"
"20","24000","0","90047","2","90002","30000","10000","2"
"20","24000","0","90047","3","90002","30000","10000","3"
"20","24000","0","90047","4","90002","30000","10000","4"
"20","24000","0","90047","5","90002","30000","10000","5"
"20","24000","0","90047","6","90002","30000","10000","6"
"20","24000","0","90047","7","90002","30000","10000","7"
"20","24000","0","90047","8","90002","30000","10000","8"
"20","24000","0","90047","9","90002","30000","10000","9"
"20","24000","0","90047","10","90002","30000","10000","10"
"40","48000","90011","90051","11","90003","30000","10000","11"
"40","48000","90011","90051","12","90003","30000","10000","12"
"40","48000","90011","90051","13","90003","30000","10000","13"
"40","48000","90011","90051","14","90003","30000","10000","14"
"40","48000","90011","90051","15","90003","30000","10000","15"
"40","48000","90011","90051","16","90003","30000","10000","16"
"40","48000","90011","90051","17","90003","30000","10000","17"
"40","48000","90011","90051","18","90003","30000","10000","18"
"40","48000","90011","90051","19","90003","30000","10000","19"
"40","48000","90011","90051","20","90003","30000","10000","20"
"60","72000","90015","90055","21","90004","30000","10000","21"
"60","72000","90015","90055","22","90004","30000","10000","22"
"60","72000","90015","90055","23","90004","30000","10000","23"
"60","72000","90015","90055","24","90004","30000","10000","24"
"60","72000","90015","90055","25","90004","30000","10000","25"
"60","72000","90015","90055","26","90004","30000","10000","26"
"60","72000","90015","90055","27","90004","30000","10000","27"
"60","72000","90015","90055","28","90004","30000","10000","28"
"60","72000","90015","90055","29","90004","30000","10000","29"
"60","72000","90015","90055","30","90004","30000","10000","30"
"80","96000","90015","90059","31","90005","30000","10000","31"
"80","96000","90015","90059","32","90005","30000","10000","32"
"80","96000","90015","90059","33","90005","30000","10000","33"
"80","96000","90015","90059","34","90005","30000","10000","34"
"80","96000","90015","90059","35","90005","30000","10000","35"
"80","96000","90015","90059","36","90005","30000","10000","36"
"80","96000","90015","90059","37","90005","30000","10000","37"
"80","96000","90015","90059","38","90005","30000","10000","38"
"80","96000","90015","90059","39","90005","30000","10000","39"
"80","96000","90015","90059","40","90005","30000","10000","40"
"120","144000","90017","90063","41","90005","30000","10000","41"
"120","144000","90017","90063","42","90005","30000","10000","42"
"120","144000","90017","90063","43","90005","30000","10000","43"
"120","144000","90017","90063","44","90005","30000","10000","44"
"120","144000","90017","90063","45","90005","30000","10000","45"
"120","144000","90017","90063","46","90005","30000","10000","46"
"120","144000","90017","90063","47","90005","30000","10000","47"
"120","144000","90017","90063","48","90005","30000","10000","48"
"120","144000","90017","90063","49","90005","30000","10000","49"
"120","144000","90017","90063","50","90005","30000","10000","50"
"150","180000","90019","90067","51","90006","30000","10000","51"
"150","180000","90019","90067","52","90006","30000","10000","52"
"150","180000","90019","90067","53","90006","30000","10000","53"
"150","180000","90019","90067","54","90006","30000","10000","54"
"150","180000","90019","90067","55","90006","30000","10000","55"
"150","180000","90019","90067","56","90006","30000","10000","56"
"150","180000","90019","90067","57","90006","30000","10000","57"
"150","180000","90019","90067","58","90006","30000","10000","58"
"150","180000","90019","90067","59","90006","30000","10000","59"
"150","180000","90019","90067","60","90006","30000","10000","60"
"180","216000","90021","90071","61","90007","30000","10000","61"
"180","216000","90021","90071","62","90007","30000","10000","62"
"180","216000","90021","90071","63","90007","30000","10000","63"
"180","216000","90021","90071","64","90007","30000","10000","64"
"180","216000","90021","90071","65","90007","30000","10000","65"
"180","216000","90021","90071","66","90007","30000","10000","66"
"180","216000","90021","90071","67","90007","30000","10000","67"
"180","216000","90021","90071","68","90007","30000","10000","68"
"180","216000","90021","90071","69","90007","30000","10000","69"
"180","216000","90021","90071","70","90007","30000","10000","70"
