22f18e1f776e2baa6333f7a002ae56291de9750b7823858696c24023f018af49,0fd181baa1812cb064a478cfd0fc2225819e79184b552c30e6a27829bb38c5b5,2d591168182cdc63d6acbc9f8da7e6a6206905d5fae9d9f31f5e92d42b46e8bd,2cd148fd850320dde5d79b27718fe1f6d06d18401e6d8c69e36a43d3b0f198af,d3447c02cdaa2f3ff0e1c513420f3778074113c80a397b33c3e61ed181a8f6d0,e006d12a46f016dfe4187c51237a6d708c75f357279beab772452b7955e4db3a,1b9166fd57f76178c1aea60e905c570d83a2557fc333c2a0fad47cd78cf0d53d,985eecb2e454f265d5f1cad811e18d220973dec5a39c3bb7b96b3c5a7f9efa64,af80e6b89917d2d53edcbd0f0a8487f08e9c6fca8fae7412ade891979b9b9b9b,b5a16dd6f90a2ff983716d9486fc93fce94020556d060db676f726010766599d,443831cce9aae25d615a2c83145b6d2bba7a71af10b9c6a37c5209aee8e72aa0
"-220","1.7","psy_miyako_idle","1","119931","1","100","-200","0","1001","1"
"-220","1.7","psy_idle_normal","5","1","1","100","1000","1","1002","1"
"-220","1.7","psy_fairy_idle","5","2","1","105","-50","0","1003","1"
"1","1","","31","11","1","0","0","","1004","1"
"","0.2","","3","psy_item00_run","1","1","","","1005","1"
"0","","","2","285","1","-220","2.5","","1006","1"
"","","","93","","2.5","","","","1007","1"
"","0.2","","3","psy_item00_idle","1","1","","","1008","1"
"","","","93","","0.5","","","","1009","1"
"","0.2","","3","psy_miyako_talk1","119931","1","","","1010","1"
"","","","21","vo_minigame_1008_drama_0101","vo_minigame_1008","0","0","","1011","1"
"0","0","0.5","11","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","119931","6","1","0","1012","1"
"","","","93","1","6","","","","1013","1"
"1","0.2","","3","psy_miyako_doya_in","119931","0","psy_miyako_doya_loop","0.2","1014","1"
"","","","91","","1012","","","","1015","1"
"","","","22","0","0","","","","1016","1"
"","0.2","","3","psy_fairy_talk","2","1","","","1017","1"
"","","","21","vo_minigame_1008_drama_9901","vo_minigame_1008","0","0","","1018","1"
"0","0","0.5","11","キュイキュイ！","2","6","1","0","1019","1"
"","","","91","","0","","","","1020","1"
"","0.2","","3","psy_fairy_idle","2","1","","","1021","1"
"","0.2","","3","psy_miyako_talk2","119931","1","","","1022","1"
"","","","21","vo_minigame_1008_drama_0102","vo_minigame_1008","0","0","","1023","1"
"0","0","0.5","11","オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","119931","5","1","0","1024","1"
"","","","93","1","2","","","","1025","1"
"","0.2","","3","psy_miyako_talk_joy2","119931","1","","","1026","1"
"","","","91","","1024","","","","1027","1"
"","","","22","0","0","","","","1028","1"
"","0.2","","3","psy_miyako_idle","119931","1","","","1029","1"
"","","","4","1","2","","","","1030","1"
"1","0.2","","3","psy_fairy_run_in","2","0","psy_fairy_run","0","1031","1"
"","","","93","","1.3","","","","1032","1"
"0","","","2","1000","2","-220","1","","1033","1"
"","","","93","","2","","","","1034","1"
"1","0.2","","3","psy_miyako_doya_in","119931","0","psy_miyako_doya_loop","0.2","1035","1"
"","","","21","vo_minigame_1008_drama_0103","vo_minigame_1008","0","0","","1036","1"
