57b6d8cb31caea4f44bacb08bf596ea7ad0794b539e575890959087ba2295f3d,d6dbe62a81505d0688b3f17cbc7c32a2fb447960d33571af7dc05412cfa31352,d65256f26aa1c689be8f7655d190637e9493ed417d6188990b787a88cba81dd9,9e1cfb687f5aa4779c394cb88e06b8d93aa7cc6590e8f797ed73831ab94a7544,b635dfacc252bc765c57f1e1c88d9459a85acf786e99f2838fc623eaa7292913,0a5384c5ec3cc3fc261415b5f17c52528b42b5f48c2112bd62b127a5479bd4fe
"1","1","2020-02-15 15:00:00","","1","おまかせ"
"2","2","2020-02-15 15:00:00","","2","デフォルト"
"3","3","2020-02-15 15:00:00","","3","アニバーサリー"
"4","4","2020-02-15 15:00:00","","1","ピンク"
"5","5","2020-02-15 15:00:00","","1","レッド"
"6","6","2020-02-15 15:00:00","","1","イエロー"
"7","7","2020-02-15 15:00:00","","1","グリーン"
"8","8","2020-02-15 15:00:00","","1","ライトブルー"
"9","9","2020-02-15 15:00:00","","1","ブルー"
"10","10","2020-02-15 15:00:00","","1","パープル"
"11","11","2020-02-15 15:00:00","","1","グレー"
