c270e0f96cead52b14426f686d9c0c2bb93b842899bd2a49fdbeb3a342b6f6ca,ce554e109e57b22deb6ad0aeab1882abd5ecabd4cdc7e3e5f2d7f021155e3c20,77e6e16f2d380e76d8cc43750b54030051a20586229145da3f009c70e9627b85,681be1e449c11772b34d014dec9da9ae4b6b18e4fac782d37033f3f6699dab09,5585807358510843df594093392d9af4a1f3007526b66d81c290e0107e16f74e,60dab976bdb8a17db121b39436058e34ddf55390d31f827d5a2acead28983223,afb0899a18c7ce8f435d29fc0d3857b321c815cdbc34337c8e0db3e604b00b67,cb86fbc14bb475466cf95ffc19c23901a6c5dc16669cc808f19cbaccdc701e31,551e50594fb655362f75e9ccbdc27f8fdecea9b0190e802ff41840d38b56b559,5f918a3455174edae4a44678361d9f60904b86f6b514433e72225ce3cf31835d,2fa7b705679dce8c04f29d1c9d9b125e402944cb9ae20538e67ea205b0d4d27c
"8","25011","2","31","10","1","91002","2","25021","8","281001001"
"8","25011","2","31","10","2","91002","2","25021","8","281001002"
"8","25011","2","32","10","3","91002","2","25021","8","281001003"
"8","25011","2","32","10","4","91002","2","25021","8","281001004"
"8","25011","2","33","10","5","91002","2","25021","8","281001005"
"9","25011","2","33","10","6","91002","2","25021","8","281001006"
"9","25011","2","34","10","7","91002","2","25021","8","281001007"
"9","25011","2","35","10","8","91002","2","25021","8","281001008"
"9","25011","2","35","10","9","91002","2","25021","8","281001009"
"10","25011","2","37","30","10","91002","2","25021","8","281001010"
"10","25011","2","41","10","11","91002","2","25021","8","281001011"
"11","25011","2","43","10","12","91002","2","25021","8","281001012"
"11","25011","2","46","10","13","91002","2","25021","8","281001013"
"12","25011","2","48","10","14","91002","2","25021","8","281001014"
"12","25011","2","50","10","15","91002","2","25021","8","281001015"
"13","25011","2","53","10","16","91002","2","25021","8","281001016"
"14","25011","2","55","10","17","91002","2","25021","8","281001017"
"14","25011","2","58","10","18","91002","2","25021","8","281001018"
"15","25011","2","60","10","19","91002","2","25021","8","281001019"
"15","25011","2","62","30","20","91002","2","25021","8","281001020"
"16","25011","2","68","10","21","91002","2","25021","8","281001021"
"16","25011","2","70","10","22","91002","2","25021","8","281001022"
"16","25011","2","72","10","23","91002","2","25021","8","281001023"
"17","25011","2","75","10","24","91002","2","25021","8","281001024"
"18","25011","2","77","10","25","91002","2","25021","8","281001025"
"18","25011","2","79","10","26","91002","2","25021","8","281001026"
"19","25011","2","82","10","27","91002","2","25021","8","281001027"
"19","25011","2","84","10","28","91002","2","25021","8","281001028"
"19","25011","2","86","10","29","91002","2","25021","8","281001029"
"20","25011","2","89","30","30","91002","2","25021","8","281001030"
"20","25011","2","94","10","31","91002","2","25021","8","281001031"
"21","25011","2","96","10","32","91002","2","25021","8","281001032"
"21","25011","2","99","10","33","91002","2","25021","8","281001033"
"22","25011","2","101","10","34","91002","2","25021","8","281001034"
"22","25011","2","103","10","35","91002","2","25021","8","281001035"
"23","25011","2","106","10","36","91002","2","25021","8","281001036"
"23","25011","2","108","10","37","91002","2","25021","8","281001037"
"24","25011","2","111","10","38","91002","2","25021","8","281001038"
"25","25011","2","113","10","39","91002","2","25021","8","281001039"
"25","25011","2","115","30","40","91002","2","25021","8","281001040"
"26","25011","2","121","10","41","91002","2","25021","8","281001041"
"27","25011","2","123","10","42","91002","2","25021","8","281001042"
"28","25011","2","125","10","43","91002","2","25021","8","281001043"
"28","25011","2","128","10","44","91002","2","25021","8","281001044"
"29","25011","2","130","10","45","91002","2","25021","8","281001045"
"30","25011","2","132","10","46","91002","2","25021","8","281001046"
"30","25011","2","135","10","47","91002","2","25021","8","281001047"
"31","25011","2","137","10","48","91002","2","25021","8","281001048"
"31","25011","2","139","10","49","91002","2","25021","8","281001049"
"31","25011","2","142","30","50","91002","2","25021","8","281001050"
"32","25011","2","144","10","51","91002","2","25021","8","281001051"
"32","25011","2","146","10","52","91002","2","25021","8","281001052"
"32","25011","2","149","10","53","91002","2","25021","8","281001053"
"33","25011","2","152","10","54","91002","2","25021","8","281001054"
"33","25011","2","155","10","55","91002","2","25021","8","281001055"
"33","25011","2","157","10","56","91002","2","25021","8","281001056"
"34","25011","2","160","10","57","91002","2","25021","8","281001057"
"34","25011","2","163","10","58","91002","2","25021","8","281001058"
"34","25011","2","166","10","59","91002","2","25021","8","281001059"
"35","25011","2","169","30","60","91002","2","25021","8","281001060"
"35","25011","2","171","10","61","91002","2","25021","8","281001061"
"35","25011","2","174","10","62","91002","2","25021","8","281001062"
"36","25011","2","177","10","63","91002","2","25021","8","281001063"
"36","25011","2","180","10","64","91002","2","25021","8","281001064"
"36","25011","2","182","10","65","91002","2","25021","8","281001065"
"37","25011","2","185","10","66","91002","2","25021","8","281001066"
"37","25011","2","187","10","67","91002","2","25021","8","281001067"
"37","25011","2","190","10","68","91002","2","25021","8","281001068"
"38","25011","2","193","10","69","91002","2","25021","8","281001069"
"38","25011","2","196","30","70","91002","2","25021","8","281001070"
