fb5f3b2bed134ad938374eb46dceb97cc3d1e9b48049e6712e4f6d3fdd2c55d1,9384e3f024a1499edb5dc1d20463302356aae3a483746eea165cb9ddc139340e,9255c9fc3601267d1901d6a24f2981907e6d2c8f729e509dc88ecf87e774b665,15a4f5d188350e8a4c75f9bee9b4a25b15c2bc22457a1bcd3a53cd9ec05901d7,f95233e8fdc86c78e9d3b988c059b8005d50dbae8d68010216054c092aea8824,a39360438af6c150023cba863059e4e5978c8656a560a7448f139086e2a97e79,2831def749ca03188a1693b42420cfbd1c80c68549f9c9ddc9fe08329d86d63d,d986767964bbce0d43c9f75c02f1ec07f291d7c010ba3e4167133d705f959754,471abf32454a83418fb6740a5cc0c7b0bb1d3b9134204f492614ca20f0ba8eaa,09def1854a8b2f2ae2953cd9170669798664635de6f436c58f7462a15a09190d,4f43689c8c743587ce18182554185e8112e51f2547c5710b0bbf61985c5ace66,81a0a57f318e2c144bc83b55b2c8fc3f1ed4c9832eaf4e4e1486350d92d1c0f7,0eb30ffe5235fe0e7736ac925d9f436a2f8d90525b126b219dabcad906d216e8,4545edd935d7d2224bbb7ea6de6b98f24b74738f4c32ecdd4802a7970c1e74dc
"401","102301","2020/07/31 12:00:00","2","0","10046","0","0","24001","24","2030/12/17 14:59:59","アヤネ","2","やったね、ぷうきち！\nこれならお兄ちゃんたちの\nお手本になれたよね！"
"402","102301","2020/07/31 12:00:00","2","0","10046","2.21","0","24002","24","2030/12/17 14:59:59","アヤネ","1","私たちの勝ちだね！\nぷうきちと一緒なら\nどんなボールでも\nホームランを打ってみせるよ！"
"403","102301","2020/07/31 12:00:00","2","0","10046","0","0","24003","24","2030/12/17 14:59:59","アヤネ","2","やったやったぁ！\nお兄ちゃん、見ててくれた？\n私、すっごくがんばったよ！"
"701","192201","2020/07/31 12:00:00","1","0","10046","1.99","0","24004","24","2030/12/17 14:59:59","アサヒ","2","特訓の成果が出たみたいだ！\nもっと練習を重ねて\nこの調子で上達していこう！"
"702","192201","2020/07/31 12:00:00","2","0","10046","2.21","0","24005","24","2030/12/17 14:59:59","アサヒ","1","よし、いい感じだ！\nキャプテンとしての仕事は\nきっちり果たせそうだよ"
"703","192201","2020/07/31 12:00:00","1","0","10046","3.33","0","24006","24","2030/12/17 14:59:59","アサヒ","2","試合に向けて\nいい感覚を掴めた気がするよ！\nこのまま一気に全国大会だ！"
"801","192301","2020/07/31 12:00:00","2","0","10046","0","0","24007","24","2030/12/17 14:59:59","部員３","2","このくらい余裕だ\nオレたちは全国大会を\n目指してるんだからな"
"802","192301","2020/07/31 12:00:00","2","0","10046","2.68","0","24008","24","2030/12/17 14:59:59","部員３","1","オレだって\nビーチベースボール選手だ\nどんな球だろうが\n全部スタンドまで飛ばしてやる"
"803","192301","2020/07/31 12:00:00","2","0","10046","0","0","24009","24","2030/12/17 14:59:59","部員３","2","いい感じだ\nこれなら試合でも活躍できそうだ\n大暴れしてやる！"
"501","192501","2020/07/31 12:00:00","1","0","10046","0","0","24010","24","2030/12/17 14:59:59","","1","やった！"
"502","192501","2020/07/31 12:00:00","1","0","10046","0","0","24011","24","2030/12/17 14:59:59","","1","勝ったよ！"
"503","192501","2020/07/31 12:00:00","1","0","10046","0","0","24012","24","2030/12/17 14:59:59","","1","いい調子！"
"111","113501","2020/07/31 12:00:00","2","0","10046","5.33","0","24013","24","2030/12/17 14:59:59","ミサト","6","あら～…もしかして\n勝っちゃったのかしら？\nみんなの練習を見ていたから\nかもしれないわね"
"112","113501","2020/07/31 12:00:00","2","0","10046","6.85","0","24014","24","2030/12/17 14:59:59","ミサト","1","みんなの力になりたくて\n先生も頑張ってみました～！\nうまく投げられたみたいで\nよかったわ～！"
"113","113501","2020/07/31 12:00:00","2","0","10046","3","0","24015","24","2030/12/17 14:59:59","ミサト","1","練習お疲れさま～！\n先生も協力できて\nとってもうれしいわ～♪\n次も頑張りましょうね～！"
"611","192401","2020/07/31 12:00:00","2","0","10046","6.11","0","24016","24","2030/12/17 14:59:59","ダイチ","1","まだ練習が足りねえみてえだな\nこれっぽっちも本気で\n投げてねえっつーの\nもう一回やんぞ！"
"612","192401","2020/07/31 12:00:00","2","0","10046","6.75","0","24017","24","2030/12/17 14:59:59","ダイチ","1","ふん、当然の結果だな\n俺の球は、誰にも打てねえよ！\nまたやりてえっつーなら\nとことん付き合ってやるぜ！"
"613","192401","2020/07/31 12:00:00","2","0","10046","0","0","24018","24","2030/12/17 14:59:59","ダイチ","2","おっしゃあ！\nこの勢いで全国に行ってやるぜ！\n全員三振で仕留めてやる！"
"211","113401","2020/07/31 12:00:00","1","0","10046","4.52","0","24019","24","2030/12/17 14:59:59","ハツネ","2","きらーん☆\nハツネちゃんの大勝利なのだ～！\nみんながもっと上達できるように\n私もまだまだ頑張るからね！"
"212","113401","2020/07/31 12:00:00","1","0","10046","3.89","0","24020","24","2030/12/17 14:59:59","ハツネ","2","やったあ！　私の勝ちだね！\nチアリーダーもピッチャーも\nハツネちゃんに任せてよ！"
"213","113401","2020/07/31 12:00:00","2","0","10046","13.49","0","24021","24","2030/12/17 14:59:59","ハツネ","1","よお～し、この調子でもっと\n頑張ろう…と思ったけど\n超能力を使ったから…\n眠くなってきちゃった…すやぁ…"
