950a8a5dcfcfece01a4c40229a8932beedee6d17cf583c8d883244b43a8de088,5292afe01a2af0e678d15d824cf645fd461f75c7a50b7dc74e5fa60b565cd3db,f4d968c22b70ffd3a162f91901628a83376e5ea8d707de475e8f62c1c7206eb4,7da95e25258277fad79e3adb530529d74d37cecf44427643824919b071b07be5,546046b734d033b5435f6556e2208d296402bfb275737bdeadaa07b2a5a3475b,f1e517a8566b32d61d3f5a2e29c65491c9e4587fe9e9fdfe0dbcda13464d9fa3,1d6d6c103e76e1e29dfcafab011fdbd6d67d6ff9d90b1fe911060aa8e3c864ce,38ed6e81a401f69dad15d4c7b8f509931e2b83c3146621c3cfa5de5e5778b2aa,360491fc33f59a029962e0acad056b957b68e04a3dc5a48fe2fe71fc560d8592,7d722853d351789098bb1573bc1edba4705821abbbfba81c8ebcc8caa8428d4e,44bcaa7c252ec9ecd11d6c4cb5adf3055b4a280c7a78f7bd2c9da6f3e7371786,5eea9a608f0bc38535809101f477513cc4ec5d918132f348560465728bd22434,8c5917c42f142e9546c2a7454271739e1f0055b42852ba30d546fb0aa57059c6,fc7b1446b34a315892c9e454014fcee3b1e045c7b7e1c627f942a447c13850ab,00c03ada35a463d4de818c0069d210b76aa954502da201bc8859c1b2b56c47c9,ce87a43dbda8f9a5523732104b1d29f209fd201910d92fa24bf8918e27282e42,63c4ea62cfa367ca78d5b769a75284ec92312a0b496fb2fcfbef0b0ff125697b,d6d631e667c08c10dd87db69fa0a083ff81ae3ddcec4896a7ce8c8b6cf849e8d,86ccb4edbc8c7f127590ca5c6c700e5c473aa3f5bc3deab3de30ff3e7adcda2a,cc1d60f268241ab62cf6f9f47d15d79c0c31c0de142cfcf9104f856a8b93db02,27842f9c75309aab3beaddd7a923e76fd7ec3ecdf455c3b21cb4b6575df81d87
"1","90006","30","2","0","1","1001","0","0","5000","1","8","0","31043","2","0","0","91002","0","30","5000"
"2","90006","100","2","0","1","1001","0","0","4500","31","8","0","31043","2","0","0","91002","0","25","4500"
"3","90006","300","2","0","1","1001","0","0","4000","101","8","0","31043","2","0","0","91002","0","20","4000"
"4","90006","1000","2","0","1","1001","0","0","3500","301","8","0","31043","2","0","0","91002","0","18","3500"
"5","90006","2000","2","0","1","1001","0","0","3000","1001","8","0","31043","2","0","0","91002","0","16","3000"
"6","90006","5000","2","0","1","1001","0","0","2000","2001","8","0","31043","2","0","0","91002","0","14","2000"
"7","90006","10000","2","0","1","1001","0","0","1500","5001","8","0","31043","2","0","0","91002","0","12","1500"
"8","90006","20000","2","0","1","1001","0","0","1000","10001","8","0","31043","2","0","0","91002","0","10","1000"
"9","90006","-1","2","0","1","1001","0","0","500","20001","8","0","31043","2","0","0","91002","0","5","500"
"10","90006","20","2","0","1","1002","0","0","5000","1","8","0","31022","2","0","0","91002","0","30","5000"
"11","90006","100","2","0","1","1002","0","0","4500","21","8","0","31022","2","0","0","91002","0","25","4500"
"12","90006","250","2","0","1","1002","0","0","4000","101","8","0","31022","2","0","0","91002","0","20","4000"
"13","90006","500","2","0","1","1002","0","0","3500","251","8","0","31022","2","0","0","91002","0","18","3500"
"14","90006","1000","2","0","1","1002","0","0","3000","501","8","0","31022","2","0","0","91002","0","16","3000"
"15","90006","2000","2","0","1","1002","0","0","2500","1001","8","0","31022","2","0","0","91002","0","14","2500"
"16","90006","3000","2","0","1","1002","0","0","2000","2001","8","0","31022","2","0","0","91002","0","12","2000"
"17","90006","5000","2","0","1","1002","0","0","1500","3001","8","0","31022","2","0","0","91002","0","10","1500"
"18","90006","10000","2","0","1","1002","0","0","1000","5001","8","0","31022","2","0","0","91002","0","8","1000"
