66fb4bff8a2b8f5d1fe20013830fdb8e666bee12c1aadc19e717652665d7f784,1d0ef7e8fbd3747933fd1ed43f241b8fd69ee70f3ded49d7791d6ad0304fc440,44a11f288b225389a6eb75ea3de78a6d9e90e96ec00983a046c4aa7446439ee1,f0f2ecaf916e1c05cda0d38e7fc2825e669893825f3cc9ef80c5f01d292f8816,a4e677e07e45a2b9389f2a91c7b5266e6bd766f8a6faf13b8f8b925fa28de80b,91942961f34e2e16d12696a18d7a2012b9790cff9afc05e768257e1469d55ed9,e3b004029f2c209bd246a0bb071876d4199baf764d9ce8797971ab371832c2e5,068dcb82d6752e9c64ac1d08a75eb73c3338389f676f6ea5b9fdd8a71ddbd9e0,f5bfee6a2491732b8919fa5a3a7b208e3d443914c370cc156c6dd74d2004cdd5,9b6c0bcb59a334ed5fa08987de03346e760c158236c55e40094e39a2f1e930b7,5f64144b8beba84c41c1d918bb80fa812e5d667b89159071d30dd866bdb20736
"1001","5","1","1","-216","1","1.4","idle_normal","-103","100","1"
"1002","31","1","","-140","13","0","","1","-57","13"
"1003","31","1","","-140","14","0","","1","-57","14"
"1004","91","1","","","0","","","","","0"
"1005","3","1","0","top_luis_arm_crossed_idle","top_luis_arm_crossed_in","0.2","","1","0","1"
"1006","93","1","","","0","","","","","4"
"1007","3","1","0","top_luis_approach_idle","top_luis_approach_in","0.2","","1","0","1"
"1008","93","1","","","0","","","","","3.5"
"1009","3","1","","","top_luis_thinking","0.2","","","1","1"
"1010","93","1","","","0","","","","","3.5"
"1011","3","1","","","top_luis_walk_think","0.2","","","1","1"
"1012","2","1","","2","-495","","","0","-103","1"
"1013","93","1","","","0","","","","","2"
"1014","4","1","","","0","","","","","1"
"1015","2","1","","2","-216","","","0","-103","1"
"1016","93","1","","","0","","","","","2"
"1017","3","1","","","top_luis_notice","0","","","1","1"
"1018","93","1","","","0","","","","","1"
"1019","3","1","","","top_luis_walk_jog","0.2","","","1","1"
"1020","2","1","","0.5","-100","","","0","-130","1"
"1021","93","1","","","0","","","","","0.5"
"1022","4","1","","","1","","","","","1"
"1023","3","1","0","top_luis_sit_idle","top_luis_sit_in","0.2","","1","0","1"
"1024","93","1","","","0","","","","","0.1"
"1025","2","1","","0.4","-57","","","0","-140","1"
"1026","93","1","","","0","","","","","1"
"1027","3","1","","","top_luis_experiment_failer_in","0.2","","","0","1"
"1028","93","1","","","0","","","","","2.3"
"1029","3","1","","","top_luis_experiment_failer_mix","0.1","","","0","1"
"1030","93","1","","","0","","","","","2.7"
"1031","32","1","","","1","","","","","13"
"1032","3","1","","","top_luis_experiment_failer_burst","0.1","","","0","1"
"1033","93","1","","","0","","","","","2.7"
"1034","3","1","","","top_luis_experiment_failer_out","0.1","","","0","1"
"1035","93","1","","","0","","","","","1.1"
"1036","3","1","0","idle_normal","top_luis_sit_out","0.2","","1","0","1"
"1037","2","1","","0.3","-100","","","0","-130","1"
"1038","93","1","","","0","","","","","1"
"1039","3","1","","","walk_normal","0.2","","","0","1"
"1040","2","1","","1","-216","","","0","-103","1"
"1041","93","1","","","0","","","","","1"
"1042","3","1","","","idle_normal","0.1","","","0","1"
"1043","93","1","","","0","","","","","0.8"
"1044","32","1","","","0","","","","","13"
"1045","3","1","0","top_luis_arm_crossed_idle","top_luis_arm_crossed_in","0.2","","1","0","1"
"1046","93","1","","","0","","","","","4"
"1047","3","1","0","top_luis_approach_idle","top_luis_approach_in","0.2","","1","0","1"
"1048","93","1","","","0","","","","","3.5"
"1049","3","1","","","top_luis_thinking","0.2","","","1","1"
"1050","93","1","","","0","","","","","3.5"
"1051","3","1","","","top_luis_walk_think","0.2","","","1","1"
"1052","2","1","","2","-495","","","0","-103","1"
"1053","93","1","","","0","","","","","2"
"1054","4","1","","","0","","","","","1"
"1055","2","1","","2","-216","","","0","-103","1"
"1056","93","1","","","0","","","","","2"
"1057","3","1","","","top_luis_notice","0","","","1","1"
"1058","93","1","","","0","","","","","1"
"1059","3","1","","","top_luis_walk_jog","0.2","","","1","1"
"1060","2","1","","0.5","-100","","","0","-130","1"
"1061","93","1","","","0","","","","","0.5"
"1062","4","1","","","1","","","","","1"
"1063","3","1","0","top_luis_sit_idle","top_luis_sit_in","0.2","","1","0","1"
"1064","93","1","","","0","","","","","0.1"
"1065","2","1","","0.4","-57","","","0","-140","1"
"1066","93","1","","","0","","","","","1"
"1067","3","1","","","top_luis_experiment_success_in","0.2","","","0","1"
"1068","93","1","","","0","","","","","2.3"
"1069","3","1","","","top_luis_experiment_success_mix","0.1","","","0","1"
"1070","93","1","","","0","","","","","2.7"
"1071","32","1","","","1","","","","","14"
"1072","3","1","","","top_luis_experiment_success_burst","0.1","","","0","1"
"1073","93","1","","","0","","","","","2.7"
"1074","3","1","","","top_luis_experiment_success_out","0.1","","","0","1"
"1075","93","1","","","0","","","","","1.1"
